NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,ES,SES,BBE,UAS,IdLogNum,PowerTLTMmin,PowerTLTMmax,SecondsTLTS1,PowerRLTMmin,PowerRLTMmax,SecondsRLTS1,SecondsRLTS2
SOEM-M,9309,HC,2013-01-01 00:00:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 00:00:00,24,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-51.8,-48.9,0.0,0.0
SOEM-M,9309,RAU,2013-01-01 00:00:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,9.0,12.0,0.0,,,,
SOEM-M,9309,RAU,2013-01-01 00:00:00,24,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,9.0,16.0,663.0,,,,
SOEM-M,9309,RAU,2013-01-01 00:00:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-50.8,-50.2,0.0,0.0
SOEM-M,9309,HC,2013-01-01 00:00:00,24,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 00:15:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-50.8,-49.9,0.0,0.0
SOEM-M,9309,HC,2013-01-01 00:15:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 00:15:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,10.0,13.0,0.0,,,,
SOEM-M,9309,HC,2013-01-01 00:30:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 00:30:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-50.8,-50.2,0.0,0.0
SOEM-M,9309,RAU,2013-01-01 00:30:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,9.0,12.0,0.0,,,,
SOEM-M,9309,RAU,2013-01-01 00:45:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-50.8,-48.9,0.0,0.0
SOEM-M,9309,RAU,2013-01-01 00:45:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,9.0,13.0,0.0,,,,
