NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,PowerTLTMmin,PowerTLTMmax,SecondsTLTS1,IdLogNum,PowerRLTMmin,PowerRLTMmax,SecondsRLTS1,SecondsRLTS2,ES,SES,BBE,UAS
SOEM-M,9388,RAU,2013-01-01 00:00:00,24,Near End,a459_00459_04062_6879.341,1+0,-,9.0,14.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 00:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,10.0,14.0,0.0,0,,,,,,,,
SOEM-M,9388,HC,2013-01-01 00:00:00,24,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,97.0,35.0,11665.0,0.0
SOEM-M,9388,RAU,2013-01-01 00:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 00:00:00,24,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-51.1,-49.6,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 00:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,2.0,0.0,558.0,0.0
SOEM-M,9388,RAU,2013-01-01 00:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,7.0,14.0,0.0,0,,,,,,,,
SOEM-M,9388,HC,2013-01-01 00:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,1.0,1.0,0.0,0.0
SOEM-M,9388,RAU,2013-01-01 00:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 00:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,8.0,10.0,0.0,0,,,,,,,,
SOEM-M,9388,HC,2013-01-01 00:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,6.0,0.0,782.0,0.0
SOEM-M,9388,RAU,2013-01-01 00:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-49.9,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 00:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,8.0,11.0,0.0,0,,,,,,,,
SOEM-M,9388,HC,2013-01-01 00:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,3.0,2.0,175.0,0.0
SOEM-M,9388,RAU,2013-01-01 00:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-49.9,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 01:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,8.0,10.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 01:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-49.9,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 01:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,3.0,0.0,404.0,0.0
SOEM-M,9388,HC,2013-01-01 01:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,5.0,0.0,1033.0,0.0
SOEM-M,9388,RAU,2013-01-01 01:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,8.0,11.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 01:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-49.9,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 01:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-49.6,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 01:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,8.0,1.0,1121.0,0.0
SOEM-M,9388,RAU,2013-01-01 01:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,8.0,10.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 01:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 01:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,7.0,0.0,862.0,0.0
SOEM-M,9388,RAU,2013-01-01 01:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,9.0,11.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 02:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-49.9,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 02:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,8.0,13.0,0.0,0,,,,,,,,
SOEM-M,9388,HC,2013-01-01 02:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,12.0,3.0,1217.0,0.0
SOEM-M,9388,RAU,2013-01-01 02:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-49.9,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 02:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,8.0,12.0,0.0,0,,,,,,,,
SOEM-M,9388,HC,2013-01-01 02:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,4.0,1.0,743.0,0.0
SOEM-M,9388,RAU,2013-01-01 02:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,9.0,13.0,0.0,0,,,,,,,,
SOEM-M,9388,HC,2013-01-01 02:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,5.0,0.0,721.0,0.0
SOEM-M,9388,RAU,2013-01-01 02:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-49.6,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 03:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,8.0,14.0,0.0,0,,,,,,,,
SOEM-M,9388,HC,2013-01-01 03:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,7.0,5.0,261.0,0.0
SOEM-M,9388,RAU,2013-01-01 03:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
