Time,PowerTLTMmax[dBm]_baseline,PowerTLTMmin[dBm]_baseline,PowerRLTMmax[dBm]_baseline,PowerRLTMmin[dBm]_baseline
1/7/2013 0:00,3,0,0,2
1/7/2013 0:15,4,0,0,2
1/7/2013 0:30,0,0,2,2
1/7/2013 0:45,4,0,0,1
1/7/2013 1:00,13,2,0,38
1/7/2013 1:15,11,2,0,38
1/7/2013 1:30,13,2,1,38
1/7/2013 1:45,12,2,0,38
1/7/2013 2:00,12,2,1,38
1/7/2013 2:15,13,2,0,38
1/7/2013 2:30,0,0,6,0
1/7/2013 2:45,0,1,7,0
1/7/2013 3:00,0,1,6,1
1/7/2013 3:15,11,2,1,38
1/7/2013 3:30,13,2,0,38
1/7/2013 3:45,13,2,0,38
1/7/2013 4:00,12,2,0,38
1/7/2013 4:15,12,2,0,38
1/7/2013 4:30,12,1,0,38
1/7/2013 4:45,12,1,0,37
1/7/2013 5:00,0,1,1,1
1/7/2013 5:15,1,1,1,1
1/7/2013 5:30,1,1,0,1
1/7/2013 5:45,0,0,2,1
1/7/2013 6:00,1,1,1,1
1/7/2013 6:15,1,1,1,1
1/7/2013 6:30,3,1,1,0
1/7/2013 6:45,2,1,1,1
1/7/2013 7:00,3,1,1,1
1/7/2013 7:15,3,1,0,2
1/7/2013 7:30,2,0,1,1
1/7/2013 7:45,2,0,0,1
1/7/2013 8:00,0,0,1,1
1/7/2013 8:15,2,0,1,1
1/7/2013 8:30,3,0,1,1
1/7/2013 8:45,1,0,4,2
1/7/2013 9:00,3,1,1,0
1/7/2013 9:15,3,1,1,2
1/7/2013 9:30,3,1,0,1
1/7/2013 9:45,3,1,1,1
1/7/2013 10:00,2,1,1,1
1/7/2013 10:15,1,1,1,1
1/7/2013 10:30,1,1,1,0
1/7/2013 10:45,1,0,1,1
1/7/2013 11:00,1,0,1,1
1/7/2013 11:15,1,0,1,2
1/7/2013 11:30,1,0,0,2
1/7/2013 11:45,1,0,0,2
1/7/2013 12:00,1,0,0,1
1/7/2013 12:15,1,0,0,2
1/7/2013 12:30,0,0,0,0
1/7/2013 12:45,0,0,0,1
1/7/2013 13:00,0,0,0,1
1/7/2013 13:15,0,0,0,1
1/7/2013 13:30,1,0,1,1
1/7/2013 13:45,1,0,1,1
1/7/2013 14:00,1,0,1,1
1/7/2013 14:15,0,0,1,1
1/7/2013 14:30,1,1,1,1
1/7/2013 14:45,0,1,1,0
1/7/2013 15:00,1,1,0,1
1/7/2013 15:15,1,0,1,0
1/7/2013 15:30,0,1,0,0
1/7/2013 15:45,1,1,1,0
1/7/2013 16:00,1,1,1,1
1/7/2013 16:15,2,1,0,1
1/7/2013 16:30,2,1,0,1
1/7/2013 16:45,2,1,1,1
1/7/2013 17:00,1,1,1,0
1/7/2013 17:15,0,1,1,1
1/7/2013 17:30,2,1,0,1
1/7/2013 17:45,2,1,0,0
1/7/2013 18:00,2,0,0,0
1/7/2013 18:15,2,0,1,1
1/7/2013 18:30,2,0,0,1
1/7/2013 18:45,2,0,0,1
1/7/2013 19:00,2,1,1,1
1/7/2013 19:15,1,1,0,0
1/7/2013 19:30,0,1,2,0
1/7/2013 19:45,1,0,1,1
1/7/2013 20:00,1,0,0,1
1/7/2013 20:15,1,1,1,1
1/7/2013 20:30,1,0,0,1
1/7/2013 20:45,0,0,0,1
1/7/2013 21:00,4,0,0,3
1/7/2013 21:15,4,0,0,2
1/7/2013 21:30,4,0,1,3
1/7/2013 21:45,4,0,1,2
1/7/2013 22:00,4,0,0,3
1/7/2013 22:15,4,0,1,2
1/7/2013 22:30,0,1,4,0
1/7/2013 22:45,0,1,4,0
1/7/2013 23:00,3,0,0,3
1/7/2013 23:15,4,0,0,3
1/7/2013 23:30,4,0,0,2
1/7/2013 23:45,4,0,1,3
1/8/2013 0:00,4,1,0,3
1/8/2013 0:15,3,1,1,2
1/8/2013 0:30,4,0,1,2
1/8/2013 0:45,2,0,0,0
1/8/2013 1:00,1,0,1,0
1/8/2013 1:15,2,0,1,0
1/8/2013 1:30,0,0,1,0
1/8/2013 1:45,2,0,1,0
1/8/2013 2:00,1,0,0,0
1/8/2013 2:15,2,0,1,0
1/8/2013 2:30,2,0,1,0
1/8/2013 2:45,2,0,0,0
1/8/2013 3:00,2,0,0,0
1/8/2013 3:15,1,0,1,0
1/8/2013 3:30,1,0,0,0
1/8/2013 3:45,0,0,1,0
1/8/2013 4:00,1,0,0,0
1/8/2013 4:15,1,0,0,0
1/8/2013 4:30,1,0,0,0
1/8/2013 4:45,1,0,1,0
1/8/2013 5:00,2,0,0,0
1/8/2013 5:15,2,0,0,0
1/8/2013 5:30,2,0,1,0
1/8/2013 5:45,2,0,0,0
1/8/2013 6:00,1,0,0,0
1/8/2013 6:15,1,1,0,0
1/8/2013 6:30,0,1,1,1
1/8/2013 6:45,1,1,0,0
1/8/2013 7:00,1,1,0,1
1/8/2013 7:15,1,1,0,1
1/8/2013 7:30,1,1,1,0
1/8/2013 7:45,1,0,0,0
1/8/2013 8:00,1,0,1,0
1/8/2013 8:15,1,0,1,1
1/8/2013 8:30,0,0,1,1
1/8/2013 8:45,0,0,1,1
1/8/2013 9:00,12,0,1,39
1/8/2013 9:15,11,0,1,39
1/8/2013 9:30,11,2,1,39
1/8/2013 9:45,11,0,1,39
1/8/2013 10:00,12,0,0,39
1/8/2013 10:15,11,0,1,39
1/8/2013 10:30,0,0,7,0
1/8/2013 10:45,0,1,8,0
1/8/2013 11:00,0,1,7,1
1/8/2013 11:15,12,1,1,38
1/8/2013 11:30,10,1,1,38
1/8/2013 11:45,12,1,2,38
1/8/2013 12:00,12,1,1,39
1/8/2013 12:15,12,1,1,38
1/8/2013 12:30,13,0,1,38
1/8/2013 12:45,13,0,0,38
1/8/2013 13:00,3,1,1,1
1/8/2013 13:15,3,1,0,0
1/8/2013 13:30,1,0,1,0
1/8/2013 13:45,1,1,1,0
1/8/2013 14:00,0,1,1,0
1/8/2013 14:15,1,1,0,1
1/8/2013 14:30,1,1,0,0
1/8/2013 14:45,1,1,0,0
1/8/2013 15:00,1,1,0,0
1/8/2013 15:15,1,1,0,0
1/8/2013 15:30,1,0,0,1
1/8/2013 15:45,1,0,0,0
1/8/2013 16:00,0,0,0,1
1/8/2013 16:15,0,0,0,0
1/8/2013 16:30,0,0,0,0
1/8/2013 16:45,0,0,0,1
1/8/2013 17:00,0,0,0,1
1/8/2013 17:15,0,0,0,1
1/8/2013 17:30,0,0,0,1
1/8/2013 17:45,0,0,0,1
1/8/2013 18:00,0,0,0,1
1/8/2013 18:15,0,0,0,0
1/8/2013 18:30,0,0,0,1
1/8/2013 18:45,0,0,0,1
1/8/2013 19:00,0,0,0,0
1/8/2013 19:15,0,0,1,0
1/8/2013 19:30,0,0,0,0
1/8/2013 19:45,0,0,0,0
1/8/2013 20:00,0,0,0,0
1/8/2013 20:15,0,0,1,0
1/8/2013 20:30,0,0,0,0
1/8/2013 20:45,13,0,1,0
1/8/2013 21:00,13,0,1,38
1/8/2013 21:15,13,0,1,38
1/8/2013 21:30,13,0,0,38
1/8/2013 21:45,13,0,0,38
1/8/2013 22:00,13,0,0,38
1/8/2013 22:15,0,0,1,38
1/8/2013 22:30,13,0,8,0
1/8/2013 22:45,13,0,0,38
1/8/2013 23:00,13,0,1,38
1/8/2013 23:15,13,0,1,38
1/8/2013 23:30,13,0,1,38
1/8/2013 23:45,13,0,1,38
1/9/2013 0:00,13,0,1,38
1/9/2013 0:15,0,0,1,38
1/9/2013 0:30,0,0,1,0
