NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,PowerTLTMmin,PowerTLTMmax,SecondsTLTS1,IdLogNum,PowerRLTMmin,PowerRLTMmax,SecondsRLTS1,SecondsRLTS2,ES,SES,BBE,UAS
SOEM-M,5063,RAU,2013-01-01 00:00:00,15,Near End,c247_00747_00032_7049.12,1+0,-,4.0,4.0,0.0,0,,,,,,,,
SOEM-M,5063,RAU,2013-01-01 00:00:00,24,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,5063,RAU,2013-01-01 00:00:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,5063,HC,2013-01-01 00:00:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,5063,RAU,2013-01-01 00:00:00,24,Near End,c247_00747_00032_7049.12,1+0,-,1.0,5.0,0.0,0,,,,,,,,
SOEM-M,5063,HC,2013-01-01 00:00:00,24,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,5063,RAU,2013-01-01 00:15:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,5063,RAU,2013-01-01 00:15:00,15,Near End,c247_00747_00032_7049.12,1+0,-,3.0,4.0,0.0,0,,,,,,,,
SOEM-M,5063,HC,2013-01-01 00:15:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,5063,HC,2013-01-01 00:30:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,5063,RAU,2013-01-01 00:30:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,5063,RAU,2013-01-01 00:30:00,15,Near End,c247_00747_00032_7049.12,1+0,-,3.0,4.0,0.0,0,,,,,,,,
SOEM-M,5063,HC,2013-01-01 00:45:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,5063,RAU,2013-01-01 00:45:00,15,Near End,c247_00747_00032_7049.12,1+0,-,3.0,4.0,0.0,0,,,,,,,,
SOEM-M,5063,RAU,2013-01-01 00:45:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,5063,HC,2013-01-01 01:00:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,5063,RAU,2013-01-01 01:00:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,5063,RAU,2013-01-01 01:00:00,15,Near End,c247_00747_00032_7049.12,1+0,-,3.0,4.0,0.0,0,,,,,,,,
SOEM-M,5063,RAU,2013-01-01 01:15:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,5063,HC,2013-01-01 01:15:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,5063,RAU,2013-01-01 01:15:00,15,Near End,c247_00747_00032_7049.12,1+0,-,3.0,3.0,0.0,0,,,,,,,,
SOEM-M,5063,RAU,2013-01-01 01:30:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,5063,RAU,2013-01-01 01:30:00,15,Near End,c247_00747_00032_7049.12,1+0,-,3.0,4.0,0.0,0,,,,,,,,
SOEM-M,5063,HC,2013-01-01 01:30:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,5063,RAU,2013-01-01 01:45:00,15,Near End,c247_00747_00032_7049.12,1+0,-,3.0,4.0,0.0,0,,,,,,,,
SOEM-M,5063,HC,2013-01-01 01:45:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,5063,RAU,2013-01-01 01:45:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,5063,RAU,2013-01-01 02:15:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
