Time,PowerTLTMmax[dBm],PowerTLTMmin[dBm],PowerRLTMmax[dBm],PowerRLTMmin[dBm]
2015-01-03 17:30:00,-99.0,-99.0,-46.1,-48.0
2015-01-03 17:30:00,17.0,17.0,-46.1,-48.0
2015-01-03 17:45:00,-99.0,-99.0,-46.1,-47.4
2015-01-03 17:45:00,17.0,17.0,-46.1,-47.4
2015-01-03 18:00:00,-99.0,-99.0,-46.4,-47.4
2015-01-03 18:00:00,17.0,17.0,-46.4,-47.4
2015-01-03 18:15:00,-99.0,-99.0,-46.1,-47.4
2015-01-03 18:15:00,17.0,17.0,-46.1,-47.4
2015-01-03 18:30:00,-99.0,-99.0,-46.1,-47.1
2015-01-03 18:30:00,17.0,17.0,-46.1,-47.1
2015-01-03 18:45:00,-99.0,-99.0,-46.4,-47.4
2015-01-03 18:45:00,17.0,17.0,-46.4,-47.4
2015-01-03 19:00:00,17.0,17.0,-46.7,-48.3
2015-01-03 19:00:00,-99.0,-99.0,-46.7,-48.3
2015-01-03 19:15:00,-99.0,-99.0,-46.7,-49.3
2015-01-03 19:15:00,17.0,17.0,-46.7,-49.3
2015-01-03 19:30:00,-99.0,-99.0,-46.4,-47.7
2015-01-03 19:30:00,17.0,17.0,-46.4,-47.7
2015-01-03 19:45:00,-99.0,-99.0,-45.8,-47.4
2015-01-03 19:45:00,17.0,17.0,-45.8,-47.4
2015-01-03 20:00:00,-99.0,-99.0,-46.4,-47.7
2015-01-03 20:00:00,17.0,17.0,-46.4,-47.7
2015-01-03 20:15:00,-99.0,-99.0,-46.4,-48.3
2015-01-03 20:15:00,17.0,17.0,-46.4,-48.3
2015-01-03 20:30:00,-99.0,-99.0,-47.4,-49.3
2015-01-03 20:30:00,17.0,17.0,-47.4,-49.3
2015-01-03 20:45:00,17.0,17.0,-48.3,-49.6
2015-01-03 20:45:00,-99.0,-99.0,-48.3,-49.6
2015-01-08 14:45:00,-99.0,-99.0,-45.2,-45.8
2015-01-08 14:45:00,17.0,17.0,-45.2,-45.8
2015-01-08 15:00:00,-99.0,-99.0,-45.2,-45.8
2015-01-08 15:00:00,17.0,17.0,-45.2,-45.8
2015-01-08 15:15:00,-99.0,-99.0,-44.9,-45.8
2015-01-08 15:15:00,17.0,17.0,-44.9,-45.8
2015-01-08 15:30:00,-99.0,-99.0,-44.9,-45.8
2015-01-08 15:30:00,17.0,17.0,-44.9,-45.8
2015-01-08 15:45:00,-99.0,-99.0,-44.9,-45.5
2015-01-08 15:45:00,17.0,17.0,-44.9,-45.5
2015-01-08 16:00:00,-99.0,-99.0,-44.9,-45.8
2015-01-08 16:00:00,17.0,17.0,-44.9,-45.8
2015-01-08 16:15:00,17.0,17.0,-44.9,-45.8
2015-01-08 16:15:00,-99.0,-99.0,-44.9,-45.8
2015-01-08 16:30:00,-99.0,-99.0,-45.2,-45.8
2015-01-08 16:30:00,17.0,17.0,-45.2,-45.8
2015-01-08 16:45:00,-99.0,-99.0,-44.9,-45.8
2015-01-08 16:45:00,17.0,17.0,-44.9,-45.8
2015-01-08 17:00:00,-99.0,-99.0,-44.9,-45.8
2015-01-08 17:00:00,17.0,17.0,-44.9,-45.8
2015-01-08 17:15:00,-99.0,-99.0,-45.2,-45.8
2015-01-08 17:15:00,17.0,17.0,-45.2,-45.8
2015-01-08 17:30:00,-99.0,-99.0,-44.9,-45.8
2015-01-08 17:30:00,17.0,17.0,-44.9,-45.8
2015-01-08 17:45:00,-99.0,-99.0,-44.9,-45.8
2015-01-08 17:45:00,17.0,17.0,-44.9,-45.8
2015-01-08 18:00:00,-99.0,-99.0,-44.9,-45.8
2015-01-08 18:00:00,17.0,17.0,-44.9,-45.8
