Time,PowerTLTMmax[dBm],PowerTLTMmin[dBm],PowerRLTMmax[dBm],PowerRLTMmin[dBm]
2015-01-07 19:30:00,0.0,0.0,6.3,2.5
2015-01-07 19:45:00,0.0,0.0,8.2,12.3
2015-01-07 20:00:00,0.0,0.0,8.2,14.1
2015-01-07 20:15:00,0.0,0.0,5.4,6.6
2015-01-07 20:30:00,0.0,0.0,7.9,3.8
2015-01-07 20:45:00,4.0,5.0,22.9,36.1
2015-01-07 21:00:00,4.0,5.0,22.9,36.1
2015-01-07 21:15:00,2.0,4.0,17.5,34.8
2015-01-07 21:30:00,0.0,3.0,19.7,32.9
2015-01-07 21:45:00,0.0,0.0,19.1,25.4
2015-01-07 22:00:00,0.0,0.0,12.8,23.5
2015-01-07 22:15:00,0.0,0.0,12.5,23.5
2015-01-11 00:15:00,0.0,0.0,10.6,16.0
2015-01-11 00:15:00,0.0,0.0,3.1,0.0
2015-01-11 00:30:00,0.0,0.0,0.0,5.6
2015-01-11 00:45:00,6.0,7.0,19.7,35.1
2015-01-11 01:00:00,6.0,7.0,19.7,35.1
2015-01-11 01:15:00,7.0,7.0,19.7,35.1
2015-01-11 01:30:00,7.0,8.0,19.7,35.1
2015-01-11 01:45:00,8.0,8.0,19.7,35.1
2015-01-11 02:00:00,8.0,8.0,19.7,35.1
2015-01-11 02:15:00,8.0,8.0,19.7,29.5
2015-01-11 11:30:00,2.0,1.0,0.0,0.0
2015-01-11 11:45:00,2.0,1.0,0.0,0.0
2015-01-11 12:00:00,1.0,1.0,0.0,0.0
2015-01-11 12:15:00,1.0,0.0,0.0,0.0
2015-01-11 12:30:00,0.0,0.0,0.0,0.0
2015-01-11 12:45:00,0.0,0.0,0.0,0.0
2015-01-11 13:00:00,0.0,0.0,0.0,0.0
2015-01-11 13:15:00,0.0,0.0,0.0,0.0
2015-01-11 13:30:00,0.0,0.0,0.0,0.0
2015-01-11 13:45:00,0.0,0.0,0.0,0.0
2015-01-11 14:00:00,0.0,0.0,0.0,0.0
2015-01-11 14:15:00,0.0,0.0,0.0,0.0
2015-01-11 14:30:00,0.0,0.0,0.0,0.0
2015-01-11 14:45:00,0.0,0.0,0.0,0.0
2015-01-11 15:00:00,0.0,0.0,0.0,0.0
2015-01-11 15:15:00,0.0,0.0,0.0,0.0
2015-01-14 09:15:00,0.0,0.0,0.0,0.0
2015-01-14 09:30:00,0.0,0.0,0.0,0.0
2015-01-14 09:45:00,0.0,0.0,0.0,0.0
2015-01-14 10:00:00,0.0,0.0,0.0,0.0
2015-01-14 10:15:00,0.0,0.0,0.0,0.0
2015-01-14 10:30:00,0.0,0.0,0.0,0.0
2015-01-14 10:45:00,0.0,0.0,0.0,0.0
2015-01-14 11:00:00,0.0,0.0,0.0,0.0
2015-01-14 11:15:00,0.0,0.0,0.0,0.0
2015-01-14 11:30:00,0.0,0.0,0.0,0.0
2015-01-14 11:45:00,0.0,0.0,0.0,0.0
2015-01-14 12:00:00,0.0,0.0,0.0,0.0
2015-01-14 12:15:00,0.0,0.0,0.0,0.0
2015-01-14 12:30:00,0.0,0.0,0.0,0.0
2015-01-14 12:45:00,0.0,0.0,0.0,0.0
2015-01-14 13:00:00,0.0,0.0,0.0,0.0
2015-01-14 13:15:00,0.0,0.0,0.0,0.0
