Time,link_id,Interval,PowerTLTMmin,PowerTLTMmax,PowerRLTMmin,PowerRLTMmax
2015-01-03 17:30:00,a119-b474,15,17,17,-43.0,-42.4
2015-01-03 17:30:00,a119-b474,15,17,17,-45.8,-44.9
2015-01-03 17:45:00,a119-b474,15,17,17,-43.3,-42.4
2015-01-03 17:45:00,a119-b474,15,17,17,-45.8,-45.2
2015-01-03 18:00:00,a119-b474,15,17,17,-43.0,-42.4
2015-01-03 18:00:00,a119-b474,15,17,17,-45.8,-44.9
2015-01-03 18:15:00,a119-b474,15,17,17,-43.0,-42.4
2015-01-03 18:15:00,a119-b474,15,17,17,-45.8,-44.9
2015-01-03 18:30:00,a119-b474,15,17,17,-43.3,-42.4
2015-01-03 18:30:00,a119-b474,15,17,17,-45.8,-45.2
2015-01-03 18:45:00,a119-b474,15,17,17,-43.3,-42.4
2015-01-03 18:45:00,a119-b474,15,17,17,-45.8,-45.2
2015-01-03 19:00:00,a119-b474,15,17,17,-45.8,-44.9
2015-01-03 19:00:00,a119-b474,15,17,17,-43.0,-42.4
2015-01-03 19:15:00,a119-b474,15,17,17,-43.0,-42.0
2015-01-03 19:15:00,a119-b474,15,17,17,-45.8,-44.9
2015-01-03 19:30:00,a119-b474,15,17,17,-43.0,-42.4
2015-01-03 19:30:00,a119-b474,15,17,17,-45.8,-45.2
2015-01-03 19:45:00,a119-b474,15,17,17,-43.3,-42.4
2015-01-03 19:45:00,a119-b474,15,17,17,-46.1,-45.2
2015-01-03 20:00:00,a119-b474,15,17,17,-43.3,-42.4
2015-01-03 20:00:00,a119-b474,15,17,17,-46.1,-45.2
2015-01-03 20:15:00,a119-b474,15,17,17,-43.3,-42.4
2015-01-03 20:15:00,a119-b474,15,17,17,-46.1,-45.2
2015-01-03 20:30:00,a119-b474,15,17,17,-42.7,-42.0
2015-01-03 20:30:00,a119-b474,15,17,17,-45.8,-44.9
2015-01-03 20:45:00,a119-b474,15,17,17,-45.5,-44.5
2015-01-03 20:45:00,a119-b474,15,17,17,-42.7,-42.0
2015-01-08 14:45:00,a119-b474,15,17,17,-45.8,-44.5
2015-01-08 14:45:00,a119-b474,15,17,17,-46.7,-45.8
2015-01-08 15:00:00,a119-b474,15,17,17,-45.8,-44.5
2015-01-08 15:00:00,a119-b474,15,17,17,-46.4,-45.8
2015-01-08 15:15:00,a119-b474,15,17,17,-45.8,-44.2
2015-01-08 15:15:00,a119-b474,15,17,17,-46.4,-45.8
2015-01-08 15:30:00,a119-b474,15,17,17,-45.5,-44.2
2015-01-08 15:30:00,a119-b474,15,17,17,-46.4,-45.8
2015-01-08 15:45:00,a119-b474,15,17,17,-45.8,-44.2
2015-01-08 15:45:00,a119-b474,15,17,17,-46.4,-45.8
2015-01-08 16:00:00,a119-b474,15,17,17,-45.8,-44.2
2015-01-08 16:00:00,a119-b474,15,17,17,-46.4,-45.8
2015-01-08 16:15:00,a119-b474,15,17,17,-46.4,-45.8
2015-01-08 16:15:00,a119-b474,15,17,17,-45.5,-44.2
2015-01-08 16:30:00,a119-b474,15,17,17,-45.8,-43.6
2015-01-08 16:30:00,a119-b474,15,17,17,-46.4,-45.5
2015-01-08 16:45:00,a119-b474,15,17,17,-45.2,-43.9
2015-01-08 16:45:00,a119-b474,15,17,17,-46.4,-45.8
2015-01-08 17:00:00,a119-b474,15,17,17,-45.2,-43.9
2015-01-08 17:00:00,a119-b474,15,17,17,-46.4,-45.8
2015-01-08 17:15:00,a119-b474,15,17,17,-45.2,-43.6
2015-01-08 17:15:00,a119-b474,15,17,17,-46.4,-45.8
2015-01-08 17:30:00,a119-b474,15,17,17,-44.5,-43.3
2015-01-08 17:30:00,a119-b474,15,17,17,-46.1,-45.5
2015-01-08 17:45:00,a119-b474,15,17,17,-44.5,-43.3
2015-01-08 17:45:00,a119-b474,15,17,17,-46.1,-45.5
2015-01-08 18:00:00,a119-b474,15,17,17,-44.5,-43.6
2015-01-08 18:00:00,a119-b474,15,17,17,-46.4,-45.5
