Time,link_id,Interval,PowerTLTMmin,PowerTLTMmax,PowerRLTMmin,PowerRLTMmax
2015-01-03 17:30:00,b474-a119,15,-99,-99,-48.0,-46.1
2015-01-03 17:30:00,b474-a119,15,17,17,-48.0,-46.1
2015-01-03 17:45:00,b474-a119,15,-99,-99,-47.4,-46.1
2015-01-03 17:45:00,b474-a119,15,17,17,-47.4,-46.1
2015-01-03 18:00:00,b474-a119,15,-99,-99,-47.4,-46.4
2015-01-03 18:00:00,b474-a119,15,17,17,-47.4,-46.4
2015-01-03 18:15:00,b474-a119,15,-99,-99,-47.4,-46.1
2015-01-03 18:15:00,b474-a119,15,17,17,-47.4,-46.1
2015-01-03 18:30:00,b474-a119,15,-99,-99,-47.1,-46.1
2015-01-03 18:30:00,b474-a119,15,17,17,-47.1,-46.1
2015-01-03 18:45:00,b474-a119,15,-99,-99,-47.4,-46.4
2015-01-03 18:45:00,b474-a119,15,17,17,-47.4,-46.4
2015-01-03 19:00:00,b474-a119,15,17,17,-48.3,-46.7
2015-01-03 19:00:00,b474-a119,15,-99,-99,-48.3,-46.7
2015-01-03 19:15:00,b474-a119,15,-99,-99,-49.3,-46.7
2015-01-03 19:15:00,b474-a119,15,17,17,-49.3,-46.7
2015-01-03 19:30:00,b474-a119,15,-99,-99,-47.7,-46.4
2015-01-03 19:30:00,b474-a119,15,17,17,-47.7,-46.4
2015-01-03 19:45:00,b474-a119,15,-99,-99,-47.4,-45.8
2015-01-03 19:45:00,b474-a119,15,17,17,-47.4,-45.8
2015-01-03 20:00:00,b474-a119,15,-99,-99,-47.7,-46.4
2015-01-03 20:00:00,b474-a119,15,17,17,-47.7,-46.4
2015-01-03 20:15:00,b474-a119,15,-99,-99,-48.3,-46.4
2015-01-03 20:15:00,b474-a119,15,17,17,-48.3,-46.4
2015-01-03 20:30:00,b474-a119,15,-99,-99,-49.3,-47.4
2015-01-03 20:30:00,b474-a119,15,17,17,-49.3,-47.4
2015-01-03 20:45:00,b474-a119,15,17,17,-49.6,-48.3
2015-01-03 20:45:00,b474-a119,15,-99,-99,-49.6,-48.3
2015-01-08 14:45:00,b474-a119,15,-99,-99,-45.8,-45.2
2015-01-08 14:45:00,b474-a119,15,17,17,-45.8,-45.2
2015-01-08 15:00:00,b474-a119,15,-99,-99,-45.8,-45.2
2015-01-08 15:00:00,b474-a119,15,17,17,-45.8,-45.2
2015-01-08 15:15:00,b474-a119,15,-99,-99,-45.8,-44.9
2015-01-08 15:15:00,b474-a119,15,17,17,-45.8,-44.9
2015-01-08 15:30:00,b474-a119,15,-99,-99,-45.8,-44.9
2015-01-08 15:30:00,b474-a119,15,17,17,-45.8,-44.9
2015-01-08 15:45:00,b474-a119,15,-99,-99,-45.5,-44.9
2015-01-08 15:45:00,b474-a119,15,17,17,-45.5,-44.9
2015-01-08 16:00:00,b474-a119,15,-99,-99,-45.8,-44.9
2015-01-08 16:00:00,b474-a119,15,17,17,-45.8,-44.9
2015-01-08 16:15:00,b474-a119,15,17,17,-45.8,-44.9
2015-01-08 16:15:00,b474-a119,15,-99,-99,-45.8,-44.9
2015-01-08 16:30:00,b474-a119,15,-99,-99,-45.8,-45.2
2015-01-08 16:30:00,b474-a119,15,17,17,-45.8,-45.2
2015-01-08 16:45:00,b474-a119,15,-99,-99,-45.8,-44.9
2015-01-08 16:45:00,b474-a119,15,17,17,-45.8,-44.9
2015-01-08 17:00:00,b474-a119,15,-99,-99,-45.8,-44.9
2015-01-08 17:00:00,b474-a119,15,17,17,-45.8,-44.9
2015-01-08 17:15:00,b474-a119,15,-99,-99,-45.8,-45.2
2015-01-08 17:15:00,b474-a119,15,17,17,-45.8,-45.2
2015-01-08 17:30:00,b474-a119,15,-99,-99,-45.8,-44.9
2015-01-08 17:30:00,b474-a119,15,17,17,-45.8,-44.9
2015-01-08 17:45:00,b474-a119,15,-99,-99,-45.8,-44.9
2015-01-08 17:45:00,b474-a119,15,17,17,-45.8,-44.9
2015-01-08 18:00:00,b474-a119,15,-99,-99,-45.8,-44.9
2015-01-08 18:00:00,b474-a119,15,17,17,-45.8,-44.9
