Time,link_id,Interval,PowerTLTMmin,PowerTLTMmax,PowerRLTMmin,PowerRLTMmax
2015-01-31 00:15:00,a394-ts02,15,6,9,-40.2,-38.6
2015-01-31 00:30:00,a394-ts02,15,6,8,-40.2,-38.9
2015-01-31 00:45:00,a394-ts02,15,7,9,-40.2,-38.9
2015-01-31 01:00:00,a394-ts02,15,7,9,-40.2,-38.9
2015-02-01 00:00:00,a394-ts02,15,8,9,-40.5,-38.6
2015-02-01 00:15:00,a394-ts02,15,7,9,-40.2,-38.6
2015-02-01 00:30:00,a394-ts02,15,7,8,-40.2,-38.9
2015-02-01 00:45:00,a394-ts02,15,7,9,-40.2,-38.9
2015-02-01 01:00:00,a394-ts02,15,7,9,-40.2,-38.9
2015-02-02 00:00:00,a394-ts02,15,7,10,-40.5,-38.6
2015-02-02 00:15:00,a394-ts02,15,9,10,-40.2,-38.6
2015-02-02 00:30:00,a394-ts02,15,8,11,-40.2,-38.9
2015-02-02 00:45:00,a394-ts02,15,9,12,-40.2,-38.9
2015-02-02 01:00:00,a394-ts02,15,5,9,-40.2,-38.9
2015-02-03 00:00:00,a394-ts02,15,9,12,-40.5,-38.6
2015-02-03 00:15:00,a394-ts02,15,10,13,-40.2,-38.6
2015-02-03 00:30:00,a394-ts02,15,10,13,-40.2,-38.9
2015-02-03 00:45:00,a394-ts02,15,10,13,-40.2,-38.9
2015-02-03 01:00:00,a394-ts02,15,10,12,-40.2,-38.9
2015-02-04 00:00:00,a394-ts02,15,10,12,-40.5,-38.6
2015-02-04 00:15:00,a394-ts02,15,11,13,-40.2,-38.6
2015-02-04 00:30:00,a394-ts02,15,11,12,-40.2,-38.9
2015-02-04 00:45:00,a394-ts02,15,11,12,-40.2,-38.9
2015-02-04 01:00:00,a394-ts02,15,12,12,-40.2,-38.9
2015-02-05 00:00:00,a394-ts02,15,9,11,-40.5,-38.6
2015-02-05 00:15:00,a394-ts02,15,10,11,-40.2,-38.6
2015-02-05 00:30:00,a394-ts02,15,10,11,-40.2,-38.9
2015-02-05 00:45:00,a394-ts02,15,10,11,-40.2,-38.9
2015-02-05 01:00:00,a394-ts02,15,10,11,-40.2,-38.9
2015-02-06 00:00:00,a394-ts02,15,8,10,-40.5,-38.6
2015-02-06 00:15:00,a394-ts02,15,8,10,-40.2,-38.6
2015-02-06 00:30:00,a394-ts02,15,7,10,-40.2,-38.9
2015-02-06 00:45:00,a394-ts02,15,7,10,-40.2,-38.9
2015-02-06 01:00:00,a394-ts02,15,7,11,-40.2,-38.9
2015-02-07 00:00:00,a394-ts02,15,8,11,-40.5,-38.6
2015-02-07 00:15:00,a394-ts02,15,8,14,-40.2,-38.6
2015-02-07 00:30:00,a394-ts02,15,10,13,-40.2,-38.9
2015-02-07 00:45:00,a394-ts02,15,10,13,-40.2,-38.9
2015-02-07 01:00:00,a394-ts02,15,8,10,-40.2,-38.9
2015-02-08 00:00:00,a394-ts02,15,12,12,-40.5,-38.6
2015-02-08 00:15:00,a394-ts02,15,12,13,-40.2,-38.6
2015-02-08 00:30:00,a394-ts02,15,12,13,-40.2,-38.9
2015-02-08 00:45:00,a394-ts02,15,12,13,-40.2,-38.9
2015-02-08 01:00:00,a394-ts02,15,12,13,-40.2,-38.9
2015-02-09 00:00:00,a394-ts02,15,10,12,-40.5,-38.6
2015-02-09 00:15:00,a394-ts02,15,11,12,-40.2,-38.6
2015-02-09 00:30:00,a394-ts02,15,10,13,-40.2,-38.9
2015-02-09 00:45:00,a394-ts02,15,11,13,-40.2,-38.9
2015-02-09 01:00:00,a394-ts02,15,12,13,-40.2,-38.9
2015-02-10 00:00:00,a394-ts02,15,10,11,-40.5,-38.6
2015-02-10 00:15:00,a394-ts02,15,10,11,-40.2,-38.6
2015-02-10 00:30:00,a394-ts02,15,9,10,-40.2,-38.9
2015-02-10 00:45:00,a394-ts02,15,7,10,-40.2,-38.9
2015-02-10 01:00:00,a394-ts02,15,7,9,-40.2,-38.9
2015-02-11 00:00:00,a394-ts02,15,10,12,-40.5,-38.6
2015-02-11 00:15:00,a394-ts02,15,10,12,-40.2,-38.6
2015-02-11 00:30:00,a394-ts02,15,10,12,-40.2,-38.9
2015-02-11 00:45:00,a394-ts02,15,10,12,-40.2,-38.9
2015-02-11 01:00:00,a394-ts02,15,10,12,-40.2,-38.9
2015-02-12 00:00:00,a394-ts02,15,10,11,-40.5,-38.6
2015-02-12 00:15:00,a394-ts02,15,10,11,-40.2,-38.6
2015-02-12 00:30:00,a394-ts02,15,10,11,-40.2,-38.9
2015-02-12 00:45:00,a394-ts02,15,10,11,-40.2,-38.9
2015-02-12 01:00:00,a394-ts02,15,10,11,-40.2,-38.9
2015-02-13 00:00:00,a394-ts02,15,9,10,-40.5,-38.6
2015-02-13 00:15:00,a394-ts02,15,9,10,-40.2,-38.6
2015-02-13 00:30:00,a394-ts02,15,9,10,-40.2,-38.9
2015-02-13 00:45:00,a394-ts02,15,10,10,-40.2,-38.9
2015-02-13 01:00:00,a394-ts02,15,10,11,-40.2,-38.9
2015-02-14 00:00:00,a394-ts02,15,11,11,-40.5,-38.6
2015-02-14 00:15:00,a394-ts02,15,11,11,-40.2,-38.6
2015-02-14 00:30:00,a394-ts02,15,11,11,-40.2,-38.9
2015-02-14 00:45:00,a394-ts02,15,10,11,-40.2,-38.9
2015-02-14 01:00:00,a394-ts02,15,10,11,-40.2,-38.9
2015-02-15 00:00:00,a394-ts02,15,10,11,-40.5,-38.6
