Time,link_id,Interval,PowerTLTMmin,PowerTLTMmax,PowerRLTMmin,PowerRLTMmax
2015-12-03 17:00:00,f350-e483,15,14,15,-50.8,-50.2
2015-12-03 18:30:00,f350-e483,15,14,15,-50.8,-50.2
2015-12-08 14:00:00,f350-e483,15,13,14,-50.8,-50.2
2015-12-09 10:00:00,f350-e483,15,13,14,-50.8,-50.2
2015-12-15 10:00:00,f350-e483,15,14,15,-50.8,-50.2
2015-12-19 01:00:00,f350-e483,15,13,14,-50.8,-50.2
2015-12-19 11:15:00,f350-e483,15,13,14,-50.8,-50.2
2015-12-19 17:15:00,f350-e483,15,14,14,-50.8,-50.2
2015-12-20 03:30:00,f350-e483,15,13,14,-50.8,-50.2
2015-12-24 10:15:00,f350-e483,15,14,14,-50.8,-50.2
2015-12-26 07:45:00,f350-e483,15,13,14,-50.8,-50.2
2015-12-29 13:15:00,f350-e483,15,13,14,-50.8,-50.2
