Time,PowerTLTMmax[dBm],PowerTLTMmin[dBm],PowerRLTMmax[dBm],PowerRLTMmin[dBm]
2011-08-05 08:15,5.0,4.8,-51.0,-51.0
2011-08-05 08:30,5.0,4.8,-51.0,-51.0
2011-08-05 08:45,5.0,4.8,-51.0,-51.0
2011-08-05 09:00,5.0,4.8,-51.0,-51.0
2011-08-05 09:15,5.0,4.8,-51.0,-51.0
2011-08-05 09:30,5.0,4.8,-51.0,-51.0
2011-08-05 09:45,5.0,4.8,-51.0,-51.0
2011-08-05 10:00,5.0,4.8,-51.0,-51.0
2011-08-05 10:15,5.0,4.8,-51.0,-51.0
2011-08-05 10:30,5.0,4.8,-51.0,-51.0
2011-08-05 10:45,5.0,4.8,-51.0,-51.0
2011-08-05 11:00,5.0,4.8,-51.0,-51.0
2011-08-05 11:15,5.0,4.8,-51.0,-51.0
2011-08-05 11:30,5.0,4.8,-51.0,-51.0
2011-08-05 11:45,5.0,4.8,-51.0,-51.0
2011-08-05 12:00,5.0,4.8,-51.0,-51.0
2011-08-05 12:15,5.0,4.8,-51.0,-51.0
2011-08-05 12:30,5.0,4.8,-51.0,-51.0
2011-08-05 12:45,5.0,4.8,-51.0,-51.0
2011-08-05 13:15,5.0,4.8,-51.0,-51.0
2011-08-05 13:30,5.0,4.8,-51.0,-51.0
2011-08-05 13:45,5.0,4.8,-51.0,-51.0
2011-08-05 14:00,5.0,4.8,-51.0,-51.0
2011-08-05 14:15,5.0,4.8,-51.0,-51.0
2011-08-05 14:30,5.0,4.8,-51.0,-51.0
2011-08-05 14:45,5.0,4.8,-51.0,-51.0
2011-08-05 15:00,5.0,4.8,-51.0,-51.0
2011-08-05 15:15,5.0,4.8,-51.0,-51.0
2011-08-05 15:30,5.0,4.8,-51.0,-51.0
2011-08-05 15:45,5.0,4.8,-51.0,-51.0
2011-08-05 16:00,5.0,4.8,-51.0,-51.0
2011-08-05 16:15,5.0,4.8,-51.0,-51.0
2011-08-05 16:30,5.0,4.8,-51.0,-51.0
2011-08-05 16:45,5.0,4.8,-51.0,-51.0
2011-08-05 17:00,5.0,4.8,-51.0,-51.0
2011-08-05 17:15,5.0,4.8,-51.0,-51.0
2011-08-05 17:30,5.0,4.8,-51.0,-51.0
2011-08-05 17:45,5.0,4.8,-51.0,-51.0
2011-08-05 18:00,5.0,4.8,-51.0,-51.0
2011-08-05 18:15,5.0,4.8,-51.0,-51.0
2011-08-05 18:30,5.0,4.8,-51.0,-51.0
2011-08-05 18:45,5.0,4.8,-51.0,-51.0
2011-08-05 19:00,5.0,4.8,-51.0,-51.0
2011-08-05 19:15,5.0,4.8,-51.0,-51.0
2011-08-05 19:30,5.0,4.8,-51.0,-51.0
2011-08-05 19:45,5.0,4.8,-51.0,-51.0
2011-08-05 20:00,5.0,4.8,-51.0,-51.0
2011-08-05 20:15,5.0,4.8,-51.0,-51.0
2011-08-05 20:30,5.0,4.8,-51.0,-51.0
2011-08-05 20:45,5.0,4.8,-51.0,-51.0
2011-08-05 21:00,5.0,4.8,-51.0,-51.0
2011-08-05 21:15,5.0,4.8,-51.0,-51.0
2011-08-05 21:30,5.0,4.8,-51.0,-51.0
2011-08-05 21:45,5.0,4.8,-51.0,-51.0
2011-08-05 22:00,5.0,4.8,-51.0,-51.0
2011-08-05 22:15,5.0,4.8,-51.0,-51.0
2011-08-05 22:30,5.0,4.8,-51.0,-51.0
2011-08-05 22:45,5.0,4.8,-51.0,-51.0
2011-08-05 23:00,5.0,4.8,-51.0,-51.0
2011-08-05 23:15,5.0,4.8,-51.0,-51.0
2011-08-05 23:30,5.0,4.8,-51.0,-51.0
2011-08-05 23:45,5.0,4.8,-51.0,-51.0
2011-08-06 00:00,5.0,4.8,-51.0,-51.0
2011-08-06 00:15,5.0,4.8,-51.0,-51.0
2011-08-06 00:30,5.0,4.8,-51.0,-51.0
2011-08-06 00:45,5.0,4.8,-51.0,-51.0
2011-08-06 01:00,5.0,4.8,-51.0,-51.0
2011-08-06 01:15,5.0,4.8,-51.0,-51.0
2011-08-06 01:30,5.0,4.8,-51.0,-51.0
2011-08-06 01:45,5.0,4.8,-51.0,-51.0
2011-08-06 02:00,5.0,4.8,-51.0,-51.0
2011-08-06 02:15,5.0,4.8,-51.0,-51.0
2011-08-06 02:30,5.0,4.8,-51.0,-51.0
2011-08-06 02:45,5.0,4.8,-51.0,-51.0
2011-08-06 03:00,5.0,4.8,-51.0,-51.0
2011-08-06 03:15,5.0,4.8,-51.0,-51.0
2011-08-06 03:30,5.0,4.8,-51.0,-51.0
2011-08-06 03:45,5.0,4.8,-51.0,-51.0
2011-08-06 04:00,5.0,4.8,-51.0,-51.0
2011-08-06 04:15,5.0,4.8,-51.0,-51.0
2011-08-06 04:30,5.0,4.8,-51.0,-51.0
2011-08-06 04:45,5.0,4.8,-51.0,-51.0
2011-08-06 05:00,5.0,4.8,-51.0,-51.0
2011-08-06 05:15,5.0,4.8,-51.0,-51.0
2011-08-06 05:30,5.0,4.8,-51.0,-51.0
2011-08-06 05:45,5.0,4.8,-51.0,-51.0
2011-08-06 06:00,5.0,4.8,-51.0,-51.0
2011-08-06 06:15,5.0,4.8,-51.0,-51.0
2011-08-06 06:30,5.0,4.8,-51.0,-51.0
2011-08-06 06:45,5.0,4.8,-51.0,-51.0
2011-08-06 07:00,5.0,4.8,-51.0,-51.0
2011-08-06 07:15,5.0,4.8,-51.0,-51.0
2011-08-06 07:30,5.0,4.8,-51.0,-51.0
2011-08-06 07:45,5.0,4.8,-51.0,-51.0
2011-08-06 08:00,5.0,4.8,-51.0,-51.0
2011-08-06 08:15,5.0,4.8,-51.0,-51.0
2011-08-06 08:30,5.0,4.8,-51.0,-51.0
2011-08-06 08:45,5.0,4.8,-51.0,-51.0
2011-08-06 09:00,5.0,4.8,-51.0,-51.0
2011-08-06 09:15,5.0,4.8,-51.0,-51.0
2011-08-06 09:30,5.0,4.8,-51.0,-51.0
2011-08-06 09:45,5.0,4.8,-51.0,-51.0
2011-08-06 10:00,5.0,4.8,-51.0,-51.0
2011-08-06 10:15,5.0,4.8,-51.0,-51.0
2011-08-06 10:30,5.0,4.8,-51.0,-51.0
2011-08-06 10:45,5.0,4.8,-51.0,-51.0
2011-08-06 11:00,5.0,4.8,-51.0,-51.0
2011-08-06 11:15,5.0,4.8,-51.0,-51.0
2011-08-06 11:30,5.0,4.8,-51.0,-51.0
2011-08-06 11:45,5.0,4.8,-51.0,-51.0
2011-08-06 12:00,5.0,4.8,-51.0,-51.0
2011-08-06 12:15,5.0,4.8,-51.0,-51.0
2011-08-06 12:30,5.0,4.8,-51.0,-51.0
2011-08-06 13:00,5.0,4.8,-51.0,-51.0
2011-08-06 13:15,5.0,4.8,-51.0,-51.0
2011-08-06 13:30,5.0,4.8,-51.0,-51.0
2011-08-06 13:45,5.0,4.8,-51.0,-51.0
2011-08-06 14:00,5.0,4.8,-51.0,-51.0
2011-08-06 14:15,5.0,4.8,-51.0,-51.0
2011-08-06 14:30,5.0,4.8,-51.0,-51.0
2011-08-06 14:45,5.0,4.8,-51.0,-51.0
2011-08-06 15:00,5.0,4.8,-51.0,-51.0
2011-08-06 15:15,5.0,4.8,-51.0,-51.0
2011-08-06 15:30,5.0,4.8,-51.0,-51.0
2011-08-06 15:45,5.0,4.8,-51.0,-55.0
2011-08-06 16:00,5.0,4.8,-52.0,-56.0
2011-08-06 16:15,5.0,4.8,-52.0,-56.0
2011-08-06 16:30,5.0,4.8,-51.0,-56.0
2011-08-06 16:45,5.0,4.8,-53.0,-59.0
2011-08-06 17:00,5.0,4.8,-52.0,-53.0
2011-08-06 17:15,5.0,4.8,-52.0,-54.0
2011-08-06 17:30,5.0,4.8,-52.0,-53.0
2011-08-06 17:45,5.0,4.8,-51.0,-53.0
2011-08-06 18:00,5.0,4.8,-53.0,-62.0
2011-08-06 18:15,5.0,4.8,-53.0,-55.0
2011-08-06 18:30,5.0,4.8,-52.0,-53.0
2011-08-06 18:45,5.0,4.8,-52.0,-57.0
2011-08-06 19:00,5.0,4.8,-54.0,-56.0
2011-08-06 19:15,5.0,4.8,-54.0,-56.0
2011-08-06 19:30,5.0,4.8,-54.0,-56.0
2011-08-06 19:45,5.0,4.8,-52.0,-54.0
2011-08-06 20:00,5.0,4.8,-52.0,-55.0
2011-08-06 20:15,5.0,4.8,-52.0,-54.0
2011-08-06 20:30,5.0,4.8,-52.0,-54.0
2011-08-06 20:45,5.0,4.8,-53.0,-54.0
2011-08-06 21:00,5.0,4.8,-52.0,-53.0
2011-08-06 21:15,5.0,4.8,-52.0,-52.0
2011-08-06 21:30,5.0,4.8,-51.0,-52.0
2011-08-06 21:45,5.0,4.8,-51.0,-52.0
2011-08-06 22:00,5.0,4.8,-51.0,-52.0
2011-08-06 22:15,5.0,4.8,-51.0,-51.0
2011-08-06 22:30,5.0,4.8,-51.0,-51.0
2011-08-06 22:45,5.0,4.8,-51.0,-52.0
2011-08-06 23:00,5.0,4.8,-52.0,-52.0
2011-08-06 23:15,5.0,4.8,-51.0,-52.0
2011-08-06 23:30,5.0,4.8,-51.0,-51.0
2011-08-06 23:45,5.0,4.8,-51.0,-51.0
2011-08-07 00:00,5.0,4.8,-51.0,-51.0
2011-08-07 00:15,5.0,4.8,-51.0,-51.0
2011-08-07 00:30,5.0,4.8,-51.0,-51.0
2011-08-07 00:45,5.0,4.8,-51.0,-52.0
