Time,PowerTLTMmax[dBm],PowerTLTMmin[dBm],PowerRLTMmax[dBm],PowerRLTMmin[dBm]
09-06-2011 08:15,5.0,4.8,-50.0,-50.0
09-06-2011 09:15,5.0,4.8,-50.0,-50.0
09-06-2011 10:15,5.0,4.8,-50.0,-50.0
09-06-2011 11:30,5.0,4.8,-50.0,-50.0
09-06-2011 12:30,5.0,4.8,-50.0,-50.0
09-06-2011 13:30,5.0,4.8,-50.0,-50.0
09-06-2011 14:30,5.0,4.8,-50.0,-50.0
09-06-2011 15:30,5.0,4.8,-50.0,-50.0
09-06-2011 16:45,5.0,4.8,-50.0,-50.0
09-06-2011 17:45,5.0,4.8,-50.0,-50.0
09-06-2011 19:00,5.0,4.8,-49.75,-50.0
09-06-2011 20:00,5.0,4.8,-49.75,-50.0
09-06-2011 21:00,5.0,4.8,-49.25,-50.0
09-06-2011 22:00,5.0,4.8,-49.75,-50.0
09-06-2011 23:00,5.0,4.8,-49.25,-50.0
10-06-2011 00:00,5.0,4.8,-49.0,-50.0
10-06-2011 01:00,5.0,4.8,-49.0,-50.0
10-06-2011 02:15,5.0,4.8,-49.0,-50.0
10-06-2011 03:15,5.0,4.8,-49.0,-50.0
10-06-2011 04:15,5.0,4.8,-49.25,-50.0
10-06-2011 05:15,5.0,4.8,-50.0,-50.0
10-06-2011 06:15,5.0,4.8,-50.0,-50.0
10-06-2011 07:15,5.0,4.8,-50.0,-50.0
10-06-2011 08:15,5.0,4.8,-50.0,-50.0
10-06-2011 09:30,5.0,4.8,-50.0,-50.0
10-06-2011 10:30,5.0,4.8,-50.0,-50.0
10-06-2011 11:30,5.0,4.8,-50.0,-50.0
10-06-2011 12:30,5.0,4.8,-50.0,-50.25
10-06-2011 13:30,5.0,4.8,-49.75,-51.0
10-06-2011 14:30,5.0,4.8,-49.75,-52.75
10-06-2011 15:30,5.0,4.8,-50.0,-50.0
10-06-2011 16:45,5.0,4.8,-49.5,-50.0
10-06-2011 18:00,5.0,4.8,-51.0,-54.75
