Time,PowerTLTMmax[dBm],PowerTLTMmin[dBm],PowerRLTMmax[dBm],PowerRLTMmin[dBm]
2011-06-09 08:15,5.0,4.8,-52.0,-55.0
2011-06-09 08:30,5.0,4.8,-52.0,-55.0
2011-06-09 08:45,5.0,4.8,-53.0,-55.0
2011-06-09 09:00,5.0,4.8,-52.0,-55.0
2011-06-09 09:15,5.0,4.8,-52.0,-56.0
2011-06-09 09:30,5.0,4.8,-53.0,-56.0
2011-06-09 09:45,5.0,4.8,-53.0,-56.0
2011-06-09 10:00,5.0,4.8,-53.0,-56.0
2011-06-09 10:15,5.0,4.8,-52.0,-55.0
2011-06-09 10:30,5.0,4.8,-52.0,-56.0
2011-06-09 10:45,5.0,4.8,-53.0,-56.0
2011-06-09 11:00,5.0,4.8,-52.0,-56.0
2011-06-09 11:15,5.0,4.8,-52.0,-55.0
2011-06-09 11:30,5.0,4.8,-52.0,-55.0
2011-06-09 11:45,5.0,4.8,-52.0,-55.0
2011-06-09 12:00,5.0,4.8,-52.0,-55.0
2011-06-09 12:15,5.0,4.8,-52.0,-55.0
2011-06-09 12:30,5.0,4.8,-53.0,-55.0
2011-06-09 13:00,5.0,4.8,-52.0,-55.0
2011-06-09 13:15,5.0,4.8,-52.0,-55.0
2011-06-09 13:30,5.0,4.8,-52.0,-55.0
2011-06-09 13:45,5.0,4.8,-52.0,-55.0
2011-06-09 14:00,5.0,4.8,-52.0,-55.0
2011-06-09 14:15,5.0,4.8,-52.0,-55.0
2011-06-09 14:30,5.0,4.8,-52.0,-55.0
2011-06-09 14:45,5.0,4.8,-52.0,-55.0
2011-06-09 15:00,5.0,4.8,-52.0,-55.0
2011-06-09 15:15,5.0,4.8,-52.0,-55.0
2011-06-09 15:30,5.0,4.8,-52.0,-55.0
2011-06-09 15:45,5.0,4.8,-52.0,-55.0
2011-06-09 16:00,5.0,4.8,-52.0,-55.0
2011-06-09 16:15,5.0,4.8,-52.0,-55.0
2011-06-09 16:30,5.0,4.8,-52.0,-55.0
2011-06-09 16:45,5.0,4.8,-52.0,-55.0
2011-06-09 17:00,5.0,4.8,-52.0,-55.0
2011-06-09 17:15,5.0,4.8,-52.0,-55.0
2011-06-09 17:30,5.0,4.8,-52.0,-55.0
2011-06-09 17:45,5.0,4.8,-52.0,-55.0
2011-06-09 18:00,5.0,4.8,-52.0,-55.0
2011-06-09 18:15,5.0,4.8,-52.0,-55.0
2011-06-09 18:30,5.0,4.8,-53.0,-56.0
2011-06-09 18:45,5.0,4.8,-53.0,-55.0
2011-06-09 19:00,5.0,4.8,-53.0,-55.0
2011-06-09 19:15,5.0,4.8,-53.0,-55.0
2011-06-09 19:30,5.0,4.8,-53.0,-55.0
2011-06-09 19:45,5.0,4.8,-53.0,-55.0
2011-06-09 20:00,5.0,4.8,-53.0,-55.0
2011-06-09 20:15,5.0,4.8,-54.0,-55.0
2011-06-09 20:30,5.0,4.8,-54.0,-54.0
2011-06-09 20:45,5.0,4.8,-53.0,-55.0
2011-06-09 21:00,5.0,4.8,-53.0,-55.0
2011-06-09 21:15,5.0,4.8,-53.0,-54.0
2011-06-09 21:30,5.0,4.8,-54.0,-54.0
2011-06-09 21:45,5.0,4.8,-54.0,-54.0
2011-06-09 22:00,5.0,4.8,-53.0,-54.0
2011-06-09 22:15,5.0,4.8,-53.0,-54.0
2011-06-09 22:30,5.0,4.8,-53.0,-54.0
2011-06-09 22:45,5.0,4.8,-54.0,-54.0
2011-06-09 23:00,5.0,4.8,-53.0,-54.0
2011-06-09 23:15,5.0,4.8,-53.0,-54.0
2011-06-09 23:30,5.0,4.8,-53.0,-54.0
2011-06-09 23:45,5.0,4.8,-53.0,-54.0
2011-06-10 00:00,5.0,4.8,-53.0,-54.0
2011-06-10 00:15,5.0,4.8,-53.0,-54.0
2011-06-10 00:30,5.0,4.8,-53.0,-54.0
2011-06-10 00:45,5.0,4.8,-53.0,-54.0
2011-06-10 01:00,5.0,4.8,-53.0,-54.0
2011-06-10 01:15,5.0,4.8,-53.0,-54.0
2011-06-10 01:30,5.0,4.8,-53.0,-54.0
2011-06-10 01:45,5.0,4.8,-53.0,-54.0
2011-06-10 02:00,5.0,4.8,-53.0,-54.0
2011-06-10 02:15,5.0,4.8,-53.0,-54.0
2011-06-10 02:30,5.0,4.8,-53.0,-54.0
2011-06-10 02:45,5.0,4.8,-53.0,-54.0
2011-06-10 03:00,5.0,4.8,-53.0,-54.0
2011-06-10 03:15,5.0,4.8,-53.0,-54.0
2011-06-10 03:30,5.0,4.8,-53.0,-54.0
2011-06-10 03:45,5.0,4.8,-53.0,-54.0
2011-06-10 04:00,5.0,4.8,-53.0,-54.0
2011-06-10 04:15,5.0,4.8,-53.0,-54.0
2011-06-10 04:30,5.0,4.8,-53.0,-54.0
2011-06-10 04:45,5.0,4.8,-53.0,-54.0
2011-06-10 05:00,5.0,4.8,-53.0,-54.0
2011-06-10 05:15,5.0,4.8,-53.0,-54.0
2011-06-10 05:30,5.0,4.8,-53.0,-54.0
2011-06-10 05:45,5.0,4.8,-53.0,-54.0
2011-06-10 06:00,5.0,4.8,-52.0,-54.0
2011-06-10 06:15,5.0,4.8,-53.0,-54.0
2011-06-10 06:30,5.0,4.8,-53.0,-54.0
2011-06-10 06:45,5.0,4.8,-53.0,-54.0
2011-06-10 07:00,5.0,4.8,-53.0,-54.0
2011-06-10 07:15,5.0,4.8,-53.0,-54.0
2011-06-10 07:30,5.0,4.8,-53.0,-54.0
2011-06-10 07:45,5.0,4.8,-53.0,-54.0
2011-06-10 08:00,5.0,4.8,-53.0,-54.0
2011-06-10 08:15,5.0,4.8,-53.0,-55.0
2011-06-10 08:30,5.0,4.8,-53.0,-55.0
2011-06-10 08:45,5.0,4.8,-53.0,-54.0
2011-06-10 09:00,5.0,4.8,-53.0,-55.0
2011-06-10 09:15,5.0,4.8,-53.0,-55.0
2011-06-10 09:30,5.0,4.8,-53.0,-55.0
2011-06-10 09:45,5.0,4.8,-53.0,-55.0
2011-06-10 10:00,5.0,4.8,-53.0,-54.0
2011-06-10 10:15,5.0,4.8,-53.0,-55.0
2011-06-10 10:30,5.0,4.8,-53.0,-55.0
2011-06-10 10:45,5.0,4.8,-52.0,-55.0
2011-06-10 11:00,5.0,4.8,-52.0,-55.0
2011-06-10 11:15,5.0,4.8,-52.0,-55.0
2011-06-10 11:30,5.0,4.8,-52.0,-54.0
2011-06-10 11:45,5.0,4.8,-51.0,-55.0
2011-06-10 12:00,5.0,4.8,-51.0,-55.0
2011-06-10 12:15,5.0,4.8,-52.0,-55.0
2011-06-10 12:30,5.0,4.8,-52.0,-55.0
2011-06-10 13:00,5.0,4.8,-53.0,-54.0
2011-06-10 13:15,5.0,4.8,-52.0,-55.0
2011-06-10 13:30,5.0,4.8,-52.0,-55.0
2011-06-10 13:45,5.0,4.8,-53.0,-55.0
2011-06-10 14:00,5.0,4.8,-53.0,-55.0
2011-06-10 14:15,5.0,4.8,-52.0,-55.0
2011-06-10 14:30,5.0,4.8,-53.0,-55.0
2011-06-10 14:45,5.0,4.8,-53.0,-55.0
2011-06-10 15:00,5.0,4.8,-52.0,-55.0
2011-06-10 15:15,5.0,4.8,-53.0,-55.0
2011-06-10 15:30,5.0,4.8,-53.0,-55.0
2011-06-10 15:45,5.0,4.8,-52.0,-55.0
2011-06-10 16:00,5.0,4.8,-53.0,-55.0
2011-06-10 16:15,5.0,4.8,-53.0,-55.0
2011-06-10 16:30,5.0,4.8,-53.0,-55.0
2011-06-10 16:45,5.0,4.8,-52.0,-69.0
2011-06-10 17:00,5.0,4.8,-56.0,-63.0
2011-06-10 17:15,5.0,4.8,-56.0,-58.0
2011-06-10 17:30,5.0,4.8,-55.0,-57.0
2011-06-10 17:45,5.0,4.8,-54.0,-56.0
2011-06-10 18:00,5.0,4.8,-55.0,-56.0
2011-06-10 18:15,5.0,4.8,-55.0,-56.0
2011-06-10 18:30,5.0,4.8,-55.0,-56.0
2011-06-10 18:45,5.0,4.8,-54.0,-55.0
2011-06-10 19:00,5.0,4.8,-54.0,-55.0
2011-06-10 19:15,5.0,4.8,-54.0,-57.0
2011-06-10 19:30,5.0,4.8,-55.0,-57.0
2011-06-10 19:45,5.0,4.8,-55.0,-56.0
2011-06-10 20:00,5.0,4.8,-54.0,-56.0
2011-06-10 20:15,5.0,4.8,-54.0,-56.0
2011-06-10 20:30,5.0,4.8,-54.0,-55.0
2011-06-10 20:45,5.0,4.8,-53.0,-55.0
2011-06-10 21:00,5.0,4.8,-53.0,-56.0
2011-06-10 21:15,5.0,4.8,-52.0,-56.0
2011-06-10 21:30,5.0,4.8,-53.0,-56.0
2011-06-10 21:45,5.0,4.8,-53.0,-56.0
2011-06-10 22:00,5.0,4.8,-52.0,-55.0
2011-06-10 22:15,5.0,4.8,-52.0,-55.0
2011-06-10 22:30,5.0,4.8,-53.0,-55.0
2011-06-10 22:45,5.0,4.8,-53.0,-55.0
2011-06-10 23:00,5.0,4.8,-52.0,-55.0
2011-06-10 23:15,5.0,4.8,-53.0,-55.0
2011-06-10 23:30,5.0,4.8,-53.0,-55.0
2011-06-10 23:45,5.0,4.8,-53.0,-55.0
2011-06-11 00:00,5.0,4.8,-54.0,-55.0
2011-06-11 00:15,5.0,4.8,-54.0,-55.0
2011-06-11 00:30,5.0,4.8,-54.0,-56.0
2011-06-11 00:45,5.0,4.8,-54.0,-56.0
2011-06-11 01:00,5.0,4.8,-54.0,-56.0
2011-06-11 01:15,5.0,4.8,-54.0,-56.0
2011-06-11 01:30,5.0,4.8,-54.0,-56.0
2011-06-11 01:45,5.0,4.8,-54.0,-56.0
2011-06-11 02:00,5.0,4.8,-54.0,-56.0
2011-06-11 02:15,5.0,4.8,-55.0,-56.0
2011-06-11 02:30,5.0,4.8,-54.0,-56.0
2011-06-11 02:45,5.0,4.8,-55.0,-56.0
2011-06-11 03:00,5.0,4.8,-55.0,-57.0
2011-06-11 03:30,5.0,4.8,-55.0,-56.0
2011-06-11 03:45,5.0,4.8,-55.0,-56.0
2011-06-11 04:00,5.0,4.8,-55.0,-57.0
2011-06-11 04:15,5.0,4.8,-55.0,-56.0
2011-06-11 04:30,5.0,4.8,-55.0,-56.0
2011-06-11 04:45,5.0,4.8,-55.0,-56.0
2011-06-11 05:00,5.0,4.8,-54.0,-56.0
2011-06-11 05:15,5.0,4.8,-53.0,-55.0
2011-06-11 05:30,5.0,4.8,-53.0,-55.0
2011-06-11 05:45,5.0,4.8,-53.0,-55.0
2011-06-11 06:00,5.0,4.8,-52.0,-55.0
2011-06-11 06:15,5.0,4.8,-52.0,-55.0
2011-06-11 06:30,5.0,4.8,-52.0,-55.0
2011-06-11 06:45,5.0,4.8,-52.0,-55.0
2011-06-11 07:00,5.0,4.8,-52.0,-55.0
2011-06-11 07:15,5.0,4.8,-52.0,-55.0
2011-06-11 07:30,5.0,4.8,-52.0,-55.0
2011-06-11 07:45,5.0,4.8,-52.0,-55.0
2011-06-11 08:00,5.0,4.8,-52.0,-55.0
2011-08-05 08:15,5.0,4.8,-52.0,-55.0
2011-08-05 08:30,5.0,4.8,-53.0,-55.0
2011-08-05 08:45,5.0,4.8,-52.0,-55.0
2011-08-05 09:00,5.0,4.8,-52.0,-55.0
2011-08-05 09:15,5.0,4.8,-52.0,-55.0
2011-08-05 09:30,5.0,4.8,-52.0,-55.0
2011-08-05 09:45,5.0,4.8,-52.0,-55.0
2011-08-05 10:00,5.0,4.8,-53.0,-55.0
2011-08-05 10:15,5.0,4.8,-52.0,-55.0
2011-08-05 10:30,5.0,4.8,-52.0,-55.0
2011-08-05 10:45,5.0,4.8,-53.0,-55.0
2011-08-05 11:00,5.0,4.8,-53.0,-55.0
2011-08-05 11:15,5.0,4.8,-53.0,-55.0
2011-08-05 11:30,5.0,4.8,-53.0,-55.0
2011-08-05 11:45,5.0,4.8,-52.0,-55.0
2011-08-05 12:00,5.0,4.8,-52.0,-55.0
2011-08-05 12:15,5.0,4.8,-52.0,-55.0
2011-08-05 12:30,5.0,4.8,-52.0,-55.0
2011-08-05 12:45,5.0,4.8,-52.0,-55.0
2011-08-05 13:15,5.0,4.8,-52.0,-55.0
2011-08-05 13:30,5.0,4.8,-52.0,-55.0
2011-08-05 13:45,5.0,4.8,-52.0,-55.0
2011-08-05 14:00,5.0,4.8,-53.0,-55.0
2011-08-05 14:15,5.0,4.8,-53.0,-55.0
2011-08-05 14:30,5.0,4.8,-53.0,-55.0
2011-08-05 14:45,5.0,4.8,-53.0,-55.0
2011-08-05 15:00,5.0,4.8,-53.0,-55.0
2011-08-05 15:15,5.0,4.8,-53.0,-55.0
2011-08-05 15:30,5.0,4.8,-53.0,-55.0
2011-08-05 15:45,5.0,4.8,-53.0,-55.0
