Time,PowerTLTMmax[dBm],PowerTLTMmin[dBm],PowerRLTMmax[dBm],PowerRLTMmin[dBm]
09-06-2011 08:15,5.0,4.8,-54.75,-55.0
09-06-2011 09:15,5.0,4.8,-54.25,-55.0
09-06-2011 10:15,5.0,4.8,-55.0,-55.0
09-06-2011 11:30,5.0,4.8,-55.0,-55.5
09-06-2011 12:30,5.0,4.8,-55.0,-55.75
09-06-2011 13:30,5.0,4.8,-55.0,-56.0
09-06-2011 14:30,5.0,4.8,-55.0,-56.0
09-06-2011 15:30,5.0,4.8,-55.0,-56.0
09-06-2011 16:30,5.0,4.8,-55.0,-55.0
09-06-2011 17:30,5.0,4.8,-54.5,-55.0
09-06-2011 18:30,5.0,4.8,-54.0,-55.0
09-06-2011 19:45,5.0,4.8,-54.0,-54.75
09-06-2011 21:00,5.0,4.8,-54.0,-55.0
09-06-2011 22:00,5.0,4.8,-54.0,-55.0
09-06-2011 23:00,5.0,4.8,-54.0,-54.75
10-06-2011 00:00,5.0,4.8,-54.0,-55.0
10-06-2011 01:00,5.0,4.8,-54.0,-55.0
10-06-2011 02:00,5.0,4.8,-54.0,-55.0
10-06-2011 03:15,5.0,4.8,-54.0,-55.0
10-06-2011 04:15,5.0,4.8,-54.0,-55.0
10-06-2011 05:15,5.0,4.8,-54.0,-55.0
10-06-2011 06:15,5.0,4.8,-54.5,-55.0
10-06-2011 07:15,5.0,4.8,-54.75,-55.0
10-06-2011 08:15,5.0,4.8,-54.0,-55.0
10-06-2011 09:15,5.0,4.8,-55.0,-55.0
10-06-2011 10:15,5.0,4.8,-55.0,-55.0
10-06-2011 11:30,5.0,4.8,-55.0,-55.0
10-06-2011 12:30,5.0,4.8,-55.0,-55.25
10-06-2011 13:30,5.0,4.8,-55.0,-55.0
10-06-2011 14:30,5.0,4.8,-55.0,-56.0
10-06-2011 15:30,5.0,4.8,-55.0,-56.5
10-06-2011 16:30,5.0,4.8,-55.5,-58.5
10-06-2011 17:30,5.0,4.8,-56.5,-59.5
10-06-2011 18:45,5.0,4.8,-55.75,-57.25
10-06-2011 19:45,5.0,4.8,-55.0,-58.0
10-06-2011 21:00,5.0,4.8,-54.5,-55.0
10-06-2011 22:00,5.0,4.8,-54.0,-54.75
10-06-2011 23:00,5.0,4.8,-54.0,-54.25
11-06-2011 00:00,5.0,4.8,-54.0,-54.75
11-06-2011 01:00,5.0,4.8,-54.0,-55.0
11-06-2011 02:00,5.0,4.8,-54.0,-55.0
11-06-2011 03:15,5.0,4.8,-55.0,-55.0
11-06-2011 04:15,5.0,4.8,-54.75,-55.0
11-06-2011 05:15,5.0,4.8,-54.0,-55.0
11-06-2011 06:15,5.0,4.8,-54.25,-57.0
11-06-2011 07:15,5.0,4.8,-54.0,-55.0
05-08-2011 08:15,5.0,4.8,-55.0,-55.0
05-08-2011 09:15,5.0,4.8,-55.0,-55.0
05-08-2011 10:30,5.0,4.8,-55.0,-55.25
05-08-2011 11:30,5.0,4.8,-55.0,-56.0
05-08-2011 12:30,5.0,4.8,-55.0,-56.0
