Time,PowerTLTMmax,PowerTLTMmin,PowerRLTMmax,PowerRLTMmin
09-06-2011 12:45,5,4.8,-50,-52
09-06-2011 15:15,5,4.8,-51,-52
09-06-2011 18:15,5,4.8,-50,-51
09-06-2011 18:45,5,4.8,-50,-51
09-06-2011 22:15,5,4.8,-51,-51
10-06-2011 01:45,5,4.8,-51,-51
10-06-2011 03:15,5,4.8,-51,-51
10-06-2011 07:45,5,4.8,-51,-51
10-06-2011 11:45,5,4.8,-51,-52
10-06-2011 12:45,5,4.8,-51,-52
10-06-2011 19:15,5,4.8,-51,-52
11-06-2011 06:45,5,4.8,-50,-51
05-08-2011 08:45,5,4.8,-51,-52
05-08-2011 14:15,5,4.8,-51,-52
05-08-2011 15:15,5,4.8,-51,-52
05-08-2011 20:45,5,4.8,-51,-51
05-08-2011 21:45,5,4.8,-51,-51
06-08-2011 02:15,5,4.8,-51,-52
06-08-2011 03:45,5,4.8,-51,-51
06-08-2011 07:45,5,4.8,-51,-52
06-08-2011 10:15,5,4.8,-51,-52
06-08-2011 13:45,5,4.8,-51,-52
06-08-2011 14:45,5,4.8,-51,-52
06-08-2011 16:15,5,4.8,-51,-52
06-08-2011 17:15,5,4.8,-51,-52
06-08-2011 18:15,5,4.8,-52,-54
06-08-2011 18:45,5,4.8,-53,-54
06-08-2011 20:15,5,4.8,-51,-52
06-08-2011 22:15,5,4.8,-51,-52
07-08-2011 00:45,5,4.8,-51,-51
07-08-2011 03:45,5,4.8,-51,-51
07-08-2011 06:15,5,4.8,-51,-51
07-08-2011 07:45,5,4.8,-51,-53
07-08-2011 08:45,5,4.8,-51,-52
07-08-2011 13:15,5,4.8,-51,-52
07-08-2011 16:45,5,4.8,-51,-52
07-08-2011 18:15,5,4.8,-51,-51
07-08-2011 20:15,5,4.8,-51,-51
07-08-2011 22:15,5,4.8,-51,-51
07-08-2011 23:45,5,4.8,-51,-51
08-08-2011 02:15,5,4.8,-51,-53
08-08-2011 03:45,5,4.8,-53,-55
08-08-2011 04:45,5,4.8,-53,-54
08-08-2011 06:45,5,4.8,-51,-52
08-08-2011 08:45,5,4.8,-51,-51
08-08-2011 09:45,5,4.8,-51,-60
