Time,PowerTLTMmax[dBm],PowerTLTMmin[dBm],PowerRLTMmax[dBm],PowerRLTMmin[dBm]
09-06-2011 08:15,5,4.8,-48,-57
09-06-2011 08:30,5,4.8,-46,-57
09-06-2011 09:00,5,4.8,-46,-55
09-06-2011 09:15,5,4.8,-46,-56
09-06-2011 09:30,5,4.8,-47,-57
09-06-2011 09:45,5,4.8,-46,-55
09-06-2011 10:00,5,4.8,-46,-57
09-06-2011 10:15,5,4.8,-46,-55
09-06-2011 10:30,5,4.8,-46,-55
09-06-2011 10:45,5,4.8,-46,-55
09-06-2011 11:00,5,4.8,-46,-55
09-06-2011 11:15,5,4.8,-46,-56
09-06-2011 11:30,5,4.8,-46,-58
09-06-2011 11:45,5,4.8,-46,-57
09-06-2011 12:00,5,4.8,-46,-58
09-06-2011 12:15,5,4.8,-46,-57
09-06-2011 12:30,5,4.8,-47,-59
09-06-2011 13:00,5,4.8,-46,-58
09-06-2011 13:15,5,4.8,-46,-56
09-06-2011 13:30,5,4.8,-46,-58
09-06-2011 14:00,5,4.8,-48,-75
09-06-2011 14:15,5,4.8,-48,-72
09-06-2011 14:30,5,4.8,-48,-81
09-06-2011 14:45,5,4.8,-46,-68
09-06-2011 15:00,5,4.8,-46,-70
09-06-2011 15:15,5,4.8,-47,-66
09-06-2011 15:30,5,4.8,-48,-70
09-06-2011 15:45,5,4.8,-46,-69
09-06-2011 16:00,5,4.8,-47,-75
09-06-2011 16:30,5,4.8,-48,-73
09-06-2011 16:45,5,4.8,-50,-75
09-06-2011 17:00,5,4.8,-48,-59
09-06-2011 17:15,5,4.8,-48,-69
09-06-2011 17:45,5,4.8,-50,-63
09-06-2011 18:00,5,4.8,-50,-67
09-06-2011 18:15,5,4.8,-51,-77
09-06-2011 18:30,5,4.8,-50,-79
09-06-2011 18:45,5,4.8,-50,-62
09-06-2011 19:00,5,4.8,-50,-79
09-06-2011 19:15,5,4.8,-48,-73
09-06-2011 19:30,5,4.8,-50,-91
09-06-2011 19:45,5,4.8,-50,-79
09-06-2011 20:00,5,4.8,-50,-95
09-06-2011 20:15,5,4.8,-50,-60
09-06-2011 20:30,5,4.8,-51,-60
09-06-2011 20:45,5,4.8,-50,-59
09-06-2011 21:00,5,4.8,-51,-74
09-06-2011 21:15,5,4.8,-51,-59
09-06-2011 21:30,5,4.8,-51,-59
09-06-2011 21:45,5,4.8,-51,-57
09-06-2011 22:00,5,4.8,-51,-63
09-06-2011 22:15,5,4.8,-52,-55
09-06-2011 22:30,5,4.8,-51,-54
09-06-2011 22:45,5,4.8,-52,-54
09-06-2011 23:00,5,4.8,-52,-53
09-06-2011 23:15,5,4.8,-52,-52
09-06-2011 23:30,5,4.8,-52,-52
09-06-2011 23:45,5,4.8,-52,-54
10-06-2011 00:00,5,4.8,-52,-53
10-06-2011 00:15,5,4.8,-52,-53
10-06-2011 00:30,5,4.8,-52,-53
10-06-2011 00:45,5,4.8,-52,-53
10-06-2011 01:00,5,4.8,-52,-54
10-06-2011 01:15,5,4.8,-51,-53
10-06-2011 01:30,5,4.8,-52,-55
10-06-2011 01:45,5,4.8,-52,-63
10-06-2011 02:00,5,4.8,-52,-55
10-06-2011 02:15,5,4.8,-52,-55
10-06-2011 02:30,5,4.8,-51,-55
10-06-2011 02:45,5,4.8,-51,-56
10-06-2011 03:00,5,4.8,-51,-53
10-06-2011 03:15,5,4.8,-52,-53
10-06-2011 03:45,5,4.8,-52,-53
10-06-2011 04:00,5,4.8,-51,-53
