Time,PowerTLTMmax[dBm],PowerTLTMmin[dBm],PowerRLTMmax[dBm],PowerRLTMmin[dBm]
09-06-2011 08:15,5,4.8,-54,-76
09-06-2011 08:30,5,4.8,-54,-77
09-06-2011 08:45,5,4.8,-53,-79
09-06-2011 09:00,5,4.8,-53,-77
09-06-2011 09:15,5,4.8,-54,-77
09-06-2011 09:30,5,4.8,-55,-77
09-06-2011 09:45,5,4.8,-53,-76
09-06-2011 10:00,5,4.8,-52,-75
09-06-2011 10:15,5,4.8,-52,-76
09-06-2011 10:30,5,4.8,-52,-76
09-06-2011 10:45,5,4.8,-50,-76
09-06-2011 11:00,5,4.8,-50,-74
09-06-2011 11:15,5,4.8,-51,-73
09-06-2011 11:30,5,4.8,-52,-74
09-06-2011 11:45,5,4.8,-51,-74
09-06-2011 12:00,5,4.8,-50,-76
09-06-2011 12:15,5,4.8,-53,-74
09-06-2011 12:30,5,4.8,-52,-73
09-06-2011 12:45,5,4.8,-51,-74
09-06-2011 13:00,5,4.8,-51,-72
09-06-2011 13:15,5,4.8,-54,-73
09-06-2011 13:30,5,4.8,-53,-73
09-06-2011 13:45,5,4.8,-53,-75
09-06-2011 14:00,5,4.8,-53,-76
09-06-2011 14:15,5,4.8,-54,-73
09-06-2011 14:30,5,4.8,-53,-72
09-06-2011 14:45,5,4.8,-53,-70
09-06-2011 15:00,5,4.8,-52,-70
09-06-2011 15:15,5,4.8,-54,-73
09-06-2011 15:30,5,4.8,-53,-72
09-06-2011 15:45,5,4.8,-56,-75
09-06-2011 16:00,5,4.8,-55,-73
09-06-2011 16:15,5,4.8,-54,-71
09-06-2011 16:30,5,4.8,-55,-69
09-06-2011 16:45,5,4.8,-56,-70
09-06-2011 17:00,5,4.8,-56,-65
09-06-2011 17:15,5,4.8,-56,-62
09-06-2011 17:30,5,4.8,-55,-58
09-06-2011 17:45,5,4.8,-54,-58
09-06-2011 18:00,5,4.8,-54,-74
09-06-2011 18:15,5,4.8,-53,-79
09-06-2011 18:30,5,4.8,-54,-75
09-06-2011 18:45,5,4.8,-58,-71
09-06-2011 19:00,5,4.8,-59,-71
09-06-2011 19:15,5,4.8,-58,-65
09-06-2011 19:30,5,4.8,-57,-59
09-06-2011 19:45,5,4.8,-58,-59
09-06-2011 20:00,5,4.8,-58,-59
09-06-2011 20:30,5,4.8,-58,-59
09-06-2011 20:45,5,4.8,-58,-60
09-06-2011 21:00,5,4.8,-58,-59
09-06-2011 21:15,5,4.8,-57,-59
09-06-2011 21:30,5,4.8,-56,-58
09-06-2011 21:45,5,4.8,-56,-58
09-06-2011 22:00,5,4.8,-56,-59
09-06-2011 22:15,5,4.8,-56,-58
09-06-2011 22:30,5,4.8,-56,-59
09-06-2011 22:45,5,4.8,-55,-61
09-06-2011 23:00,5,4.8,-55,-59
09-06-2011 23:15,5,4.8,-52,-60
09-06-2011 23:30,5,4.8,-52,-62
09-06-2011 23:45,5,4.8,-57,-60
10-06-2011 00:00,5,4.8,-58,-62
10-06-2011 00:15,5,4.8,-55,-60
10-06-2011 00:30,5,4.8,-55,-59
10-06-2011 00:45,5,4.8,-57,-60
10-06-2011 01:00,5,4.8,-56,-60
10-06-2011 01:15,5,4.8,-56,-57
10-06-2011 01:30,5,4.8,-56,-62
10-06-2011 01:45,5,4.8,-57,-62
10-06-2011 02:00,5,4.8,-58,-61
10-06-2011 02:15,5,4.8,-60,-64
10-06-2011 02:30,5,4.8,-59,-64
10-06-2011 02:45,5,4.8,-57,-61
10-06-2011 03:00,5,4.8,-56,-65
10-06-2011 03:15,5,4.8,-53,-59
10-06-2011 03:30,5,4.8,-58,-61
10-06-2011 03:45,5,4.8,-58,-61
10-06-2011 04:00,5,4.8,-58,-61
10-06-2011 04:15,5,4.8,-56,-61
10-06-2011 04:30,5,4.8,-55,-61
10-06-2011 04:45,5,4.8,-55,-61
10-06-2011 05:00,5,4.8,-56,-59
10-06-2011 05:15,5,4.8,-55,-60
10-06-2011 05:30,5,4.8,-53,-56
10-06-2011 05:45,5,4.8,-53,-57
10-06-2011 06:00,5,4.8,-54,-58
10-06-2011 06:15,5,4.8,-55,-59
10-06-2011 06:30,5,4.8,-57,-61
10-06-2011 06:45,5,4.8,-56,-61
10-06-2011 07:00,5,4.8,-56,-60
10-06-2011 07:15,5,4.8,-55,-60
10-06-2011 07:30,5,4.8,-55,-59
10-06-2011 07:45,5,4.8,-55,-59
10-06-2011 08:00,5,4.8,-55,-60
10-06-2011 08:15,5,4.8,-56,-60
10-06-2011 08:30,5,4.8,-58,-60
10-06-2011 08:45,5,4.8,-58,-60
10-06-2011 09:00,5,4.8,-58,-60
10-06-2011 09:15,5,4.8,-58,-60
10-06-2011 09:30,5,4.8,-58,-60
10-06-2011 09:45,5,4.8,-58,-60
10-06-2011 10:00,5,4.8,-58,-61
10-06-2011 10:15,5,4.8,-58,-61
10-06-2011 10:30,5,4.8,-57,-62
10-06-2011 10:45,5,4.8,-58,-61
10-06-2011 11:00,5,4.8,-57,-61
10-06-2011 11:15,5,4.8,-57,-61
10-06-2011 11:30,5,4.8,-58,-60
10-06-2011 11:45,5,4.8,-58,-61
10-06-2011 12:00,5,4.8,-57,-61
10-06-2011 12:15,5,4.8,-57,-61
10-06-2011 12:30,5,4.8,-57,-65
10-06-2011 12:45,5,4.8,-56,-75
10-06-2011 13:00,5,4.8,-58,-62
10-06-2011 13:15,5,4.8,-54,-63
10-06-2011 13:30,5,4.8,-54,-59
10-06-2011 13:45,5,4.8,-53,-59
10-06-2011 14:00,5,4.8,-54,-59
10-06-2011 14:15,5,4.8,-54,-60
10-06-2011 14:30,5,4.8,-54,-61
10-06-2011 14:45,5,4.8,-53,-59
10-06-2011 15:00,5,4.8,-53,-60
10-06-2011 15:15,5,4.8,-52,-60
10-06-2011 15:30,5,4.8,-56,-62
10-06-2011 15:45,5,4.8,-49,-68
10-06-2011 16:00,5,4.8,-51,-69
10-06-2011 16:15,5,4.8,-49,-65
10-06-2011 16:30,5,4.8,-48,-58
10-06-2011 16:45,5,4.8,-49,-61
10-06-2011 17:00,5,4.8,-50,-70
10-06-2011 17:15,5,4.8,-51,-59
10-06-2011 17:30,5,4.8,-53,-57
10-06-2011 17:45,5,4.8,-53,-57
10-06-2011 18:00,5,4.8,-54,-57
10-06-2011 18:15,5,4.8,-55,-58
10-06-2011 18:30,5,4.8,-54,-61
10-06-2011 18:45,5,4.8,-55,-78
10-06-2011 19:00,5,4.8,-63,-87
10-06-2011 19:15,5,4.8,-63,-90
10-06-2011 19:30,5,4.8,-56,-84
10-06-2011 19:45,5,4.8,-57,-62
10-06-2011 20:00,5,4.8,-57,-61
10-06-2011 20:30,5,4.8,-55,-61
10-06-2011 20:45,5,4.8,-55,-59
10-06-2011 21:00,5,4.8,-56,-62
10-06-2011 21:15,5,4.8,-57,-62
10-06-2011 21:30,5,4.8,-57,-63
10-06-2011 21:45,5,4.8,-58,-64
10-06-2011 22:00,5,4.8,-57,-64
10-06-2011 22:15,5,4.8,-52,-66
10-06-2011 22:30,5,4.8,-52,-69
10-06-2011 22:45,5,4.8,-53,-78
10-06-2011 23:00,5,4.8,-54,-80
10-06-2011 23:15,5,4.8,-53,-78
10-06-2011 23:30,5,4.8,-52,-78
10-06-2011 23:45,5,4.8,-48,-72
11-06-2011 00:00,5,4.8,-52,-72
11-06-2011 00:15,5,4.8,-53,-71
11-06-2011 00:30,5,4.8,-53,-71
11-06-2011 00:45,5,4.8,-53,-68
11-06-2011 01:00,5,4.8,-53,-71
11-06-2011 01:15,5,4.8,-53,-78
11-06-2011 01:30,5,4.8,-53,-74
11-06-2011 01:45,5,4.8,-54,-69
11-06-2011 02:00,5,4.8,-54,-75
11-06-2011 02:15,5,4.8,-53,-73
11-06-2011 02:30,5,4.8,-54,-77
11-06-2011 02:45,5,4.8,-55,-78
11-06-2011 03:00,5,4.8,-54,-78
11-06-2011 03:15,5,4.8,-53,-72
11-06-2011 03:30,5,4.8,-54,-75
11-06-2011 03:45,5,4.8,-55,-75
11-06-2011 04:00,5,4.8,-54,-78
11-06-2011 04:15,5,4.8,-55,-77
11-06-2011 04:30,5,4.8,-54,-69
11-06-2011 04:45,5,4.8,-55,-66
11-06-2011 05:00,5,4.8,-53,-70
11-06-2011 05:15,5,4.8,-53,-70
11-06-2011 05:30,5,4.8,-54,-73
11-06-2011 05:45,5,4.8,-54,-68
11-06-2011 06:00,5,4.8,-53,-69
11-06-2011 06:15,5,4.8,-53,-74
11-06-2011 06:30,5,4.8,-53,-76
11-06-2011 06:45,5,4.8,-53,-75
11-06-2011 07:00,5,4.8,-54,-76
11-06-2011 07:15,5,4.8,-54,-76
11-06-2011 07:30,5,4.8,-54,-75
11-06-2011 07:45,5,4.8,-54,-77
11-06-2011 08:00,5,4.8,-54,-77
