Time,PowerTLTMmax[dBm],PowerTLTMmin[dBm],PowerRLTMmax[dBm],PowerRLTMmin[dBm]
09-06-2011 09:15,5,4.8,-44,-44
09-06-2011 09:45,5,4.8,-44,-44
09-06-2011 10:15,5,4.8,-44,-44
09-06-2011 10:45,5,4.8,-44,-44
09-06-2011 12:45,5,4.8,-44,-44
09-06-2011 16:45,5,4.8,-44,-44
09-06-2011 19:15,5,4.8,-44,-44
09-06-2011 20:45,5,4.8,-44,-44
09-06-2011 22:00,5,4.8,-44,-44
10-06-2011 22:30,5,4.8,-44,-44
11-06-2011 00:00,5,4.8,-44,-44
11-06-2011 02:00,5,4.8,-44,-44
11-06-2011 04:30,5,4.8,-44,-44
11-06-2011 05:00,5,4.8,-1,-1
05-08-2011 23:45,5,4.8,-44,-44
06-08-2011 05:15,5,4.8,-44,-44
06-08-2011 09:45,5,4.8,-44,-44
06-08-2011 11:15,5,4.8,-44,-45
06-08-2011 13:00,5,4.8,-44,-60
06-08-2011 13:15,5,4.8,-47,-57
06-08-2011 14:00,5,4.8,-44,-44
06-08-2011 15:15,5,4.8,-44,-44
06-08-2011 16:15,5,4.8,-44,-44
06-08-2011 18:45,5,4.8,-45,-46
06-08-2011 19:45,5,4.8,-44,-45
06-08-2011 20:15,5,4.8,-44,-44
06-08-2011 20:45,5,4.8,-44,-44
07-08-2011 22:15,5,4.8,-44,-44
08-08-2011 02:15,5,4.8,-46,-47
08-08-2011 03:45,5,4.8,-44,-45
08-08-2011 08:30,5,4.8,-44,-44
08-08-2011 08:45,5,4.8,-44,-45
08-08-2011 12:15,5,4.8,-44,-44
08-08-2011 12:30,5,4.8,-44,-44
08-08-2011 12:45,5,4.8,-44,-44
08-08-2011 13:15,5,4.8,-44,-44
