Time,RainAmout[mm/h]
1,0.739981
1,0.4764846
1,1.079263
1,0.5540385
1,0.5435466
1,0.30619118
1,1.1582308
1,0.42491418
1,0.4339283
1,0.2597219
1,1.1507198
1,0.40493473
1,0.38082057
1,0.24872851
1,1.1897142
1,0.3726389
1,0.35146594
1,0.23741232
1,1.19996
1,0.34468326
1,0.3387289
1,0.23673415
1,1.2092623
1,0.3338878
1,0.3374053
1,0.23960371
1,1.2086527
1,0.33765474
1,0.33547792
1,0.24497376
1,1.2013406
1,0.34291098
1,0.33808
1,0.24713026
1,1.2007011
1,0.3426962
1,0.34168264
1,0.25056836
1,1.1973759
1,0.33767167
1,0.3403333
1,0.25409412
1,1.1854138
1,0.33168393
1,0.3380148
1,0.2573103
1,1.1608952
1,0.33728638
1,0.34480616
1,0.26680756
1,1.1258467
1,0.3738458
1,0.3601616
1,0.2931446
1,1.0667646
1,0.40136224
1,0.4215149
1,0.4054937
1,0.9064957
1,0.4254391
1,0.5446836
1,0.6187846
1,0.74885964
1,0.5453585
