Time,RainAmout[mm/h]
2015-01-14 18:40:00,-0.051740084
2015-01-14 18:50:00,2.1787856
2015-01-14 19:00:00,3.8410668
2015-01-14 19:10:00,-0.01503844
2015-01-14 19:20:00,-0.048698053
2015-01-14 19:30:00,0.30483672
2015-01-14 19:40:00,0.78320616
2015-01-14 19:50:00,-0.029207462
2015-01-14 20:00:00,-0.05526457
2015-01-14 20:10:00,2.022528
2015-01-14 20:20:00,0.5692289
2015-01-14 20:30:00,-0.06997348
2015-01-14 20:40:00,-0.095914975
2015-01-14 20:50:00,1.2101358
2015-01-14 21:00:00,-0.022659361
2015-01-14 21:10:00,-0.06903344
2015-01-14 21:20:00,-0.11554872
2015-01-14 21:30:00,-0.0076450994
2015-01-14 21:40:00,-0.031140693
2015-01-14 21:50:00,-0.051535286
2015-01-14 22:00:00,-0.1035793
2015-01-14 22:10:00,-0.02944019
2015-01-14 22:20:00,-0.02561063
2015-01-14 22:30:00,-0.05988834
2015-01-14 22:40:00,-0.11609477
2015-01-14 22:50:00,-0.010125121
2015-01-14 23:00:00,-0.0049369335
2015-01-14 23:10:00,-0.043509744
2015-01-14 23:20:00,-0.07497825
2015-01-14 23:30:00,-0.025354052
2015-01-14 23:40:00,-0.023501068
2015-01-14 23:50:00,-0.039831795
2015-01-15 00:00:00,-0.0760947
2015-01-15 00:10:00,-0.037177417
2015-01-15 00:20:00,-0.0433265
2015-01-15 00:30:00,-0.016781893
2015-01-15 00:40:00,-0.049202755
2015-01-15 00:50:00,-0.016366342
2015-01-15 01:00:00,-0.019622365
2015-01-15 01:10:00,-0.020649431
2015-01-15 01:20:00,-0.05638346
2015-01-15 01:30:00,-0.015133999
2015-01-15 01:40:00,-0.0055137062
2015-01-15 01:50:00,-0.022369962
2015-01-15 02:00:00,-0.034699984
2015-01-15 02:10:00,-0.009443074
2015-01-15 02:20:00,-0.006194582
2015-01-15 02:30:00,-0.01821806
2015-01-15 02:40:00,-0.02402144
2015-01-15 02:50:00,-0.013671591
2015-01-15 03:00:00,-0.012149181
2015-01-15 03:10:00,-0.011818421
2015-01-15 03:20:00,-0.012680073
2015-01-15 03:30:00,-0.0044011055
2015-01-15 03:40:00,-0.0034539995
2015-01-15 03:50:00,-0.0059184153
2015-01-15 04:00:00,-0.0068944055
2015-01-15 04:10:00,-0.005181222
2015-01-15 04:20:00,-0.0037275236
2015-01-15 04:30:00,0.3157143
2015-01-15 04:40:00,-0.0074902084
2015-01-15 04:50:00,-0.006839961
2015-01-15 05:00:00,-0.0037209643
2015-01-15 05:10:00,-0.0009763198
