Time,RR[mm/h]
0,7.201301
0,8.096444
0,6.7097197
0,5.7930923
0,6.412799
0,6.733207
0,5.004294
0,5.3122945
0,6.3689885
0,6.0887065
0,4.5979695
0,5.6033854
0,6.402845
0,6.0083723
0,4.6334195
0,5.710178
0,6.4284368
0,5.9326463
0,4.56672
0,5.595715
0,6.3299108
0,5.8617887
0,4.4918694
0,5.444267
0,6.2987056
0,5.740265
0,4.4206305
0,5.3749843
0,6.2510505
0,5.6902857
0,4.393508
0,5.38245
0,6.22838
0,5.6894736
0,4.3724833
0,5.381207
0,6.227768
0,5.682714
0,4.3690953
0,5.4131303
0,6.26493
0,5.7081156
0,4.397433
0,5.464882
0,6.2594934
0,5.736121
0,4.446585
0,5.538659
0,6.1913056
0,5.5327187
0,4.4098024
0,5.122559
0,5.9713874
0,5.0803876
0,3.9916077
0,4.1748495
0,5.744823
0,5.292207
0,4.71284
0,3.9713268
0,8.431612
0,7.6118135
0,6.412387
0,7.225777
