Time,RR[mm/h]
10-06-2011 08:15,0.0979141
10-06-2011 08:30,0.08634937
10-06-2011 08:45,0.05869478
10-06-2011 09:00,0.106258035
10-06-2011 09:15,0.08459771
10-06-2011 09:30,0.08599621
10-06-2011 09:45,0.085134506
10-06-2011 10:00,0.09539962
10-06-2011 10:15,0.0992043
10-06-2011 10:30,0.08954191
10-06-2011 10:45,0.08684379
10-06-2011 11:00,0.08769137
10-06-2011 11:15,0.09593642
10-06-2011 11:30,0.087163985
10-06-2011 11:45,0.08352411
10-06-2011 12:00,0.08541468
10-06-2011 12:15,0.094516724
10-06-2011 12:30,0.08583847
10-06-2011 13:00,0.082598835
10-06-2011 13:15,0.08588791
10-06-2011 13:30,0.09463209
10-06-2011 13:45,0.08604565
10-06-2011 14:00,0.08214679
10-06-2011 14:15,0.08532521
10-06-2011 14:30,0.09448847
10-06-2011 14:45,0.08579138
10-06-2011 15:00,0.081953734
10-06-2011 15:15,0.08512744
10-06-2011 15:30,0.094318956
10-06-2011 15:45,0.08535817
10-06-2011 16:00,0.08168298
10-06-2011 16:15,0.084494114
10-06-2011 16:30,0.09376332
10-06-2011 16:45,0.0843811
10-06-2011 17:00,0.08069414
10-06-2011 17:15,0.083425224
10-06-2011 17:30,0.09246606
10-06-2011 17:45,0.083571196
10-06-2011 18:00,0.07986775
10-06-2011 18:15,0.08265534
10-06-2011 18:30,0.09158787
10-06-2011 18:45,0.083253354
10-06-2011 19:00,0.07962054
10-06-2011 19:15,0.08268124
10-06-2011 19:30,0.09162554
10-06-2011 19:45,0.0836277
10-06-2011 20:00,0.079983115
10-06-2011 20:15,0.082904905
10-06-2011 20:30,0.091976345
10-06-2011 20:45,0.083856076
10-06-2011 21:00,0.08028448
10-06-2011 21:15,0.083232164
10-06-2011 21:30,0.092336565
10-06-2011 21:45,0.0842163
10-06-2011 22:00,0.08046341
10-06-2011 22:15,0.08334988
10-06-2011 22:30,0.09244487
10-06-2011 22:45,0.08418569
10-06-2011 23:00,0.08025387
10-06-2011 23:15,0.08304617
10-06-2011 23:30,0.09194809
10-06-2011 23:45,0.08362299
11-06-2011 00:00,0.079698235
11-06-2011 00:15,0.08233279
11-06-2011 00:30,0.0910911
11-06-2011 00:45,0.082733035
11-06-2011 01:00,0.07892364
11-06-2011 01:15,0.08154407
11-06-2011 01:30,0.09020114
11-06-2011 01:45,0.08209029
11-06-2011 02:00,0.07837036
11-06-2011 02:15,0.08106613
11-06-2011 02:30,0.08963609
11-06-2011 02:45,0.08186898
11-06-2011 03:00,0.07831621
11-06-2011 03:15,0.08090839
11-06-2011 03:30,0.08958429
11-06-2011 03:45,0.08203849
11-06-2011 04:00,0.07865289
11-06-2011 04:15,0.081315696
11-06-2011 04:30,0.090156406
11-06-2011 04:45,0.082641214
11-06-2011 05:00,0.07930505
11-06-2011 05:15,0.0820691
11-06-2011 05:30,0.09117821
11-06-2011 05:45,0.083550006
11-06-2011 06:00,0.080159694
11-06-2011 06:15,0.08302498
11-06-2011 06:30,0.09227535
11-06-2011 06:45,0.084489405
11-06-2011 07:00,0.080976665
11-06-2011 07:15,0.08396202
11-06-2011 07:30,0.09338662
11-06-2011 07:45,0.085219264
11-06-2011 08:00,0.08156055
05-08-2011 08:15,0.084602416
05-08-2011 08:30,0.094135314
05-08-2011 08:45,0.08555594
05-08-2011 09:00,0.08187604
05-08-2011 09:15,0.08487788
05-08-2011 09:30,0.09442255
05-08-2011 09:45,0.08575371
05-08-2011 10:00,0.08190665
05-08-2011 10:15,0.08472249
05-08-2011 10:30,0.09431425
05-08-2011 10:45,0.08566424
05-08-2011 11:00,0.08171359
05-08-2011 11:15,0.08451766
05-08-2011 11:30,0.09389517
05-08-2011 11:45,0.086073905
05-08-2011 12:00,0.08087072
05-08-2011 12:15,0.08431283
05-08-2011 12:30,0.09351611
05-08-2011 12:45,0.08542645
05-08-2011 13:15,0.080821276
05-08-2011 13:30,0.08589262
05-08-2011 13:45,0.09490755
05-08-2011 14:00,0.087696075
05-08-2011 14:15,0.081739485
05-08-2011 14:30,0.08691442
05-08-2011 14:45,0.08898863
05-08-2011 15:00,0.08767724
05-08-2011 15:15,0.07803133
05-08-2011 15:30,0.06666908
05-08-2011 15:45,0.093137056
05-08-2011 16:00,0.09041068
05-08-2011 16:15,0.1330109
05-08-2011 16:30,0.071255416
