Time,RR[mm/h]
09-06-2011 09:30,1.4126301e-05
09-06-2011 09:45,1.4126301e-05
09-06-2011 10:00,1.1771917e-05
09-06-2011 10:15,1.1771917e-05
09-06-2011 10:30,1.1771917e-05
09-06-2011 10:45,1.4126301e-05
09-06-2011 11:00,1.1771917e-05
09-06-2011 11:15,1.1771917e-05
09-06-2011 11:30,1.4126301e-05
09-06-2011 11:45,1.4126301e-05
09-06-2011 12:00,1.4126301e-05
09-06-2011 12:15,1.4126301e-05
09-06-2011 12:30,1.6480684e-05
09-06-2011 12:45,1.6480684e-05
09-06-2011 13:00,1.6480684e-05
09-06-2011 13:15,1.6480684e-05
09-06-2011 13:30,1.8835068e-05
09-06-2011 13:45,1.6480684e-05
09-06-2011 14:00,1.6480684e-05
09-06-2011 14:15,1.6480684e-05
09-06-2011 14:30,1.8835068e-05
09-06-2011 14:45,1.8835068e-05
09-06-2011 15:00,1.6480684e-05
09-06-2011 15:15,1.6480684e-05
09-06-2011 15:30,1.8835068e-05
09-06-2011 15:45,1.8835068e-05
09-06-2011 16:00,1.6480684e-05
09-06-2011 16:15,1.6480684e-05
09-06-2011 16:30,1.8835068e-05
09-06-2011 16:45,1.8835068e-05
09-06-2011 17:00,1.6480684e-05
09-06-2011 17:15,1.6480684e-05
09-06-2011 17:30,1.8835068e-05
09-06-2011 17:45,1.8835068e-05
09-06-2011 18:00,1.6480684e-05
09-06-2011 18:15,1.6480684e-05
09-06-2011 18:30,1.8835068e-05
09-06-2011 18:45,1.8835068e-05
09-06-2011 19:00,1.6480684e-05
09-06-2011 19:15,1.6480684e-05
09-06-2011 19:30,1.8835068e-05
09-06-2011 19:45,1.8835068e-05
09-06-2011 20:00,1.6480684e-05
09-06-2011 20:15,1.6480684e-05
09-06-2011 20:30,1.8835068e-05
09-06-2011 20:45,1.8835068e-05
09-06-2011 21:00,1.6480684e-05
09-06-2011 21:15,1.6480684e-05
09-06-2011 21:30,1.8835068e-05
09-06-2011 21:45,1.8835068e-05
09-06-2011 22:00,1.6480684e-05
09-06-2011 22:15,1.6480684e-05
09-06-2011 22:30,1.8835068e-05
09-06-2011 22:45,1.8835068e-05
09-06-2011 23:00,1.8835068e-05
09-06-2011 23:15,1.8835068e-05
09-06-2011 23:30,1.8835068e-05
09-06-2011 23:45,1.8835068e-05
10-06-2011 00:00,1.4126301e-05
10-06-2011 00:15,1.1771917e-05
10-06-2011 00:30,2.8252602e-05
10-06-2011 00:45,1.6480684e-05
10-06-2011 01:00,1.1771917e-05
10-06-2011 01:15,1.4126301e-05
