Time,RR[mm/h]
05-08-2011 18:00,2.3543835e-06
05-08-2011 18:15,0.0
05-08-2011 18:30,2.3543835e-06
05-08-2011 18:45,2.3543835e-06
05-08-2011 19:00,4.708767e-06
05-08-2011 19:15,4.708767e-06
05-08-2011 19:30,7.0631504e-06
05-08-2011 19:45,4.708767e-06
05-08-2011 20:00,1.1771917e-05
05-08-2011 20:15,7.0631504e-06
05-08-2011 20:30,1.1771917e-05
05-08-2011 20:45,4.708767e-06
05-08-2011 21:00,1.4126301e-05
05-08-2011 21:15,7.0631504e-06
05-08-2011 21:30,1.4126301e-05
05-08-2011 21:45,7.0631504e-06
05-08-2011 22:00,1.6480684e-05
05-08-2011 22:15,7.0631504e-06
05-08-2011 22:30,1.6480684e-05
05-08-2011 22:45,7.0631504e-06
05-08-2011 23:00,1.6480684e-05
05-08-2011 23:15,7.0631504e-06
05-08-2011 23:30,1.6480684e-05
05-08-2011 23:45,7.0631504e-06
06-08-2011 00:00,1.6480684e-05
06-08-2011 00:15,7.0631504e-06
06-08-2011 00:30,1.6480684e-05
06-08-2011 00:45,7.0631504e-06
06-08-2011 01:00,1.6480684e-05
06-08-2011 01:15,7.0631504e-06
06-08-2011 01:30,1.6480684e-05
06-08-2011 01:45,7.0631504e-06
06-08-2011 02:00,1.6480684e-05
06-08-2011 02:15,7.0631504e-06
06-08-2011 02:30,1.6480684e-05
06-08-2011 02:45,7.0631504e-06
06-08-2011 03:00,1.6480684e-05
06-08-2011 03:15,7.0631504e-06
06-08-2011 03:30,1.6480684e-05
06-08-2011 03:45,7.0631504e-06
06-08-2011 04:00,1.6480684e-05
06-08-2011 04:15,7.0631504e-06
06-08-2011 04:30,1.6480684e-05
06-08-2011 04:45,7.0631504e-06
06-08-2011 05:00,1.6480684e-05
06-08-2011 05:15,7.0631504e-06
06-08-2011 05:30,1.4126301e-05
06-08-2011 05:45,7.0631504e-06
06-08-2011 06:00,1.4126301e-05
06-08-2011 06:15,7.0631504e-06
06-08-2011 06:30,1.4126301e-05
06-08-2011 06:45,4.708767e-06
06-08-2011 07:00,1.1771917e-05
06-08-2011 07:15,4.708767e-06
06-08-2011 07:30,9.417534e-06
06-08-2011 07:45,4.708767e-06
06-08-2011 08:00,7.0631504e-06
06-08-2011 08:15,2.3543835e-06
06-08-2011 08:30,2.3543835e-06
06-08-2011 08:45,0.0
06-08-2011 09:00,2.3543835e-06
06-08-2011 09:15,0.0
06-08-2011 09:30,0.0
06-08-2011 09:45,0.0
