Time,RR[mm/h]
09-06-2011 17:45,0.0015030801
09-06-2011 18:00,0.0014843941
09-06-2011 18:15,0.0012542605
09-06-2011 18:30,0.0013837516
09-06-2011 18:45,0.001559794
09-06-2011 19:00,0.0016253591
09-06-2011 19:15,0.0013729334
09-06-2011 19:30,0.0013427734
09-06-2011 19:45,0.0015184879
09-06-2011 20:00,0.0015693009
09-06-2011 20:15,0.0013280213
09-06-2011 20:30,0.0012434423
09-06-2011 20:45,0.001411289
09-06-2011 21:00,0.0014798045
09-06-2011 21:15,0.0012716353
09-06-2011 21:30,0.0012096763
09-06-2011 21:45,0.0013840795
09-06-2011 22:00,0.0014611185
09-06-2011 22:15,0.0012686849
09-06-2011 22:30,0.0012057424
09-06-2011 22:45,0.0013824403
09-06-2011 23:00,0.0014565289
09-06-2011 23:15,0.001264751
09-06-2011 23:30,0.0012027919
09-06-2011 23:45,0.0013791621
10-06-2011 00:00,0.001452595
10-06-2011 00:15,0.0012621284
10-06-2011 00:30,0.0012004972
10-06-2011 00:45,0.0013768673
10-06-2011 01:00,0.001450628
10-06-2011 01:15,0.001260817
10-06-2011 01:30,0.0011995137
10-06-2011 01:45,0.0013758838
10-06-2011 02:00,0.0014496446
10-06-2011 02:15,0.0012598336
10-06-2011 02:30,0.0011982024
10-06-2011 02:45,0.0013742447
10-06-2011 03:00,0.0014480054
10-06-2011 03:15,0.0012578666
10-06-2011 03:30,0.0011962354
10-06-2011 03:45,0.0013712943
10-06-2011 04:00,0.0014453828
10-06-2011 04:15,0.0012568831
10-06-2011 04:30,0.0011959076
10-06-2011 04:45,0.0013693273
10-06-2011 05:00,0.0014414489
10-06-2011 05:15,0.0012585223
10-06-2011 05:30,0.0012057424
10-06-2011 05:45,0.0013922751
10-06-2011 06:00,0.0014640689
10-06-2011 06:15,0.0012768805
10-06-2011 06:30,0.0012463927
10-06-2011 06:45,0.0014381707
10-06-2011 07:00,0.0015158653
10-06-2011 07:15,0.001362443
10-06-2011 07:30,0.0013434291
10-06-2011 07:45,0.0014991462
10-06-2011 08:00,0.0016050339
10-06-2011 08:15,0.0013139248
10-06-2011 08:30,0.0012729466
10-06-2011 08:45,0.0015755296
10-06-2011 09:00,0.0027855337
10-06-2011 09:15,0.002059728
10-06-2011 09:30,0.002029568
