Time,RR[mm/h]
05-08-2011 08:15,0.0026903152
05-08-2011 09:30,0.0038661957
05-08-2011 10:30,0.0040020943
05-08-2011 11:30,0.003289938
05-08-2011 12:30,0.003036499
05-08-2011 13:30,0.004062891
05-08-2011 14:30,0.003625393
05-08-2011 15:30,0.0031297207
05-08-2011 16:45,0.0032682419
05-08-2011 17:45,0.0043849945
05-08-2011 18:45,0.004118204
05-08-2011 19:45,0.003383398
05-08-2011 20:45,0.003707409
05-08-2011 21:45,0.004733801
05-08-2011 22:45,0.004381895
05-08-2011 23:45,0.0034601688
06-08-2011 00:45,0.003832817
06-08-2011 01:45,0.0048069954
06-08-2011 02:45,0.0044150352
06-08-2011 03:45,0.003516674
06-08-2011 04:45,0.0038986206
06-08-2011 05:45,0.0048265457
06-08-2011 06:45,0.0044128895
06-08-2011 07:45,0.0035002232
06-08-2011 08:45,0.0038733482
06-08-2011 09:45,0.004793644
06-08-2011 10:45,0.0043902397
06-08-2011 11:45,0.0034866333
06-08-2011 12:45,0.0038776398
06-08-2011 13:45,0.0047986507
06-08-2011 14:45,0.004402876
06-08-2011 15:45,0.0034923553
06-08-2011 17:00,0.0038757324
06-08-2011 18:00,0.0048348904
06-08-2011 19:00,0.0044395924
06-08-2011 20:00,0.0035221577
06-08-2011 21:00,0.0039200783
06-08-2011 22:00,0.0048639774
06-08-2011 23:00,0.00447011
07-08-2011 00:00,0.0035774708
07-08-2011 01:00,0.003969431
07-08-2011 02:00,0.0049250126
07-08-2011 03:00,0.004562378
07-08-2011 04:00,0.0036830902
07-08-2011 05:00,0.004122257
07-08-2011 06:00,0.005126238
07-08-2011 07:00,0.0047473907
07-08-2011 08:00,0.0038912296
07-08-2011 09:00,0.0044050217
07-08-2011 10:00,0.005437851
07-08-2011 11:00,0.0051882267
07-08-2011 12:00,0.0042812824
07-08-2011 13:00,0.00490427
07-08-2011 14:00,0.0059833527
07-08-2011 15:00,0.005938053
07-08-2011 16:00,0.0054221153
07-08-2011 17:15,0.006308794
07-08-2011 18:15,0.005471945
07-08-2011 19:15,0.005000353
07-08-2011 20:15,0.003714323
07-08-2011 21:15,0.004999399
07-08-2011 22:15,0.005091667
07-08-2011 23:15,0.005046606
08-08-2011 00:15,0.0033631325
