Time,RR[mm/h]
10-06-2011 03:45,0.00227198
10-06-2011 04:00,0.0019541383
10-06-2011 04:15,0.0025262535
10-06-2011 04:30,0.003997743
10-06-2011 04:45,0.0021825135
10-06-2011 05:00,0.0021095276
10-06-2011 05:15,0.0029641688
10-06-2011 05:30,0.0037646592
10-06-2011 05:45,0.0033079088
10-06-2011 06:00,0.0023991168
10-06-2011 06:15,0.0028535128
10-06-2011 06:30,0.003001839
10-06-2011 06:45,0.0028417408
10-06-2011 07:00,0.0020671487
10-06-2011 07:15,0.0023685098
10-06-2011 07:30,0.0024485588
10-06-2011 07:45,0.0023402572
10-06-2011 08:00,0.0016928017
10-06-2011 08:15,0.0019635558
10-06-2011 08:30,0.002093047
10-06-2011 08:45,0.0020671487
10-06-2011 09:00,0.0015232861
10-06-2011 09:15,0.0018411279
10-06-2011 09:30,0.001989454
10-06-2011 09:45,0.0019823909
10-06-2011 10:00,0.001485616
10-06-2011 10:15,0.0018152297
10-06-2011 10:30,0.0019729733
10-06-2011 10:45,0.001970619
10-06-2011 11:00,0.0014785528
10-06-2011 11:15,0.0018152297
10-06-2011 11:30,0.0019729733
10-06-2011 11:45,0.0019682646
10-06-2011 12:00,0.0014761984
10-06-2011 12:15,0.0018128753
10-06-2011 12:30,0.0019682646
10-06-2011 13:00,0.0019659102
10-06-2011 13:15,0.0014785528
10-06-2011 13:30,0.0018152297
10-06-2011 13:45,0.0019729733
10-06-2011 14:00,0.0019659102
10-06-2011 14:15,0.0014761984
10-06-2011 14:30,0.0018011034
10-06-2011 14:45,0.0019564927
10-06-2011 15:00,0.0019423664
10-06-2011 15:15,0.0014503002
10-06-2011 15:30,0.0017799139
10-06-2011 15:45,0.0019682646
10-06-2011 16:00,0.001940012
10-06-2011 16:15,0.0014126301
10-06-2011 16:30,0.0016174614
10-06-2011 16:45,0.0017445982
10-06-2011 17:00,0.0018105209
10-06-2011 17:15,0.0013514161
10-06-2011 17:30,0.0016504228
10-06-2011 17:45,0.0018011034
10-06-2011 18:00,0.0017186999
10-06-2011 18:15,0.0012548864
10-06-2011 18:30,0.001301974
10-06-2011 18:45,0.0014503002
10-06-2011 19:00,0.002990067
10-06-2011 19:15,0.002142489
10-06-2011 19:30,0.0017916858
10-06-2011 19:45,0.0017516613
