Time,RR[mm/h]
10-06-2011 09:00:00,0.0015217662
10-06-2011 09:15:00,0.0014030933
10-06-2011 09:30:00,0.0010218322
10-06-2011 09:45:00,0.0018538535
10-06-2011 10:00:00,0.0011434555
10-06-2011 10:15:00,0.0018259883
10-06-2011 10:30:00,0.0013883412
10-06-2011 10:45:00,0.0017266572
10-06-2011 11:00:00,0.0013198256
10-06-2011 11:15:00,0.0018758178
10-06-2011 11:30:00,0.0013565421
10-06-2011 11:45:00,0.0016732216
10-06-2011 12:00:00,0.0013627708
10-06-2011 12:15:00,0.0019200742
10-06-2011 12:30:00,0.00134933
10-06-2011 12:45:00,0.0016627312
10-06-2011 13:00:00,0.0013614595
10-06-2011 13:15:00,0.001931876
10-06-2011 13:30:00,0.0013614595
10-06-2011 13:45:00,0.0016748607
10-06-2011 14:00:00,0.0013673604
10-06-2011 14:15:00,0.0019361377
10-06-2011 14:30:00,0.0013653934
10-06-2011 14:45:00,0.0016833842
10-06-2011 15:00:00,0.0013742447
10-06-2011 15:15:00,0.0019453168
10-06-2011 15:30:00,0.0013752282
10-06-2011 15:45:00,0.0016991198
10-06-2011 16:00:00,0.0013909638
10-06-2011 16:15:00,0.0019699037
10-06-2011 16:30:00,0.0013958812
10-06-2011 16:45:00,0.0017292798
10-06-2011 17:00:00,0.0014171898
10-06-2011 17:15:00,0.0020056367
10-06-2011 17:30:00,0.0014211237
10-06-2011 17:45:00,0.0017538667
10-06-2011 18:00:00,0.0014365315
10-06-2011 18:15:00,0.002025634
10-06-2011 18:30:00,0.0014283359
10-06-2011 18:45:00,0.0017538667
10-06-2011 19:00:00,0.0014322698
10-06-2011 19:15:00,0.0020128489
10-06-2011 19:30:00,0.0014171898
10-06-2011 19:45:00,0.0017437041
10-06-2011 20:15:00,0.0014198124
10-06-2011 20:30:00,0.002001375
10-06-2011 20:45:00,0.0014066994
10-06-2011 21:00:00,0.0017315745
10-06-2011 21:15:00,0.0014096498
10-06-2011 21:30:00,0.0019866228
10-06-2011 21:45:00,0.0013965368
10-06-2011 22:00:00,0.0017161667
10-06-2011 22:15:00,0.001396209
10-06-2011 22:30:00,0.0019695759
10-06-2011 22:45:00,0.0013827682
10-06-2011 23:00:00,0.0017001033
10-06-2011 23:15:00,0.0013834238
10-06-2011 23:30:00,0.0019531846
10-06-2011 23:45:00,0.0013722777
11-06-2011 00:00:00,0.0016886294
11-06-2011 00:15:00,0.0013749003
11-06-2011 00:30:00,0.0019436777
11-06-2011 00:45:00,0.0013673604
11-06-2011 01:00:00,0.001683712
11-06-2011 01:15:00,0.0013719499
11-06-2011 01:30:00,0.0019420385
11-06-2011 01:45:00,0.0013673604
11-06-2011 02:00:00,0.0016846955
11-06-2011 02:15:00,0.0013739169
11-06-2011 02:30:00,0.0019453168
11-06-2011 02:45:00,0.0013706386
11-06-2011 03:00:00,0.0016879737
11-06-2011 03:15:00,0.0013765395
11-06-2011 03:30:00,0.0019476116
11-06-2011 03:45:00,0.0013712943
11-06-2011 04:00:00,0.0016886294
11-06-2011 04:15:00,0.0013762116
11-06-2011 04:30:00,0.0019463003
11-06-2011 04:45:00,0.0013696551
11-06-2011 05:00:00,0.0016860068
11-06-2011 05:15:00,0.0013739169
11-06-2011 05:30:00,0.001943022
11-06-2011 05:45:00,0.0013670325
11-06-2011 06:00:00,0.0016827285
11-06-2011 06:15:00,0.0013709664
11-06-2011 06:30:00,0.0019394159
11-06-2011 06:45:00,0.0013647377
11-06-2011 07:00:00,0.0016804338
11-06-2011 07:15:00,0.0013693273
11-06-2011 07:30:00,0.0019377768
11-06-2011 07:45:00,0.0013634264
11-06-2011 08:00:00,0.0016791224
05-08-2011 08:15:00,0.0013683438
05-08-2011 08:30:00,0.0019364655
05-08-2011 08:45:00,0.0013627708
05-08-2011 09:00:00,0.0016778111
05-08-2011 09:15:00,0.0013673604
05-08-2011 09:30:00,0.0019351542
05-08-2011 09:45:00,0.0013617873
05-08-2011 10:00:00,0.0016764998
05-08-2011 10:15:00,0.001366049
05-08-2011 10:30:00,0.0019335151
05-08-2011 10:45:00,0.001360476
05-08-2011 11:00:00,0.0016751885
05-08-2011 11:15:00,0.0013650656
05-08-2011 11:30:00,0.0019322038
05-08-2011 11:45:00,0.0013598204
05-08-2011 12:00:00,0.0016742051
05-08-2011 12:15:00,0.0013644099
05-08-2011 12:30:00,0.0019312203
05-08-2011 12:45:00,0.0013591647
05-08-2011 13:00:00,0.0016738772
05-08-2011 13:15:00,0.0013640821
05-08-2011 13:30:00,0.0019308925
05-08-2011 13:45:00,0.0013591647
05-08-2011 14:00:00,0.0016735494
05-08-2011 14:15:00,0.0013637543
05-08-2011 14:30:00,0.0019308925
05-08-2011 14:45:00,0.0013591647
05-08-2011 15:00:00,0.0016735494
05-08-2011 15:15:00,0.0013637543
