Time,RR[mm/h]
09-06-2011 12:00:00,0.00082936883
09-06-2011 12:15:00,0.0016562045
09-06-2011 12:30:00,0.0008126497
09-06-2011 12:45:00,0.0016866028
09-06-2011 13:00:00,0.0008739531
09-06-2011 13:15:00,0.0019637346
09-06-2011 13:30:00,0.0010446906
09-06-2011 13:45:00,0.0021871626
09-06-2011 14:00:00,0.0011647642
09-06-2011 14:15:00,0.0028493404
09-06-2011 14:30:00,0.0014945865
09-06-2011 14:45:00,0.0029238164
09-06-2011 15:00:00,0.0014626682
09-06-2011 15:15:00,0.0035322905
09-06-2011 15:30:00,0.0017879307
09-06-2011 15:45:00,0.003440082
09-06-2011 16:00:00,0.0016678572
09-06-2011 16:15:00,0.00404197
09-06-2011 16:30:00,0.0020270646
09-06-2011 16:45:00,0.0039887726
09-06-2011 17:00:00,0.0018862188
09-06-2011 17:15:00,0.004662603
09-06-2011 17:30:00,0.0022996366
09-06-2011 17:45:00,0.0046463907
09-06-2011 18:00:00,0.0020675957
09-06-2011 18:15:00,0.005282223
09-06-2011 18:30:00,0.002513945
09-06-2011 18:45:00,0.005190015
09-06-2011 19:00:00,0.0021126866
09-06-2011 19:15:00,0.005690068
09-06-2011 19:30:00,0.0026056468
09-06-2011 19:45:00,0.005464107
09-06-2011 20:15:00,0.0020478368
09-06-2011 20:30:00,0.005849153
09-06-2011 20:45:00,0.0026254058
09-06-2011 21:00:00,0.005576074
09-06-2011 21:15:00,0.0020402372
09-06-2011 21:30:00,0.005944401
09-06-2011 21:45:00,0.002678603
09-06-2011 22:00:00,0.005677402
09-06-2011 22:15:00,0.0021299124
09-06-2011 22:30:00,0.005975306
09-06-2011 22:45:00,0.002702415
09-06-2011 23:00:00,0.005600393
09-06-2011 23:15:00,0.0021770298
09-06-2011 23:30:00,0.0057331324
09-06-2011 23:45:00,0.0025681555
10-06-2011 00:00:00,0.0051342845
10-06-2011 00:15:00,0.002055943
10-06-2011 00:30:00,0.0052183867
10-06-2011 00:45:00,0.0023361146
10-06-2011 01:00:00,0.0045663416
10-06-2011 01:15:00,0.0018958449
10-06-2011 01:30:00,0.0047857165
10-06-2011 01:45:00,0.0021785498
10-06-2011 02:00:00,0.0042208135
10-06-2011 02:15:00,0.0018284619
10-06-2011 02:30:00,0.0045678616
10-06-2011 02:45:00,0.0021202862
10-06-2011 03:00:00,0.0040581822
10-06-2011 03:15:00,0.0018208623
10-06-2011 03:30:00,0.0044412017
10-06-2011 03:45:00,0.0020909011
10-06-2011 04:00:00,0.0039457083
10-06-2011 04:15:00,0.001807183
10-06-2011 04:30:00,0.0043287277
10-06-2011 04:45:00,0.0020539165
10-06-2011 05:00:00,0.003857553
10-06-2011 05:15:00,0.0017747581
10-06-2011 05:30:00,0.004245132
