Time,RR[mm/h]
0,6.6879864
0,7.6519723
0,6.32475
0,5.466643
0,6.0577154
0,6.3933353
0,4.700595
0,5.064966
0,6.0952044
0,5.814112
0,4.396314
0,5.468887
0,6.3290515
0,5.8422027
0,4.5280986
0,5.687331
0,6.4847465
0,5.948682
0,4.617191
0,5.7778406
0,6.618344
0,6.0846896
0,4.6758904
0,5.7294602
0,6.6173525
0,6.079277
0,4.6707153
0,5.678349
0,6.5745687
0,6.041303
0,4.6327534
0,5.602712
0,6.4961724
0,5.9662313
0,4.5779715
0,5.542459
0,6.429421
0,5.888367
0,4.5312886
0,5.496979
0,6.3642306
0,5.835212
0,4.475116
0,5.4956536
0,6.254052
0,5.730852
0,4.4350038
0,5.462572
0,6.1490636
0,5.4637566
0,4.3503757
0,4.995446
0,5.8783703
0,5.007124
0,3.919055
0,4.0833416
0,5.6445756
0,5.211673
0,4.6378927
0,3.8838382
0,8.2979965
0,7.512647
0,6.3216043
0,7.1629906
