Time,RR[mm/h]
0,6.864989
0,7.7920065
0,6.485865
0,5.5704618
0,6.2309723
0,6.516785
0,4.8375564
0,5.170052
0,6.2774854
0,5.9974856
0,4.569265
0,5.6600933
0,6.6089334
0,6.159458
0,4.7329345
0,5.9858575
0,6.7134304
0,6.2789407
0,4.871083
0,6.082837
0,6.822323
0,6.329209
0,4.824843
0,5.849129
0,6.5959067
0,6.131389
0,4.7215724
0,5.59895
0,6.4806995
0,5.941461
0,4.5365014
0,5.4429107
0,6.2954683
0,5.794152
0,4.4306884
0,5.386015
0,6.2310266
0,5.68351
0,4.379688
0,5.3396854
0,6.1867027
0,5.626136
0,4.3041496
0,5.3264017
0,6.0726447
0,5.5131187
0,4.267838
0,5.266716
0,5.989267
0,5.2853837
0,4.204969
0,4.8628755
0,5.76661
0,4.8974686
0,3.8407576
0,4.0455465
0,5.5785704
0,5.1466093
0,4.5860167
0,3.881465
0,8.241713
0,7.427218
0,6.261266
0,7.1233377
