Time,RR[mm/h]
0,6.6971354
0,7.653496
0,6.341042
0,5.427718
0,6.0736456
0,6.3651133
0,4.723637
0,5.0671253
0,6.1459436
0,5.878253
0,4.457771
0,5.5511417
0,6.504714
0,6.0334654
0,4.641667
0,5.9191084
0,6.67107
0,6.2048197
0,4.8173065
0,6.053167
0,6.8452992
0,6.3393846
0,4.835819
0,5.8885484
0,6.701084
0,6.196622
0,4.7891316
0,5.6930923
0,6.5976253
0,6.051498
0,4.6599207
0,5.5766325
0,6.438177
0,5.9348497
0,4.539148
0,5.5186844
0,6.299155
0,5.7871523
0,4.4821033
0,5.4608393
0,6.2506127
0,5.705187
0,4.373472
0,5.394547
0,6.0862837
0,5.5545225
0,4.2954173
0,5.311329
0,6.006164
0,5.280202
0,4.2137556
0,4.8609333
0,5.776932
0,4.876844
0,3.8162556
0,4.027161
0,5.57736
0,5.1379523
0,4.5519013
0,3.8410566
0,8.226967
0,7.429841
0,6.2307014
0,7.083537
