Time,RR[mm/h]
10-06-2011 19:15,0.09649441
10-06-2011 19:30,0.08509213
10-06-2011 19:45,0.05767533
10-06-2011 20:00,0.10613561
10-06-2011 20:15,0.08450118
10-06-2011 20:30,0.084720135
10-06-2011 20:45,0.08373836
10-06-2011 21:00,0.095489085
10-06-2011 21:15,0.09969166
10-06-2011 21:30,0.08876026
10-06-2011 21:45,0.08556771
10-06-2011 22:00,0.0878703
10-06-2011 22:15,0.09668511
10-06-2011 22:30,0.08627638
10-06-2011 22:45,0.08221978
10-06-2011 23:00,0.08515334
10-06-2011 23:15,0.094759226
10-06-2011 23:30,0.084334016
10-06-2011 23:45,0.0805929
11-06-2011 00:00,0.085026205
11-06-2011 00:15,0.09405291
11-06-2011 00:30,0.08371717
11-06-2011 00:45,0.079601705
11-06-2011 01:00,0.083957314
11-06-2011 01:15,0.09332776
11-06-2011 01:30,0.082996726
11-06-2011 01:45,0.079090804
11-06-2011 02:00,0.08324394
11-06-2011 02:15,0.0929181
11-06-2011 02:30,0.082544684
11-06-2011 02:45,0.07888362
11-06-2011 03:00,0.083076775
11-06-2011 03:15,0.09278625
11-06-2011 03:30,0.082652986
11-06-2011 03:45,0.07894954
11-06-2011 04:00,0.08330044
11-06-2011 04:15,0.09299815
11-06-2011 04:30,0.083017915
11-06-2011 04:45,0.07932624
11-06-2011 05:00,0.08372894
11-06-2011 05:15,0.09346667
11-06-2011 05:30,0.083425224
11-06-2011 05:45,0.07970765
11-06-2011 06:00,0.08423984
11-06-2011 06:15,0.09398699
11-06-2011 06:30,0.08375955
11-06-2011 06:45,0.07999018
11-06-2011 07:00,0.08459771
11-06-2011 07:15,0.09446257
11-06-2011 07:30,0.08399734
11-06-2011 07:45,0.08008435
11-06-2011 08:00,0.084736615
05-08-2011 08:15,0.094625026
05-08-2011 08:30,0.084053844
05-08-2011 08:45,0.08004668
05-08-2011 09:00,0.084741324
05-08-2011 09:15,0.094587356
05-08-2011 09:30,0.08399263
05-08-2011 09:45,0.079983115
05-08-2011 10:00,0.08469659
05-08-2011 10:15,0.094533205
05-08-2011 10:30,0.083936125
05-08-2011 10:45,0.0799478
05-08-2011 11:00,0.084665984
05-08-2011 11:15,0.09448612
05-08-2011 11:30,0.08390081
05-08-2011 11:45,0.079928964
05-08-2011 12:00,0.08464244
05-08-2011 12:15,0.094457865
05-08-2011 12:30,0.08387962
05-08-2011 12:45,0.07991955
05-08-2011 13:15,0.08463538
05-08-2011 13:30,0.09444845
05-08-2011 13:45,0.08387256
05-08-2011 14:00,0.07991719
05-08-2011 14:15,0.08463067
05-08-2011 14:30,0.09444609
05-08-2011 14:45,0.0838702
05-08-2011 15:00,0.07991484
05-08-2011 15:15,0.08463067
05-08-2011 15:30,0.09444609
05-08-2011 15:45,0.0838702
05-08-2011 16:00,0.07991484
05-08-2011 16:15,0.084628314
05-08-2011 16:30,0.09444374
05-08-2011 16:45,0.0838702
05-08-2011 17:00,0.07991484
05-08-2011 17:15,0.08463067
05-08-2011 17:30,0.09444374
05-08-2011 17:45,0.08387491
05-08-2011 18:00,0.07992661
05-08-2011 18:15,0.0846495
05-08-2011 18:30,0.09447199
05-08-2011 18:45,0.08388904
05-08-2011 19:00,0.079966635
05-08-2011 19:15,0.08467305
05-08-2011 19:30,0.094516724
05-08-2011 19:45,0.08393377
05-08-2011 20:00,0.08005375
05-08-2011 20:15,0.08464715
05-08-2011 20:30,0.09459442
05-08-2011 20:45,0.083973795
05-08-2011 21:00,0.08009848
05-08-2011 21:15,0.08452001
05-08-2011 21:30,0.094554394
05-08-2011 21:45,0.08396673
05-08-2011 22:00,0.079891294
05-08-2011 22:15,0.08433637
05-08-2011 22:30,0.09425303
05-08-2011 22:45,0.08442348
05-08-2011 23:00,0.07890952
05-08-2011 23:15,0.0838137
05-08-2011 23:30,0.09348786
05-08-2011 23:45,0.083227456
06-08-2011 00:00,0.07818672
06-08-2011 00:15,0.08461183
06-08-2011 00:30,0.09417063
06-08-2011 00:45,0.08493909
06-08-2011 01:00,0.07859638
06-08-2011 01:15,0.08512744
06-08-2011 01:30,0.088152826
06-08-2011 01:45,0.083839595
06-08-2011 02:00,0.07356271
06-08-2011 02:15,0.063660175
06-08-2011 02:30,0.08970201
06-08-2011 02:45,0.085026205
06-08-2011 03:00,0.12509075
06-08-2011 03:15,0.067172915
