Time,RR[mm/h]
0,6.854029
0,7.8164635
0,6.4496665
0,5.5820594
0,6.1723976
0,6.483327
0,4.786236
0,5.1365795
0,6.1720867
0,5.8948135
0,4.463939
0,5.4937797
0,6.35369
0,5.8930783
0,4.5594234
0,5.7005486
0,6.4878616
0,5.9483967
0,4.630639
0,5.7564135
0,6.6067977
0,6.064911
0,4.658155
0,5.6886377
0,6.571047
0,6.035938
0,4.6476355
0,5.6399164
0,6.511005
0,5.9864907
0,4.589084
0,5.565673
0,6.4365783
0,5.902124
0,4.5310345
0,5.502274
0,6.3858767
0,5.8347464
0,4.48535
0,5.454351
0,6.31715
0,5.7783494
0,4.4261937
0,5.4366903
0,6.201159
0,5.6528325
0,4.3852487
0,5.3908057
0,6.11573
0,5.410618
0,4.3046184
0,4.9577146
0,5.86969
0,4.9875493
0,3.9156458
0,4.1198816
0,5.6763525
0,5.2362666
0,4.647694
0,3.9223933
0,8.316238
0,7.54344
0,6.351011
0,7.18709
