Time,RR[mm/h]
05-08-2011 13:15,0.09880406
05-08-2011 13:30,0.086937964
05-08-2011 13:45,0.058475822
05-08-2011 14:00,0.11132231
05-08-2011 14:15,0.087926805
05-08-2011 14:30,0.085708976
05-08-2011 14:45,0.08377603
05-08-2011 15:00,0.099152505
05-08-2011 15:15,0.10287243
05-08-2011 15:30,0.08928293
05-08-2011 15:45,0.08476016
05-08-2011 16:00,0.09074029
05-08-2011 16:15,0.09954333
05-08-2011 16:30,0.08666015
05-08-2011 16:45,0.081240356
05-08-2011 17:00,0.08775258
05-08-2011 17:15,0.09752092
05-08-2011 17:30,0.08435285
05-08-2011 17:45,0.0796535
05-08-2011 18:00,0.08784205
05-08-2011 18:15,0.09698412
05-08-2011 18:30,0.08372423
05-08-2011 18:45,0.07876119
05-08-2011 19:00,0.08700624
05-08-2011 19:15,0.096419066
05-08-2011 19:30,0.083307505
05-08-2011 19:45,0.078490436
05-08-2011 20:00,0.08667898
05-08-2011 20:15,0.09640965
05-08-2011 20:30,0.08314976
05-08-2011 20:45,0.0784716
05-08-2011 21:00,0.08666721
05-08-2011 21:15,0.09645203
05-08-2011 21:30,0.08316389
05-08-2011 21:45,0.07846218
05-08-2011 22:00,0.086669564
05-08-2011 22:15,0.09645674
05-08-2011 22:30,0.08316389
05-08-2011 22:45,0.07846218
05-08-2011 23:00,0.086669564
05-08-2011 23:15,0.09645438
05-08-2011 23:30,0.08316153
05-08-2011 23:45,0.07845983
06-08-2011 00:00,0.08666721
06-08-2011 00:15,0.09645438
06-08-2011 00:30,0.08315918
06-08-2011 00:45,0.07845983
06-08-2011 01:00,0.08666721
06-08-2011 01:15,0.09645438
06-08-2011 01:30,0.08315918
06-08-2011 01:45,0.07845983
06-08-2011 02:00,0.08666721
06-08-2011 02:15,0.09645438
06-08-2011 02:30,0.08315918
06-08-2011 02:45,0.07845983
06-08-2011 03:00,0.08666721
06-08-2011 03:30,0.09645438
06-08-2011 03:45,0.08315918
06-08-2011 04:00,0.07845983
06-08-2011 04:15,0.08666721
06-08-2011 04:30,0.09645438
06-08-2011 04:45,0.08315918
06-08-2011 05:00,0.07845983
06-08-2011 05:15,0.086664855
06-08-2011 05:30,0.09645438
06-08-2011 05:45,0.08315918
06-08-2011 06:00,0.07845983
06-08-2011 06:15,0.08666721
06-08-2011 06:30,0.09645674
06-08-2011 06:45,0.08316153
06-08-2011 07:00,0.07846218
06-08-2011 07:15,0.08666721
06-08-2011 07:30,0.09645909
06-08-2011 07:45,0.08316389
06-08-2011 08:00,0.07846218
06-08-2011 08:15,0.08666721
06-08-2011 08:30,0.09645438
06-08-2011 08:45,0.083152115
06-08-2011 09:00,0.07842451
06-08-2011 09:15,0.0866366
06-08-2011 09:30,0.09637669
06-08-2011 09:45,0.08310267
06-08-2011 10:00,0.07845512
06-08-2011 10:15,0.08667663
06-08-2011 10:30,0.096419066
06-08-2011 10:45,0.0831168
06-08-2011 11:00,0.07848808
06-08-2011 11:15,0.08672136
06-08-2011 11:30,0.096687466
06-08-2011 11:45,0.08342287
06-08-2011 12:00,0.07861522
06-08-2011 12:15,0.08692855
06-08-2011 12:30,0.09732786
06-08-2011 13:00,0.08358532
06-08-2011 13:15,0.07914966
06-08-2011 13:30,0.087109834
06-08-2011 13:45,0.09752798
06-08-2011 14:00,0.08380428
06-08-2011 14:15,0.079370975
06-08-2011 14:30,0.08673549
06-08-2011 14:45,0.09656739
06-08-2011 15:00,0.0822857
06-08-2011 15:15,0.0778006
06-08-2011 15:30,0.084967345
06-08-2011 15:45,0.09448612
06-08-2011 16:00,0.08191371
06-08-2011 16:15,0.07721436
06-08-2011 16:30,0.08499324
06-08-2011 16:45,0.09417534
06-08-2011 17:00,0.08234221
06-08-2011 17:15,0.07539913
06-08-2011 17:30,0.08380899
06-08-2011 17:45,0.09291574
06-08-2011 18:00,0.080997854
06-08-2011 18:15,0.07475403
06-08-2011 18:30,0.08337107
06-08-2011 18:45,0.09317708
06-08-2011 19:00,0.08179128
06-08-2011 19:15,0.07495651
06-08-2011 19:30,0.08388433
06-08-2011 19:45,0.08745122
06-08-2011 20:00,0.08034569
06-08-2011 20:15,0.06970388
06-08-2011 20:30,0.061553
06-08-2011 20:45,0.08625755
06-08-2011 21:00,0.079639375
06-08-2011 21:15,0.118347794
06-08-2011 21:30,0.063751996
