Time,RR[mm/h]
1,3.9835343
1,5.0334177
1,4.482612
1,6.378571
1,3.3947055
1,5.747921
1,4.720685
1,6.267432
1,4.0140896
1,5.9085536
1,5.092228
1,6.5914497
1,4.7419047
1,6.2969494
1,5.4031405
1,6.7430177
1,5.166629
1,6.581896
1,5.632333
1,6.81873
1,5.2888165
1,6.6051545
1,5.702279
1,6.864556
1,5.3201413
1,6.6359477
1,5.7195415
1,6.876622
1,5.2917876
1,6.5887847
1,5.6779723
1,6.823799
1,5.235155
1,6.56445
1,5.648865
1,6.8004694
1,5.2174196
1,6.5449977
1,5.6396103
1,6.7698483
1,5.2252502
1,6.5731444
1,5.5970993
1,6.7438536
1,5.216193
1,6.6049943
1,5.6415806
1,6.7193165
1,5.236641
1,6.4640636
1,5.4922233
1,6.606765
1,4.8496013
1,6.5963116
1,5.7488723
1,6.4602566
1,4.19982
1,5.4590926
1,6.777674
1,5.9828653
1,4.518872
1,7.721384
1,9.082002
1,9.328799
