Time,RR[mm/h]
0,6.7212234
0,7.6288333
0,6.379124
0,5.4684324
0,6.110355
0,6.406532
0,4.793984
0,5.1362853
0,6.238551
0,5.908078
0,4.511926
0,5.61415
0,6.4855094
0,6.0702577
0,4.7016
0,5.97094
0,6.6999183
0,6.2182727
0,4.79962
0,6.081481
0,6.780036
0,6.332804
0,4.823039
0,5.813566
0,6.621659
0,6.1152945
0,4.705751
0,5.5982013
0,6.477853
0,5.9237986
0,4.5218573
0,5.4262114
0,6.28146
0,5.7658167
0,4.409374
0,5.364378
0,6.225183
0,5.657913
0,4.364902
0,5.3288503
0,6.1713147
0,5.5995173
0,4.2987676
0,5.3179827
0,6.065624
0,5.4942837
0,4.2640285
0,5.262532
0,6.0192637
0,5.30553
0,4.229356
0,4.9301424
0,5.85449
0,4.9869137
0,3.8974228
0,4.1628985
0,5.69932
0,5.2797284
0,4.715884
0,3.9906988
0,8.45444
0,7.6359344
0,6.4718423
0,7.281844
