Time,RR[mm/h]
0,6.7665944
0,7.7086115
0,6.408559
0,5.5067854
0,6.1405945
0,6.4760847
0,4.768554
0,5.1450343
0,6.209783
0,5.960006
0,4.493927
0,5.602199
0,6.4962053
0,6.0530777
0,4.633521
0,5.8605056
0,6.608366
0,6.120347
0,4.750908
0,5.8911242
0,6.7160344
0,6.199972
0,4.7234416
0,5.737435
0,6.5846925
0,6.078307
0,4.6731687
0,5.5961623
0,6.513336
0,5.9662433
0,4.5576015
0,5.4921055
0,6.374286
0,5.8579674
0,4.475725
0,5.438541
0,6.3188686
0,5.7635074
0,4.426027
0,5.399482
0,6.268009
0,5.7157106
0,4.375245
0,5.4020624
0,6.185554
0,5.637173
0,4.3355055
0,5.346155
0,6.0778832
0,5.3849835
0,4.275207
0,4.93924
0,5.8470383
0,4.969882
0,3.880735
0,4.0767045
0,5.610877
0,5.1906576
0,4.608708
0,3.8826184
0,8.280835
0,7.474268
0,6.293128
0,7.1252613
