Time,RR[mm/h]
1,4.0695634
1,5.0889387
1,4.5668
1,6.40062
1,3.4761953
1,5.8228235
1,4.7332454
1,6.2862344
1,4.019408
1,5.981688
1,5.056665
1,6.583273
1,4.8062077
1,6.4187675
1,5.4189997
1,6.7603555
1,5.291277
1,6.74904
1,5.6676836
1,6.8588796
1,5.418041
1,6.718577
1,5.78788
1,6.9394393
1,5.4389014
1,6.755376
1,5.803127
1,6.974536
1,5.267867
1,6.56283
1,5.659255
1,6.826226
1,5.166911
1,6.5465727
1,5.6295805
1,6.8029723
1,5.195001
1,6.4925776
1,5.6074114
1,6.709185
1,5.1540046
1,6.5025764
1,5.5313063
1,6.6487837
1,5.162419
1,6.5312104
1,5.562365
1,6.642561
1,5.159462
1,6.3846054
1,5.425705
1,6.5496407
1,4.8259306
1,6.5756917
1,5.763797
1,6.435441
1,4.2435856
1,5.4974546
1,6.8320208
1,5.9412775
1,4.554894
1,7.7394753
1,9.210829
1,9.343123
