Time,RR[mm/h]
1,0.0026439726
1,0.0044356585
1,0.005078405
1,0.007385701
1,0.0025827587
1,0.004040122
1,0.0037811399
1,0.0077624023
1,0.004188448
1,0.005219668
1,0.0044592023
1,0.007717669
1,0.004033059
1,0.005083114
1,0.004390925
1,0.0075481534
1,0.004040122
1,0.0052902997
1,0.00446862
1,0.007705897
1,0.004120171
1,0.0053562224
1,0.0046216547
1,0.007967234
1,0.004211992
1,0.005410373
1,0.0046381354
1,0.007946044
1,0.0041342974
1,0.0051796436
1,0.0043932796
1,0.007576406
1,0.0038776696
1,0.0049206614
1,0.0041790307
1,0.00729388
1,0.0037717223
1,0.0047746897
1,0.0040683746
1,0.007049024
1,0.003628105
1,0.004605174
1,0.0039059222
1,0.0068135858
1,0.003517449
1,0.0044662654
1,0.0037976205
1,0.006709993
1,0.0034209192
1,0.0042826235
1,0.0036422312
1,0.0063144565
1,0.003573954
1,0.004880637
1,0.004089564
1,0.007588178
1,0.0040236413
1,0.00467816
1,0.0043791533
1,0.0049583316
1,0.00471583
1,0.008412212
1,0.0042520165
1,0.0076588094
