Frequency,DateTime,Pmin,Pmax,PathLength,XStart,YStart,XEnd,YEnd,ID,Start_Concat,End_Concat,Time,PowerTLTMmax[dBm],PowerTLTMmin[dBm]
39.172,201106090815,-48.0,-48.0,4.2685,4.7555,52.44724,4.81687,52.43914,VCRy-sbeU,52.44724 4.7555,52.43914 4.81687,09/06/2011 08:15,5,3
39.172,201106090830,-48.0,-48.0,4.2685,4.7555,52.44724,4.81687,52.43914,VCRy-sbeU,52.44724 4.7555,52.43914 4.81687,09/06/2011 08:30,5,3
39.172,201106090845,-48.0,-48.0,4.2685,4.7555,52.44724,4.81687,52.43914,VCRy-sbeU,52.44724 4.7555,52.43914 4.81687,09/06/2011 08:45,5,3
39.172,201106090900,-48.0,-48.0,4.2685,4.7555,52.44724,4.81687,52.43914,VCRy-sbeU,52.44724 4.7555,52.43914 4.81687,09/06/2011 09:00,5,3
39.172,201106090915,-48.0,-48.0,4.2685,4.7555,52.44724,4.81687,52.43914,VCRy-sbeU,52.44724 4.7555,52.43914 4.81687,09/06/2011 09:15,5,3
39.172,201106090930,-48.0,-48.0,4.2685,4.7555,52.44724,4.81687,52.43914,VCRy-sbeU,52.44724 4.7555,52.43914 4.81687,09/06/2011 09:30,5,3
39.172,201106090945,-48.0,-48.0,4.2685,4.7555,52.44724,4.81687,52.43914,VCRy-sbeU,52.44724 4.7555,52.43914 4.81687,09/06/2011 09:45,5,3
39.172,201106091000,-48.0,-48.0,4.2685,4.7555,52.44724,4.81687,52.43914,VCRy-sbeU,52.44724 4.7555,52.43914 4.81687,09/06/2011 10:00,5,3
39.172,201106091015,-48.0,-48.0,4.2685,4.7555,52.44724,4.81687,52.43914,VCRy-sbeU,52.44724 4.7555,52.43914 4.81687,09/06/2011 10:15,5,3
39.172,201106091030,-48.0,-48.0,4.2685,4.7555,52.44724,4.81687,52.43914,VCRy-sbeU,52.44724 4.7555,52.43914 4.81687,09/06/2011 10:30,5,3
39.172,201106091045,-48.0,-48.0,4.2685,4.7555,52.44724,4.81687,52.43914,VCRy-sbeU,52.44724 4.7555,52.43914 4.81687,09/06/2011 10:45,5,3
