Frequency,DateTime,Pmin,Pmax,PathLength,XStart,YStart,XEnd,YEnd,ID,Start_Concat,End_Concat,Time,PowerTLTMmax[dBm],PowerTLTMmin[dBm]
39.172,201106090815,-53.0,-51.0,2.89575,5.04335,52.51464,5.0786,52.49999,VUDJ-ImjW,52.51464 5.04335,52.49999 5.0786,09/06/2011 08:15,5,3
39.172,201106090830,-52.0,-51.0,2.89575,5.04335,52.51464,5.0786,52.49999,VUDJ-ImjW,52.51464 5.04335,52.49999 5.0786,09/06/2011 08:30,5,3
39.172,201106090845,-52.0,-51.0,2.89575,5.04335,52.51464,5.0786,52.49999,VUDJ-ImjW,52.51464 5.04335,52.49999 5.0786,09/06/2011 08:45,5,3
39.172,201106090900,-52.0,-51.0,2.89575,5.04335,52.51464,5.0786,52.49999,VUDJ-ImjW,52.51464 5.04335,52.49999 5.0786,09/06/2011 09:00,5,3
39.172,201106090915,-52.0,-51.0,2.89575,5.04335,52.51464,5.0786,52.49999,VUDJ-ImjW,52.51464 5.04335,52.49999 5.0786,09/06/2011 09:15,5,3
39.172,201106090930,-52.0,-51.0,2.89575,5.04335,52.51464,5.0786,52.49999,VUDJ-ImjW,52.51464 5.04335,52.49999 5.0786,09/06/2011 09:30,5,3
39.172,201106090945,-52.0,-51.0,2.89575,5.04335,52.51464,5.0786,52.49999,VUDJ-ImjW,52.51464 5.04335,52.49999 5.0786,09/06/2011 09:45,5,3
39.172,201106091000,-52.0,-51.0,2.89575,5.04335,52.51464,5.0786,52.49999,VUDJ-ImjW,52.51464 5.04335,52.49999 5.0786,09/06/2011 10:00,5,3
39.172,201106091015,-52.0,-51.0,2.89575,5.04335,52.51464,5.0786,52.49999,VUDJ-ImjW,52.51464 5.04335,52.49999 5.0786,09/06/2011 10:15,5,3
39.172,201106091030,-52.0,-51.0,2.89575,5.04335,52.51464,5.0786,52.49999,VUDJ-ImjW,52.51464 5.04335,52.49999 5.0786,09/06/2011 10:30,5,3
39.172,201106091045,-52.0,-51.0,2.89575,5.04335,52.51464,5.0786,52.49999,VUDJ-ImjW,52.51464 5.04335,52.49999 5.0786,09/06/2011 10:45,5,3
