Frequency,DateTime,Pmin,Pmax,PathLength,XStart,YStart,XEnd,YEnd,ID,Start_Concat,End_Concat,Time,PowerTLTMmax[dBm],PowerTLTMmin[dBm]
39.347,201106090815,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 08:15,5,3
39.347,201106090830,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 08:30,5,3
39.347,201106090845,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 08:45,5,3
39.347,201106090900,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 09:00,5,3
39.347,201106090915,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 09:15,5,3
39.347,201106090930,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 09:30,5,3
39.347,201106090945,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 09:45,5,3
39.347,201106091000,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 10:00,5,3
39.347,201106091015,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 10:15,5,3
39.347,201106091045,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 10:45,5,3
39.347,201106091100,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 11:00,5,3
39.347,201106091115,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 11:15,5,3
39.347,201106091130,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 11:30,5,3
39.347,201106091145,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 11:45,5,3
39.347,201106091200,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 12:00,5,3
39.347,201106091215,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 12:15,5,3
39.347,201106091230,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 12:30,5,3
39.347,201106091245,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 12:45,5,3
39.347,201106091300,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 13:00,5,3
39.347,201106091315,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 13:15,5,3
39.347,201106091330,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 13:30,5,3
39.347,201106091345,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 13:45,5,3
39.347,201106091400,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 14:00,5,3
39.347,201106091415,-50.0,-50.0,1.14711,4.9612,52.50239,4.97624,52.50708,WbQT-MVOn,52.50239 4.9612,52.50708 4.97624,09/06/2011 14:15,5,3
