Frequency,DateTime,Pmin,Pmax,PathLength,XStart,YStart,XEnd,YEnd,ID,Start_Concat,End_Concat,Time,PowerTLTMmax[dBm],PowerTLTMmin[dBm]
39.337,201106090815,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 08:15,5,3
39.337,201106090830,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 08:30,5,3
39.337,201106090845,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 08:45,5,3
39.337,201106090900,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 09:00,5,3
39.337,201106090915,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 09:15,5,3
39.337,201106090930,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 09:30,5,3
39.337,201106090945,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 09:45,5,3
39.337,201106091000,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 10:00,5,3
39.337,201106091015,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 10:15,5,3
39.337,201106091030,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 10:30,5,3
39.337,201106091045,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 10:45,5,3
39.337,201106091100,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 11:00,5,3
39.337,201106091130,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 11:30,5,3
39.337,201106091145,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 11:45,5,3
39.337,201106091200,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 12:00,5,3
39.337,201106091215,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 12:15,5,3
39.337,201106091230,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 12:30,5,3
39.337,201106091245,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 12:45,5,3
39.337,201106091300,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 13:00,5,3
39.337,201106091315,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 13:15,5,3
39.337,201106091330,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 13:30,5,3
39.337,201106091345,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 13:45,5,3
39.337,201106091400,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 14:00,5,3
39.337,201106091415,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 14:15,5,3
39.337,201106091430,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 14:30,5,3
39.337,201106091445,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 14:45,5,3
39.337,201106091500,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 15:00,5,3
39.337,201106091515,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 15:15,5,3
39.337,201106091530,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 15:30,5,3
39.337,201106091545,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 15:45,5,3
39.337,201106091600,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 16:00,5,3
39.337,201106091630,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 16:30,5,3
39.337,201106091645,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 16:45,5,3
39.337,201106091700,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 17:00,5,3
39.337,201106091715,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 17:15,5,3
39.337,201106091730,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 17:30,5,3
39.337,201106091745,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 17:45,5,3
39.337,201106091800,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 18:00,5,3
39.337,201106091815,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 18:15,5,3
39.337,201106091830,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 18:30,5,3
39.337,201106091845,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 18:45,5,3
39.337,201106091915,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 19:15,5,3
39.337,201106091930,-41.0,-40.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 19:30,5,3
39.337,201106091945,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 19:45,5,3
39.337,201106092000,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 20:00,5,3
39.337,201106092015,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 20:15,5,3
39.337,201106092030,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 20:30,5,3
39.337,201106092045,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 20:45,5,3
39.337,201106092100,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 21:00,5,3
39.337,201106092115,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 21:15,5,3
39.337,201106092130,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 21:30,5,3
39.337,201106092145,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 21:45,5,3
39.337,201106092200,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 22:00,5,3
39.337,201106092215,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 22:15,5,3
39.337,201106092230,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 22:30,5,3
39.337,201106092245,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 22:45,5,3
39.337,201106092300,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 23:00,5,3
39.337,201106092315,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 23:15,5,3
39.337,201106092330,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 23:30,5,3
39.337,201106092345,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,09/06/2011 23:45,5,3
39.337,201106100000,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,10/06/2011 00:00,5,3
39.337,201106100015,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,10/06/2011 00:15,5,3
39.337,201106100030,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,10/06/2011 00:30,5,3
39.337,201106100045,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,10/06/2011 00:45,5,3
39.337,201106100100,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,10/06/2011 01:00,5,3
39.337,201106100115,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,10/06/2011 01:15,5,3
39.337,201106100130,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,10/06/2011 01:30,5,3
39.337,201106100145,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,10/06/2011 01:45,5,3
39.337,201106100200,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,10/06/2011 02:00,5,3
39.337,201106100215,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,10/06/2011 02:15,5,3
39.337,201106100230,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,10/06/2011 02:30,5,3
39.337,201106100300,-41.0,-41.0,2.79725,4.81929,52.42576,4.85128,52.44157,vINl-joOo,52.42576 4.81929,52.44157 4.85128,10/06/2011 03:00,5,3
