Frequency,DateTime,Pmin,Pmax,PathLength,XStart,YStart,XEnd,YEnd,ID,Start_Concat,End_Concat,Time,PowerTLTMmax[dBm],PowerTLTMmin[dBm]
39.172,201106090815,-49.0,-49.0,0.80471,4.76633,52.49794,4.76281,52.50484,xysw-RtZo,52.49794 4.76633,52.50484 4.76281,09/06/2011 08:15,5,3
39.172,201106090830,-49.0,-49.0,0.80471,4.76633,52.49794,4.76281,52.50484,xysw-RtZo,52.49794 4.76633,52.50484 4.76281,09/06/2011 08:30,5,3
39.172,201106090845,-49.0,-49.0,0.80471,4.76633,52.49794,4.76281,52.50484,xysw-RtZo,52.49794 4.76633,52.50484 4.76281,09/06/2011 08:45,5,3
39.172,201106090900,-49.0,-49.0,0.80471,4.76633,52.49794,4.76281,52.50484,xysw-RtZo,52.49794 4.76633,52.50484 4.76281,09/06/2011 09:00,5,3
39.172,201106090915,-49.0,-49.0,0.80471,4.76633,52.49794,4.76281,52.50484,xysw-RtZo,52.49794 4.76633,52.50484 4.76281,09/06/2011 09:15,5,3
39.172,201106090930,-49.0,-49.0,0.80471,4.76633,52.49794,4.76281,52.50484,xysw-RtZo,52.49794 4.76633,52.50484 4.76281,09/06/2011 09:30,5,3
39.172,201106090945,-49.0,-49.0,0.80471,4.76633,52.49794,4.76281,52.50484,xysw-RtZo,52.49794 4.76633,52.50484 4.76281,09/06/2011 09:45,5,3
39.172,201106091000,-49.0,-49.0,0.80471,4.76633,52.49794,4.76281,52.50484,xysw-RtZo,52.49794 4.76633,52.50484 4.76281,09/06/2011 10:00,5,3
39.172,201106091015,-49.0,-49.0,0.80471,4.76633,52.49794,4.76281,52.50484,xysw-RtZo,52.49794 4.76633,52.50484 4.76281,09/06/2011 10:15,5,3
39.172,201106091030,-49.0,-49.0,0.80471,4.76633,52.49794,4.76281,52.50484,xysw-RtZo,52.49794 4.76633,52.50484 4.76281,09/06/2011 10:30,5,3
39.172,201106091045,-49.0,-49.0,0.80471,4.76633,52.49794,4.76281,52.50484,xysw-RtZo,52.49794 4.76633,52.50484 4.76281,09/06/2011 10:45,5,3
39.172,201106091100,-49.0,-49.0,0.80471,4.76633,52.49794,4.76281,52.50484,xysw-RtZo,52.49794 4.76633,52.50484 4.76281,09/06/2011 11:00,5,3
39.172,201106091115,-49.0,-49.0,0.80471,4.76633,52.49794,4.76281,52.50484,xysw-RtZo,52.49794 4.76633,52.50484 4.76281,09/06/2011 11:15,5,3
39.172,201106091130,-49.0,-49.0,0.80471,4.76633,52.49794,4.76281,52.50484,xysw-RtZo,52.49794 4.76633,52.50484 4.76281,09/06/2011 11:30,5,3
39.172,201106091145,-49.0,-49.0,0.80471,4.76633,52.49794,4.76281,52.50484,xysw-RtZo,52.49794 4.76633,52.50484 4.76281,09/06/2011 11:45,5,3
39.172,201106091200,-49.0,-49.0,0.80471,4.76633,52.49794,4.76281,52.50484,xysw-RtZo,52.49794 4.76633,52.50484 4.76281,09/06/2011 12:00,5,3
39.172,201106091215,-49.0,-49.0,0.80471,4.76633,52.49794,4.76281,52.50484,xysw-RtZo,52.49794 4.76633,52.50484 4.76281,09/06/2011 12:15,5,3
39.172,201106091230,-49.0,-49.0,0.80471,4.76633,52.49794,4.76281,52.50484,xysw-RtZo,52.49794 4.76633,52.50484 4.76281,09/06/2011 12:30,5,3
39.172,201106091245,-49.0,-49.0,0.80471,4.76633,52.49794,4.76281,52.50484,xysw-RtZo,52.49794 4.76633,52.50484 4.76281,09/06/2011 12:45,5,3
39.172,201106091300,-49.0,-49.0,0.80471,4.76633,52.49794,4.76281,52.50484,xysw-RtZo,52.49794 4.76633,52.50484 4.76281,09/06/2011 13:00,5,3
39.172,201106091315,-49.0,-49.0,0.80471,4.76633,52.49794,4.76281,52.50484,xysw-RtZo,52.49794 4.76633,52.50484 4.76281,09/06/2011 13:15,5,3
