NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,RFInputPower,MeanRxLevel1m,IdLogNum,TID,FarEndTID,FailureDescription,rain
SOEMTN,7570,1/2.1/1,2019-01-01 00:00:00,15,Near End,820778_nizan<--beit-ezra.1,MLCN,-,-37.3,0.0,0,SLFT,82H4,-,0.0
SOEMTN,7499,1/3.1/1,2019-01-01 00:00:00,15,Near End,712415_ruhama.1,AMM 2PB,-,-45.4,0.0,0,VO2G,9AZG,-,0.0
SOEMTN,8104,1/2.1/1,2019-01-01 00:00:00,15,Near End,721609_patish<--orim.1,MINI-LINK CN510,-,-43.5,0.0,0,9W87,8543,-,0.0
SOEMTN,8104,1/2.1/1,2019-01-01 00:15:00,15,Near End,721609_patish<--orim.1,MINI-LINK CN510,-,-43.2,0.0,0,9W87,8543,-,0.0
SOEMTN,7570,1/2.1/1,2019-01-01 00:15:00,15,Near End,820778_nizan<--beit-ezra.1,MLCN,-,-37.3,0.0,0,SLFT,82H4,-,0.0
SOEMTN,7499,1/3.1/1,2019-01-01 00:15:00,15,Near End,712415_ruhama.1,AMM 2PB,-,-45.4,0.0,0,VO2G,9AZG,-,0.0
SOEMTN,7499,1/3.1/1,2019-01-01 00:30:00,15,Near End,712415_ruhama.1,AMM 2PB,-,-45.1,0.0,0,VO2G,9AZG,-,0.0
SOEMTN,7570,1/2.1/1,2019-01-01 00:30:00,15,Near End,820778_nizan<--beit-ezra.1,MLCN,-,-36.9,0.0,0,SLFT,82H4,-,0.0
SOEMTN,8104,1/2.1/1,2019-01-01 00:30:00,15,Near End,721609_patish<--orim.1,MINI-LINK CN510,-,-43.2,0.0,0,9W87,8543,-,0.0
SOEMTN,8104,1/2.1/1,2019-01-01 00:45:00,15,Near End,721609_patish<--orim.1,MINI-LINK CN510,-,-43.5,0.0,0,9W87,8543,-,0.0
SOEMTN,7499,1/3.1/1,2019-01-01 00:45:00,15,Near End,712415_ruhama.1,AMM 2PB,-,-44.8,0.0,0,VO2G,9AZG,-,0.0
SOEMTN,7570,1/2.1/1,2019-01-01 00:45:00,15,Near End,820778_nizan<--beit-ezra.1,MLCN,-,-36.9,0.0,0,SLFT,82H4,-,0.0
SOEMTN,8104,1/2.1/1,2019-01-01 01:00:00,15,Near End,721609_patish<--orim.1,MINI-LINK CN510,-,-43.2,0.0,0,9W87,8543,-,0.0
SOEMTN,7570,1/2.1/1,2019-01-01 01:00:00,15,Near End,820778_nizan<--beit-ezra.1,MLCN,-,-36.9,0.0,0,SLFT,82H4,-,0.0
SOEMTN,7499,1/3.1/1,2019-01-01 01:00:00,15,Near End,712415_ruhama.1,AMM 2PB,-,-45.1,0.0,0,VO2G,9AZG,-,0.0
SOEMTN,8104,1/2.1/1,2019-01-01 01:15:00,15,Near End,721609_patish<--orim.1,MINI-LINK CN510,-,-42.3,0.0,0,9W87,8543,-,0.0
SOEMTN,7570,1/2.1/1,2019-01-01 01:15:00,15,Near End,820778_nizan<--beit-ezra.1,MLCN,-,-36.9,0.0,0,SLFT,82H4,-,0.0
SOEMTN,7499,1/3.1/1,2019-01-01 01:15:00,15,Near End,712415_ruhama.1,AMM 2PB,-,-45.4,0.0,0,VO2G,9AZG,-,0.0
SOEMTN,7499,1/3.1/1,2019-01-01 01:30:00,15,Near End,712415_ruhama.1,AMM 2PB,-,-45.4,0.0,0,VO2G,9AZG,-,0.0
SOEMTN,8104,1/2.1/1,2019-01-01 01:30:00,15,Near End,721609_patish<--orim.1,MINI-LINK CN510,-,-42.6,0.0,0,9W87,8543,-,0.0
SOEMTN,7570,1/2.1/1,2019-01-01 01:30:00,15,Near End,820778_nizan<--beit-ezra.1,MLCN,-,-37.3,0.0,0,SLFT,82H4,-,0.0
SOEMTN,7499,1/3.1/1,2019-01-01 01:45:00,15,Near End,712415_ruhama.1,AMM 2PB,-,-45.7,0.0,0,VO2G,9AZG,-,0.0
SOEMTN,8104,1/2.1/1,2019-01-01 01:45:00,15,Near End,721609_patish<--orim.1,MINI-LINK CN510,-,-42.6,0.0,0,9W87,8543,-,0.0
SOEMTN,7570,1/2.1/1,2019-01-01 01:45:00,15,Near End,820778_nizan<--beit-ezra.1,MLCN,-,-37.3,0.0,0,SLFT,82H4,-,0.0
SOEMTN,7499,1/3.1/1,2019-01-01 02:00:00,15,Near End,712415_ruhama.1,AMM 2PB,-,-46.0,0.0,0,VO2G,9AZG,-,0.0
SOEMTN,8104,1/2.1/1,2019-01-01 02:00:00,15,Near End,721609_patish<--orim.1,MINI-LINK CN510,-,-42.6,0.0,0,9W87,8543,-,0.0
SOEMTN,7570,1/2.1/1,2019-01-01 02:00:00,15,Near End,820778_nizan<--beit-ezra.1,MLCN,-,-36.6,0.0,0,SLFT,82H4,-,0.0
SOEMTN,7499,1/3.1/1,2019-01-01 02:15:00,15,Near End,712415_ruhama.1,AMM 2PB,-,-45.4,0.0,0,VO2G,9AZG,-,0.0
SOEMTN,7570,1/2.1/1,2019-01-01 02:15:00,15,Near End,820778_nizan<--beit-ezra.1,MLCN,-,-36.9,0.0,0,SLFT,82H4,-,0.0
SOEMTN,8104,1/2.1/1,2019-01-01 02:15:00,15,Near End,721609_patish<--orim.1,MINI-LINK CN510,-,-42.6,0.0,0,9W87,8543,-,0.0
SOEMTN,8104,1/2.1/1,2019-01-01 02:30:00,15,Near End,721609_patish<--orim.1,MINI-LINK CN510,-,-42.9,0.0,0,9W87,8543,-,0.0
SOEMTN,7499,1/3.1/1,2019-01-01 02:30:00,15,Near End,712415_ruhama.1,AMM 2PB,-,-45.4,0.0,0,VO2G,9AZG,-,0.0
SOEMTN,7570,1/2.1/1,2019-01-01 02:30:00,15,Near End,820778_nizan<--beit-ezra.1,MLCN,-,-36.9,0.0,0,SLFT,82H4,-,0.0
SOEMTN,7570,1/2.1/1,2019-01-01 02:45:00,15,Near End,820778_nizan<--beit-ezra.1,MLCN,-,-36.6,0.0,0,SLFT,82H4,-,0.0
SOEMTN,8104,1/2.1/1,2019-01-01 02:45:00,15,Near End,721609_patish<--orim.1,MINI-LINK CN510,-,-43.2,0.0,0,9W87,8543,-,0.0
SOEMTN,7499,1/3.1/1,2019-01-01 02:45:00,15,Near End,712415_ruhama.1,AMM 2PB,-,-46.4,0.0,0,VO2G,9AZG,-,0.2538254180340666
SOEMTN,7570,1/2.1/1,2019-01-01 03:00:00,15,Near End,820778_nizan<--beit-ezra.1,MLCN,-,-36.6,0.0,0,SLFT,82H4,-,0.0
SOEMTN,8104,1/2.1/1,2019-01-01 03:00:00,15,Near End,721609_patish<--orim.1,MINI-LINK CN510,-,-43.2,0.0,0,9W87,8543,-,0.0
