NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,RFInputPower,MeanRxLevel1m,IdLogNum,TID,FarEndTID,FailureDescription,rain
SOEM-M,19976,1/7.1/1,2019-01-01 00:00:00,24,Near End,01457_10914.165,AMM 20PB,-,-47.3,0.0,0,f157,A694,-,5.883466234179391
SOEM-M,19976,1/7.1/1,2019-01-01 00:00:00,15,Near End,01457_10914.165,AMM 20PB,-,-46.7,0.0,0,f157,A694,-,2.281954767407271
SOEM-M,19976,1/7.1/1,2019-01-01 00:15:00,15,Near End,01457_10914.165,AMM 20PB,-,-46.7,0.0,0,f157,A694,-,2.281954767407271
SOEM-M,19976,1/7.1/1,2019-01-01 00:30:00,15,Near End,01457_10914.165,AMM 20PB,-,-46.7,0.0,0,f157,A694,-,2.281954767407271
SOEM-M,19976,1/7.1/1,2019-01-01 00:45:00,15,Near End,01457_10914.165,AMM 20PB,-,-46.7,0.0,0,f157,A694,-,2.281954767407271
SOEM-M,19976,1/7.1/1,2019-01-01 01:00:00,15,Near End,01457_10914.165,AMM 20PB,-,-47.0,0.0,0,f157,A694,-,4.14786860906928
SOEM-M,19976,1/7.1/1,2019-01-01 01:15:00,15,Near End,01457_10914.165,AMM 20PB,-,-47.0,0.0,0,f157,A694,-,4.14786860906928
SOEM-M,19976,1/7.1/1,2019-01-01 01:30:00,15,Near End,01457_10914.165,AMM 20PB,-,-46.7,0.0,0,f157,A694,-,2.281954767407271
SOEM-M,19976,1/7.1/1,2019-01-01 01:45:00,15,Near End,01457_10914.165,AMM 20PB,-,-47.0,0.0,0,f157,A694,-,4.14786860906928
SOEM-M,19976,1/7.1/1,2019-01-01 02:00:00,15,Near End,01457_10914.165,AMM 20PB,-,-47.0,0.0,0,f157,A694,-,4.14786860906928
SOEM-M,19976,1/7.1/1,2019-01-01 02:15:00,15,Near End,01457_10914.165,AMM 20PB,-,-47.0,0.0,0,f157,A694,-,4.14786860906928
SOEM-M,19976,1/7.1/1,2019-01-01 02:30:00,15,Near End,01457_10914.165,AMM 20PB,-,-47.3,0.0,0,f157,A694,-,5.883466234179391
SOEM-M,19976,1/7.1/1,2019-01-01 02:45:00,15,Near End,01457_10914.165,AMM 20PB,-,-47.3,0.0,0,f157,A694,-,5.883466234179391
SOEM-M,19976,1/7.1/1,2019-01-01 03:00:00,15,Near End,01457_10914.165,AMM 20PB,-,-47.0,0.0,0,f157,A694,-,4.14786860906928
SOEM-M,19976,1/7.1/1,2019-01-01 03:15:00,15,Near End,01457_10914.165,AMM 20PB,-,-47.3,0.0,0,f157,A694,-,5.883466234179391
SOEM-M,19976,1/7.1/1,2019-01-01 03:30:00,15,Near End,01457_10914.165,AMM 20PB,-,-47.0,0.0,0,f157,A694,-,4.14786860906928
SOEM-M,19976,1/7.1/1,2019-01-01 03:45:00,15,Near End,01457_10914.165,AMM 20PB,-,-46.7,0.0,0,f157,A694,-,2.281954767407271
SOEM-M,19976,1/7.1/1,2019-01-01 04:00:00,15,Near End,01457_10914.165,AMM 20PB,-,-46.7,0.0,0,f157,A694,-,2.281954767407271
SOEM-M,19976,1/7.1/1,2019-01-01 04:15:00,15,Near End,01457_10914.165,AMM 20PB,-,-46.7,0.0,0,f157,A694,-,2.281954767407271
SOEM-M,19976,1/7.1/1,2019-01-01 04:30:00,15,Near End,01457_10914.165,AMM 20PB,-,-46.4,0.0,0,f157,A694,-,0.0
SOEM-M,19976,1/7.1/1,2019-01-01 04:45:00,15,Near End,01457_10914.165,AMM 20PB,-,-46.4,0.0,0,f157,A694,-,0.0
SOEM-M,19976,1/7.1/1,2019-01-01 05:00:00,15,Near End,01457_10914.165,AMM 20PB,-,-45.7,0.0,0,f157,A694,-,0.0
