NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,RFInputPower,MeanRxLevel1m,IdLogNum,TID,FarEndTID,FailureDescription,rain
SOEM-M,16147,1/4.1/1,2019-01-01 00:00:00,24,Near End,00985_12078.120,AMM 20PB,-,-45.1,0.0,0,4B73,SF08,-,0.0
SOEM-M,16147,1/5.1/1,2019-01-01 00:00:00,24,Near End,00985_12078.120,AMM 20PB,-,-45.1,0.0,0,4B73,SF08,-,0.0
SOEM-M,16147,1/5.1/1,2019-01-01 00:00:00,15,Near End,00985_12078.120,AMM 20PB,-,-45.4,0.0,0,4B73,SF08,-,0.0
SOEM-M,16147,1/4.1/1,2019-01-01 00:00:00,15,Near End,00985_12078.120,AMM 20PB,-,-45.4,0.0,0,4B73,SF08,-,0.0
SOEM-M,16147,1/5.1/1,2019-01-01 00:15:00,15,Near End,00985_12078.120,AMM 20PB,-,-45.1,0.0,0,4B73,SF08,-,0.0
SOEM-M,16147,1/4.1/1,2019-01-01 00:15:00,15,Near End,00985_12078.120,AMM 20PB,-,-45.4,0.0,0,4B73,SF08,-,0.0
SOEM-M,16147,1/5.1/1,2019-01-01 00:30:00,15,Near End,00985_12078.120,AMM 20PB,-,-45.1,0.0,0,4B73,SF08,-,0.0
SOEM-M,16147,1/4.1/1,2019-01-01 00:30:00,15,Near End,00985_12078.120,AMM 20PB,-,-45.4,0.0,0,4B73,SF08,-,0.0
SOEM-M,16147,1/5.1/1,2019-01-01 00:45:00,15,Near End,00985_12078.120,AMM 20PB,-,-45.4,0.0,0,4B73,SF08,-,0.0
SOEM-M,16147,1/4.1/1,2019-01-01 00:45:00,15,Near End,00985_12078.120,AMM 20PB,-,-45.7,0.0,0,4B73,SF08,-,0.05086109478252429
SOEM-M,16147,1/4.1/1,2019-01-01 01:00:00,15,Near End,00985_12078.120,AMM 20PB,-,-45.1,0.0,0,4B73,SF08,-,0.0
SOEM-M,16147,1/5.1/1,2019-01-01 01:00:00,15,Near End,00985_12078.120,AMM 20PB,-,-45.1,0.0,0,4B73,SF08,-,0.0
SOEM-M,16147,1/4.1/1,2019-01-01 01:15:00,15,Near End,00985_12078.120,AMM 20PB,-,-45.1,0.0,0,4B73,SF08,-,0.0
SOEM-M,16147,1/5.1/1,2019-01-01 01:15:00,15,Near End,00985_12078.120,AMM 20PB,-,-45.1,0.0,0,4B73,SF08,-,0.0
SOEM-M,16147,1/4.1/1,2019-01-01 01:30:00,15,Near End,00985_12078.120,AMM 20PB,-,-45.1,0.0,0,4B73,SF08,-,0.0
SOEM-M,16147,1/5.1/1,2019-01-01 01:30:00,15,Near End,00985_12078.120,AMM 20PB,-,-45.1,0.0,0,4B73,SF08,-,0.0
SOEM-M,16147,1/5.1/1,2019-01-01 01:45:00,15,Near End,00985_12078.120,AMM 20PB,-,-45.1,0.0,0,4B73,SF08,-,0.0
SOEM-M,16147,1/4.1/1,2019-01-01 01:45:00,15,Near End,00985_12078.120,AMM 20PB,-,-45.1,0.0,0,4B73,SF08,-,0.0
SOEM-M,16147,1/5.1/1,2019-01-01 02:00:00,15,Near End,00985_12078.120,AMM 20PB,-,-45.1,0.0,0,4B73,SF08,-,0.0
