NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,RFInputPower,MeanRxLevel1m,IdLogNum,TID,FarEndTID,FailureDescription,rain
SOEM-M,15403,1/3.1/1,2019-01-01 00:00:00,24,Near End,01570_11905.1,AMM 6PC,-,-42.0,0.0,0,C177,D028,-,0.0
SOEM-M,15403,1/3.1/1,2019-01-01 00:00:00,15,Near End,01570_11905.1,AMM 6PC,-,-42.0,0.0,0,C177,D028,-,0.0
SOEM-M,15403,1/3.1/1,2019-01-01 00:15:00,15,Near End,01570_11905.1,AMM 6PC,-,-42.3,0.0,0,C177,D028,-,0.033968095016700256
SOEM-M,15403,1/3.1/1,2019-01-01 00:30:00,15,Near End,01570_11905.1,AMM 6PC,-,-42.0,0.0,0,C177,D028,-,0.0
SOEM-M,15403,1/3.1/1,2019-01-01 00:45:00,15,Near End,01570_11905.1,AMM 6PC,-,-42.0,0.0,0,C177,D028,-,0.0
SOEM-M,15403,1/3.1/1,2019-01-01 01:00:00,15,Near End,01570_11905.1,AMM 6PC,-,-42.0,0.0,0,C177,D028,-,0.0
SOEM-M,15403,1/3.1/1,2019-01-01 01:15:00,15,Near End,01570_11905.1,AMM 6PC,-,-42.0,0.0,0,C177,D028,-,0.0
SOEM-M,15403,1/3.1/1,2019-01-01 01:30:00,15,Near End,01570_11905.1,AMM 6PC,-,-42.0,0.0,0,C177,D028,-,0.0
SOEM-M,15403,1/3.1/1,2019-01-01 01:45:00,15,Near End,01570_11905.1,AMM 6PC,-,-42.0,0.0,0,C177,D028,-,0.0
SOEM-M,15403,1/3.1/1,2019-01-01 02:00:00,15,Near End,01570_11905.1,AMM 6PC,-,-42.0,0.0,0,C177,D028,-,0.0
SOEM-M,15403,1/3.1/1,2019-01-01 02:15:00,15,Near End,01570_11905.1,AMM 6PC,-,-42.0,0.0,0,C177,D028,-,0.0
SOEM-M,15403,1/3.1/1,2019-01-01 02:30:00,15,Near End,01570_11905.1,AMM 6PC,-,-42.0,0.0,0,C177,D028,-,0.0
SOEM-M,15403,1/3.1/1,2019-01-01 02:45:00,15,Near End,01570_11905.1,AMM 6PC,-,-42.0,0.0,0,C177,D028,-,0.0
SOEM-M,15403,1/3.1/1,2019-01-01 03:00:00,15,Near End,01570_11905.1,AMM 6PC,-,-42.0,0.0,0,C177,D028,-,0.0
SOEM-M,15403,1/3.1/1,2019-01-01 03:15:00,15,Near End,01570_11905.1,AMM 6PC,-,-42.0,0.0,0,C177,D028,-,0.0
