NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,RFInputPower,MeanRxLevel1m,IdLogNum,TID,FarEndTID,FailureDescription,rain
SOEM-M,12717,1/2.1/1,2019-01-01 00:00:00,24,Near End,21313_11083.587,AMM 2PB,-,-55.8,0.0,0,505A,5C50,-,0.10033613405087183
SOEM-M,12717,1/2.1/1,2019-01-01 00:00:00,15,Near End,21313_11083.587,AMM 2PB,-,-54.8,0.0,0,505A,5C50,-,0.0
SOEM-M,12717,1/2.1/1,2019-01-01 00:15:00,15,Near End,21313_11083.587,AMM 2PB,-,-54.8,0.0,0,505A,5C50,-,0.0
SOEM-M,12717,1/2.1/1,2019-01-01 00:30:00,15,Near End,21313_11083.587,AMM 2PB,-,-54.5,0.0,0,505A,5C50,-,0.0
SOEM-M,12717,1/2.1/1,2019-01-01 00:45:00,15,Near End,21313_11083.587,AMM 2PB,-,-54.5,0.0,0,505A,5C50,-,0.0
SOEM-M,12717,1/2.1/1,2019-01-01 01:00:00,15,Near End,21313_11083.587,AMM 2PB,-,-55.1,0.0,0,505A,5C50,-,0.031472057203776306
SOEM-M,12717,1/2.1/1,2019-01-01 01:15:00,15,Near End,21313_11083.587,AMM 2PB,-,-55.5,0.0,0,505A,5C50,-,0.07116833019312875
SOEM-M,12717,1/2.1/1,2019-01-01 01:30:00,15,Near End,21313_11083.587,AMM 2PB,-,-56.1,0.0,0,505A,5C50,-,0.1291768862695447
SOEM-M,12717,1/2.1/1,2019-01-01 01:45:00,15,Near End,21313_11083.587,AMM 2PB,-,-55.5,0.0,0,505A,5C50,-,0.07116833019312875
SOEM-M,12717,1/2.1/1,2019-01-01 02:00:00,15,Near End,21313_11083.587,AMM 2PB,-,-54.8,0.0,0,505A,5C50,-,0.0
SOEM-M,12717,1/2.1/1,2019-01-01 02:15:00,15,Near End,21313_11083.587,AMM 2PB,-,-54.5,0.0,0,505A,5C50,-,0.0
SOEM-M,12717,1/2.1/1,2019-01-01 02:30:00,15,Near End,21313_11083.587,AMM 2PB,-,-54.2,0.0,0,505A,5C50,-,0.0
SOEM-M,12717,1/2.1/1,2019-01-01 02:45:00,15,Near End,21313_11083.587,AMM 2PB,-,-54.8,0.0,0,505A,5C50,-,0.0
SOEM-M,12717,1/2.1/1,2019-01-01 03:00:00,15,Near End,21313_11083.587,AMM 2PB,-,-54.5,0.0,0,505A,5C50,-,0.0
SOEM-M,12717,1/2.1/1,2019-01-01 03:15:00,15,Near End,21313_11083.587,AMM 2PB,-,-54.8,0.0,0,505A,5C50,-,0.0
SOEM-M,12717,1/2.1/1,2019-01-01 03:30:00,15,Near End,21313_11083.587,AMM 2PB,-,-54.5,0.0,0,505A,5C50,-,0.0
SOEM-M,12717,1/2.1/1,2019-01-01 03:45:00,15,Near End,21313_11083.587,AMM 2PB,-,-54.8,0.0,0,505A,5C50,-,0.0
SOEM-M,12717,1/2.1/1,2019-01-01 04:00:00,15,Near End,21313_11083.587,AMM 2PB,-,-54.5,0.0,0,505A,5C50,-,0.0
SOEM-M,12717,1/2.1/1,2019-01-01 04:15:00,15,Near End,21313_11083.587,AMM 2PB,-,-54.5,0.0,0,505A,5C50,-,0.0
