NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,RFInputPower,MeanRxLevel1m,IdLogNum,TID,FarEndTID,FailureDescription,rain
SOEM-M,6910,1/8.1/1,2019-01-01 00:00:00,24,Near End,00306_10178.860,AMM 20PB,-,-42.9,0.0,0,D306,F299,-,0.16315052751049533
SOEM-M,6910,1/8.1/1,2019-01-01 00:00:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.6,0.0,0,D306,F299,-,0.08143402700272369
SOEM-M,6910,1/8.1/1,2019-01-01 00:15:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.6,0.0,0,D306,F299,-,0.08143402700272369
SOEM-M,6910,1/8.1/1,2019-01-01 00:30:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.0,0.0,0,D306,F299,-,0.0
SOEM-M,6910,1/8.1/1,2019-01-01 00:45:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.6,0.0,0,D306,F299,-,0.08143402700272369
SOEM-M,6910,1/8.1/1,2019-01-01 01:00:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.3,0.0,0,D306,F299,-,0.0
SOEM-M,6910,1/8.1/1,2019-01-01 01:15:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.3,0.0,0,D306,F299,-,0.0
SOEM-M,6910,1/8.1/1,2019-01-01 01:30:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.9,0.0,0,D306,F299,-,0.16315052751049533
SOEM-M,6910,1/8.1/1,2019-01-01 01:45:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.0,0.0,0,D306,F299,-,0.0
SOEM-M,6910,1/8.1/1,2019-01-01 02:00:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.3,0.0,0,D306,F299,-,0.0
SOEM-M,6910,1/8.1/1,2019-01-01 02:15:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.3,0.0,0,D306,F299,-,0.0
SOEM-M,6910,1/8.1/1,2019-01-01 02:30:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.3,0.0,0,D306,F299,-,0.0
SOEM-M,6910,1/8.1/1,2019-01-01 02:45:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.6,0.0,0,D306,F299,-,0.08143402700272369
SOEM-M,6910,1/8.1/1,2019-01-01 03:00:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.0,0.0,0,D306,F299,-,0.0
SOEM-M,6910,1/8.1/1,2019-01-01 03:15:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.3,0.0,0,D306,F299,-,0.0
SOEM-M,6910,1/8.1/1,2019-01-01 03:30:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.6,0.0,0,D306,F299,-,0.08143402700272369
SOEM-M,6910,1/8.1/1,2019-01-01 03:45:00,15,Near End,00306_10178.860,AMM 20PB,-,-43.5,0.0,0,D306,F299,-,0.3268669818583689
SOEM-M,6910,1/8.1/1,2019-01-01 04:00:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.9,0.0,0,D306,F299,-,0.16315052751049533
SOEM-M,6910,1/8.1/1,2019-01-01 04:15:00,15,Near End,00306_10178.860,AMM 20PB,-,-43.5,0.0,0,D306,F299,-,0.3268669818583689
SOEM-M,6910,1/8.1/1,2019-01-01 04:30:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.6,0.0,0,D306,F299,-,0.08143402700272369
SOEM-M,6910,1/8.1/1,2019-01-01 04:45:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.9,0.0,0,D306,F299,-,0.16315052751049533
SOEM-M,6910,1/8.1/1,2019-01-01 05:00:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.3,0.0,0,D306,F299,-,0.0
SOEM-M,6910,1/8.1/1,2019-01-01 05:15:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.9,0.0,0,D306,F299,-,0.16315052751049533
SOEM-M,6910,1/8.1/1,2019-01-01 05:30:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.9,0.0,0,D306,F299,-,0.16315052751049533
SOEM-M,6910,1/8.1/1,2019-01-01 05:45:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.0,0.0,0,D306,F299,-,0.0
SOEM-M,6910,1/8.1/1,2019-01-01 06:00:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.6,0.0,0,D306,F299,-,0.08143402700272369
SOEM-M,6910,1/8.1/1,2019-01-01 06:15:00,15,Near End,00306_10178.860,AMM 20PB,-,-42.9,0.0,0,D306,F299,-,0.16315052751049533
