datetime,channels
2019-01-01T00:00:00+02:00,"[{'id': 1, 'name': 'Rain', 'alias': None, 'value': 0.0, 'status': 1, 'valid': True, 'description': None}, {'id': 2, 'name': 'WSmax', 'alias': None, 'value': 7.1, 'status': 1, 'valid': True, 'description': None}, {'id': 3, 'name': 'WDmax', 'alias': None, 'value': 75.0, 'status': 1, 'valid': True, 'description': None}, {'id': 4, 'name': 'WS', 'alias': None, 'value': 4.3, 'status': 1, 'valid': True, 'description': None}, {'id': 5, 'name': 'WD', 'alias': None, 'value': 71.0, 'status': 1, 'valid': True, 'description': None}, {'id': 6, 'name': 'STDwd', 'alias': None, 'value': 10.8, 'status': 1, 'valid': True, 'description': None}, {'id': 7, 'name': 'RH', 'alias': None, 'value': 92.0, 'status': 1, 'valid': True, 'description': None}, {'id': 8, 'name': 'TD', 'alias': None, 'value': 10.9, 'status': 1, 'valid': True, 'description': None}, {'id': 10, 'name': 'TDmax', 'alias': None, 'value': 10.9, 'status': 1, 'valid': True, 'description': None}, {'id': 11, 'name': 'TDmin', 'alias': None, 'value': 10.9, 'status': 1, 'valid': True, 'description': None}, {'id': 13, 'name': 'WS1mm', 'alias': None, 'value': 5.1, 'status': 1, 'valid': True, 'description': None}, {'id': 14, 'name': 'Ws10mm', 'alias': None, 'value': 4.4, 'status': 1, 'valid': True, 'description': None}, {'id': 15, 'name': 'Time', 'alias': None, 'value': 2359.0, 'status': 1, 'valid': True, 'description': None}]"
2019-01-01T00:10:00+02:00,"[{'id': 1, 'name': 'Rain', 'alias': None, 'value': 0.0, 'status': 1, 'valid': True, 'description': None}, {'id': 2, 'name': 'WSmax', 'alias': None, 'value': 5.9, 'status': 1, 'valid': True, 'description': None}, {'id': 3, 'name': 'WDmax', 'alias': None, 'value': 80.0, 'status': 1, 'valid': True, 'description': None}, {'id': 4, 'name': 'WS', 'alias': None, 'value': 4.0, 'status': 1, 'valid': True, 'description': None}, {'id': 5, 'name': 'WD', 'alias': None, 'value': 74.0, 'status': 1, 'valid': True, 'description': None}, {'id': 6, 'name': 'STDwd', 'alias': None, 'value': 10.3, 'status': 1, 'valid': True, 'description': None}, {'id': 7, 'name': 'RH', 'alias': None, 'value': 92.0, 'status': 1, 'valid': True, 'description': None}, {'id': 8, 'name': 'TD', 'alias': None, 'value': 10.8, 'status': 1, 'valid': True, 'description': None}, {'id': 10, 'name': 'TDmax', 'alias': None, 'value': 10.9, 'status': 1, 'valid': True, 'description': None}, {'id': 11, 'name': 'TDmin', 'alias': None, 'value': 10.8, 'status': 1, 'valid': True, 'description': None}, {'id': 13, 'name': 'WS1mm', 'alias': None, 'value': 4.4, 'status': 1, 'valid': True, 'description': None}, {'id': 14, 'name': 'Ws10mm', 'alias': None, 'value': 4.3, 'status': 1, 'valid': True, 'description': None}, {'id': 15, 'name': 'Time', 'alias': None, 'value': 2.0, 'status': 1, 'valid': True, 'description': None}]"
2019-01-01T00:20:00+02:00,"[{'id': 1, 'name': 'Rain', 'alias': None, 'value': 0.0, 'status': 1, 'valid': True, 'description': None}, {'id': 2, 'name': 'WSmax', 'alias': None, 'value': 7.2, 'status': 1, 'valid': True, 'description': None}, {'id': 3, 'name': 'WDmax', 'alias': None, 'value': 89.0, 'status': 1, 'valid': True, 'description': None}, {'id': 4, 'name': 'WS', 'alias': None, 'value': 4.6, 'status': 1, 'valid': True, 'description': None}, {'id': 5, 'name': 'WD', 'alias': None, 'value': 80.0, 'status': 1, 'valid': True, 'description': None}, {'id': 6, 'name': 'STDwd', 'alias': None, 'value': 10.7, 'status': 1, 'valid': True, 'description': None}, {'id': 7, 'name': 'RH', 'alias': None, 'value': 92.0, 'status': 1, 'valid': True, 'description': None}, {'id': 8, 'name': 'TD', 'alias': None, 'value': 10.8, 'status': 1, 'valid': True, 'description': None}, {'id': 10, 'name': 'TDmax', 'alias': None, 'value': 10.8, 'status': 1, 'valid': True, 'description': None}, {'id': 11, 'name': 'TDmin', 'alias': None, 'value': 10.7, 'status': 1, 'valid': True, 'description': None}, {'id': 13, 'name': 'WS1mm', 'alias': None, 'value': 5.4, 'status': 1, 'valid': True, 'description': None}, {'id': 14, 'name': 'Ws10mm', 'alias': None, 'value': 4.6, 'status': 1, 'valid': True, 'description': None}, {'id': 15, 'name': 'Time', 'alias': None, 'value': 20.0, 'status': 1, 'valid': True, 'description': None}]"
2019-01-01T00:30:00+02:00,"[{'id': 1, 'name': 'Rain', 'alias': None, 'value': 0.0, 'status': 1, 'valid': True, 'description': None}, {'id': 2, 'name': 'WSmax', 'alias': None, 'value': 7.1, 'status': 1, 'valid': True, 'description': None}, {'id': 3, 'name': 'WDmax', 'alias': None, 'value': 78.0, 'status': 1, 'valid': True, 'description': None}, {'id': 4, 'name': 'WS', 'alias': None, 'value': 4.8, 'status': 1, 'valid': True, 'description': None}, {'id': 5, 'name': 'WD', 'alias': None, 'value': 80.0, 'status': 1, 'valid': True, 'description': None}, {'id': 6, 'name': 'STDwd', 'alias': None, 'value': 10.4, 'status': 1, 'valid': True, 'description': None}, {'id': 7, 'name': 'RH', 'alias': None, 'value': 92.0, 'status': 1, 'valid': True, 'description': None}, {'id': 8, 'name': 'TD', 'alias': None, 'value': 10.8, 'status': 1, 'valid': True, 'description': None}, {'id': 10, 'name': 'TDmax', 'alias': None, 'value': 10.8, 'status': 1, 'valid': True, 'description': None}, {'id': 11, 'name': 'TDmin', 'alias': None, 'value': 10.7, 'status': 1, 'valid': True, 'description': None}, {'id': 13, 'name': 'WS1mm', 'alias': None, 'value': 5.7, 'status': 1, 'valid': True, 'description': None}, {'id': 14, 'name': 'Ws10mm', 'alias': None, 'value': 4.8, 'status': 1, 'valid': True, 'description': None}, {'id': 15, 'name': 'Time', 'alias': None, 'value': 30.0, 'status': 1, 'valid': True, 'description': None}]"
2019-01-01T00:40:00+02:00,"[{'id': 1, 'name': 'Rain', 'alias': None, 'value': 0.0, 'status': 1, 'valid': True, 'description': None}, {'id': 2, 'name': 'WSmax', 'alias': None, 'value': 6.7, 'status': 1, 'valid': True, 'description': None}, {'id': 3, 'name': 'WDmax', 'alias': None, 'value': 87.0, 'status': 1, 'valid': True, 'description': None}, {'id': 4, 'name': 'WS', 'alias': None, 'value': 4.6, 'status': 1, 'valid': True, 'description': None}, {'id': 5, 'name': 'WD', 'alias': None, 'value': 81.0, 'status': 1, 'valid': True, 'description': None}, {'id': 6, 'name': 'STDwd', 'alias': None, 'value': 10.4, 'status': 1, 'valid': True, 'description': None}, {'id': 7, 'name': 'RH', 'alias': None, 'value': 91.0, 'status': 1, 'valid': True, 'description': None}, {'id': 8, 'name': 'TD', 'alias': None, 'value': 10.8, 'status': 1, 'valid': True, 'description': None}, {'id': 10, 'name': 'TDmax', 'alias': None, 'value': 10.9, 'status': 1, 'valid': True, 'description': None}, {'id': 11, 'name': 'TDmin', 'alias': None, 'value': 10.8, 'status': 1, 'valid': True, 'description': None}, {'id': 13, 'name': 'WS1mm', 'alias': None, 'value': 5.2, 'status': 1, 'valid': True, 'description': None}, {'id': 14, 'name': 'Ws10mm', 'alias': None, 'value': 4.8, 'status': 1, 'valid': True, 'description': None}, {'id': 15, 'name': 'Time', 'alias': None, 'value': 33.0, 'status': 1, 'valid': True, 'description': None}]"
2019-01-01T00:50:00+02:00,"[{'id': 1, 'name': 'Rain', 'alias': None, 'value': 0.0, 'status': 1, 'valid': True, 'description': None}, {'id': 2, 'name': 'WSmax', 'alias': None, 'value': 7.9, 'status': 1, 'valid': True, 'description': None}, {'id': 3, 'name': 'WDmax', 'alias': None, 'value': 87.0, 'status': 1, 'valid': True, 'description': None}, {'id': 4, 'name': 'WS', 'alias': None, 'value': 4.5, 'status': 1, 'valid': True, 'description': None}, {'id': 5, 'name': 'WD', 'alias': None, 'value': 82.0, 'status': 1, 'valid': True, 'description': None}, {'id': 6, 'name': 'STDwd', 'alias': None, 'value': 10.1, 'status': 1, 'valid': True, 'description': None}, {'id': 7, 'name': 'RH', 'alias': None, 'value': 90.0, 'status': 1, 'valid': True, 'description': None}, {'id': 8, 'name': 'TD', 'alias': None, 'value': 10.8, 'status': 1, 'valid': True, 'description': None}, {'id': 10, 'name': 'TDmax', 'alias': None, 'value': 10.9, 'status': 1, 'valid': True, 'description': None}, {'id': 11, 'name': 'TDmin', 'alias': None, 'value': 10.8, 'status': 1, 'valid': True, 'description': None}, {'id': 13, 'name': 'WS1mm', 'alias': None, 'value': 5.0, 'status': 1, 'valid': True, 'description': None}, {'id': 14, 'name': 'Ws10mm', 'alias': None, 'value': 4.7, 'status': 1, 'valid': True, 'description': None}, {'id': 15, 'name': 'Time', 'alias': None, 'value': 44.0, 'status': 1, 'valid': True, 'description': None}]"
2019-01-01T01:00:00+02:00,"[{'id': 1, 'name': 'Rain', 'alias': None, 'value': 0.0, 'status': 1, 'valid': True, 'description': None}, {'id': 2, 'name': 'WSmax', 'alias': None, 'value': 6.7, 'status': 1, 'valid': True, 'description': None}, {'id': 3, 'name': 'WDmax', 'alias': None, 'value': 78.0, 'status': 1, 'valid': True, 'description': None}, {'id': 4, 'name': 'WS', 'alias': None, 'value': 4.5, 'status': 1, 'valid': True, 'description': None}, {'id': 5, 'name': 'WD', 'alias': None, 'value': 81.0, 'status': 1, 'valid': True, 'description': None}, {'id': 6, 'name': 'STDwd', 'alias': None, 'value': 10.1, 'status': 1, 'valid': True, 'description': None}, {'id': 7, 'name': 'RH', 'alias': None, 'value': 89.0, 'status': 1, 'valid': True, 'description': None}, {'id': 8, 'name': 'TD', 'alias': None, 'value': 10.8, 'status': 1, 'valid': True, 'description': None}, {'id': 10, 'name': 'TDmax', 'alias': None, 'value': 10.9, 'status': 1, 'valid': True, 'description': None}, {'id': 11, 'name': 'TDmin', 'alias': None, 'value': 10.8, 'status': 1, 'valid': True, 'description': None}, {'id': 13, 'name': 'WS1mm', 'alias': None, 'value': 5.3, 'status': 1, 'valid': True, 'description': None}, {'id': 14, 'name': 'Ws10mm', 'alias': None, 'value': 4.5, 'status': 1, 'valid': True, 'description': None}, {'id': 15, 'name': 'Time', 'alias': None, 'value': 52.0, 'status': 1, 'valid': True, 'description': None}]"
2019-01-01T01:10:00+02:00,"[{'id': 1, 'name': 'Rain', 'alias': None, 'value': 0.0, 'status': 1, 'valid': True, 'description': None}, {'id': 2, 'name': 'WSmax', 'alias': None, 'value': 7.6, 'status': 1, 'valid': True, 'description': None}, {'id': 3, 'name': 'WDmax', 'alias': None, 'value': 91.0, 'status': 1, 'valid': True, 'description': None}, {'id': 4, 'name': 'WS', 'alias': None, 'value': 4.7, 'status': 1, 'valid': True, 'description': None}, {'id': 5, 'name': 'WD', 'alias': None, 'value': 88.0, 'status': 1, 'valid': True, 'description': None}, {'id': 6, 'name': 'STDwd', 'alias': None, 'value': 13.1, 'status': 1, 'valid': True, 'description': None}, {'id': 7, 'name': 'RH', 'alias': None, 'value': 88.0, 'status': 1, 'valid': True, 'description': None}, {'id': 8, 'name': 'TD', 'alias': None, 'value': 10.9, 'status': 1, 'valid': True, 'description': None}, {'id': 10, 'name': 'TDmax', 'alias': None, 'value': 11.1, 'status': 1, 'valid': True, 'description': None}, {'id': 11, 'name': 'TDmin', 'alias': None, 'value': 10.8, 'status': 1, 'valid': True, 'description': None}, {'id': 13, 'name': 'WS1mm', 'alias': None, 'value': 5.7, 'status': 1, 'valid': True, 'description': None}, {'id': 14, 'name': 'Ws10mm', 'alias': None, 'value': 4.7, 'status': 1, 'valid': True, 'description': None}, {'id': 15, 'name': 'Time', 'alias': None, 'value': 110.0, 'status': 1, 'valid': True, 'description': None}]"
2019-01-01T01:20:00+02:00,"[{'id': 1, 'name': 'Rain', 'alias': None, 'value': 0.0, 'status': 1, 'valid': True, 'description': None}, {'id': 2, 'name': 'WSmax', 'alias': None, 'value': 8.3, 'status': 1, 'valid': True, 'description': None}, {'id': 3, 'name': 'WDmax', 'alias': None, 'value': 87.0, 'status': 1, 'valid': True, 'description': None}, {'id': 4, 'name': 'WS', 'alias': None, 'value': 5.2, 'status': 1, 'valid': True, 'description': None}, {'id': 5, 'name': 'WD', 'alias': None, 'value': 87.0, 'status': 1, 'valid': True, 'description': None}, {'id': 6, 'name': 'STDwd', 'alias': None, 'value': 12.0, 'status': 1, 'valid': True, 'description': None}, {'id': 7, 'name': 'RH', 'alias': None, 'value': 85.0, 'status': 1, 'valid': True, 'description': None}, {'id': 8, 'name': 'TD', 'alias': None, 'value': 11.2, 'status': 1, 'valid': True, 'description': None}, {'id': 10, 'name': 'TDmax', 'alias': None, 'value': 11.3, 'status': 1, 'valid': True, 'description': None}, {'id': 11, 'name': 'TDmin', 'alias': None, 'value': 11.1, 'status': 1, 'valid': True, 'description': None}, {'id': 13, 'name': 'WS1mm', 'alias': None, 'value': 6.9, 'status': 1, 'valid': True, 'description': None}, {'id': 14, 'name': 'Ws10mm', 'alias': None, 'value': 5.2, 'status': 1, 'valid': True, 'description': None}, {'id': 15, 'name': 'Time', 'alias': None, 'value': 120.0, 'status': 1, 'valid': True, 'description': None}]"
2019-01-01T01:30:00+02:00,"[{'id': 1, 'name': 'Rain', 'alias': None, 'value': 0.0, 'status': 1, 'valid': True, 'description': None}, {'id': 2, 'name': 'WSmax', 'alias': None, 'value': 8.2, 'status': 1, 'valid': True, 'description': None}, {'id': 3, 'name': 'WDmax', 'alias': None, 'value': 92.0, 'status': 1, 'valid': True, 'description': None}, {'id': 4, 'name': 'WS', 'alias': None, 'value': 5.3, 'status': 1, 'valid': True, 'description': None}, {'id': 5, 'name': 'WD', 'alias': None, 'value': 89.0, 'status': 1, 'valid': True, 'description': None}, {'id': 6, 'name': 'STDwd', 'alias': None, 'value': 12.8, 'status': 1, 'valid': True, 'description': None}, {'id': 7, 'name': 'RH', 'alias': None, 'value': 84.0, 'status': 1, 'valid': True, 'description': None}, {'id': 8, 'name': 'TD', 'alias': None, 'value': 11.3, 'status': 1, 'valid': True, 'description': None}, {'id': 10, 'name': 'TDmax', 'alias': None, 'value': 11.4, 'status': 1, 'valid': True, 'description': None}, {'id': 11, 'name': 'TDmin', 'alias': None, 'value': 11.3, 'status': 1, 'valid': True, 'description': None}, {'id': 13, 'name': 'WS1mm', 'alias': None, 'value': 6.1, 'status': 1, 'valid': True, 'description': None}, {'id': 14, 'name': 'Ws10mm', 'alias': None, 'value': 5.5, 'status': 1, 'valid': True, 'description': None}, {'id': 15, 'name': 'Time', 'alias': None, 'value': 126.0, 'status': 1, 'valid': True, 'description': None}]"
