STN,YYYYMMDD,H,RH
209,20110609,1, 
209,20110609,2, 
209,20110609,3, 
209,20110609,4, 
209,20110609,5, 
209,20110609,6, 
209,20110609,7, 
209,20110609,8, 
209,20110609,9, 
209,20110609,10, 
209,20110609,11, 
209,20110609,12, 
209,20110609,13, 
209,20110609,14, 
209,20110609,15, 
209,20110609,16, 
209,20110609,17, 
209,20110609,18, 
209,20110609,19, 
209,20110609,20, 
209,20110609,21, 
209,20110609,22, 
209,20110609,23, 
209,20110609,24, 
209,20110610,1, 
209,20110610,2, 
209,20110610,3, 
209,20110610,4, 
209,20110610,5, 
209,20110610,6, 
209,20110610,7, 
209,20110610,8, 
209,20110610,9, 
209,20110610,10, 
209,20110610,11, 
209,20110610,12, 
209,20110610,13, 
209,20110610,14, 
209,20110610,15, 
209,20110610,16, 
209,20110610,17, 
209,20110610,18, 
209,20110610,19, 
209,20110610,20, 
209,20110610,21, 
209,20110610,22, 
209,20110610,23, 
209,20110610,24, 
209,20110611,1, 
209,20110611,2, 
209,20110611,3, 
209,20110611,4, 
209,20110611,5, 
209,20110611,6, 
209,20110611,7, 
209,20110611,8, 
209,20110611,9, 
209,20110611,10, 
209,20110611,11, 
209,20110611,12, 
209,20110611,13, 
209,20110611,14, 
209,20110611,15, 
209,20110611,16, 
209,20110611,17, 
209,20110611,18, 
209,20110611,19, 
209,20110611,20, 
209,20110611,21, 
209,20110611,22, 
209,20110611,23, 
209,20110611,24, 
209,20110612,1, 
209,20110612,2, 
209,20110612,3, 
209,20110612,4, 
209,20110612,5, 
209,20110612,6, 
209,20110612,7, 
209,20110612,8, 
209,20110612,9, 
209,20110612,10, 
209,20110612,11, 
209,20110612,12, 
209,20110612,13, 
209,20110612,14, 
209,20110612,15, 
209,20110612,16, 
209,20110612,17, 
209,20110612,18, 
209,20110612,19, 
209,20110612,20, 
209,20110612,21, 
209,20110612,22, 
209,20110612,23, 
209,20110612,24, 
209,20110613,1, 
209,20110613,2, 
209,20110613,3, 
209,20110613,4, 
209,20110613,5, 
209,20110613,6, 
209,20110613,7, 
209,20110613,8, 
209,20110613,9, 
