,STN,YYYYMMDD,H,RH
1584,210,20110609,1,0
1585,210,20110609,2,0
1586,210,20110609,3,0
1587,210,20110609,4,0
1588,210,20110609,5,0
1589,210,20110609,6,0
1590,210,20110609,7,0
1591,210,20110609,8,0
1592,210,20110609,9,0
1593,210,20110609,10,0
1594,210,20110609,11,0
1595,210,20110609,12,0
1596,210,20110609,13,0
1597,210,20110609,14,0
1598,210,20110609,15,0
1599,210,20110609,16,0
1600,210,20110609,17,0
1601,210,20110609,18,0
1602,210,20110609,19,0
1603,210,20110609,20,0
1604,210,20110609,21,0
1605,210,20110609,22,0
1606,210,20110609,23,0
1607,210,20110609,24,0
1608,210,20110610,1,0
1609,210,20110610,2,0
1610,210,20110610,3,0
1611,210,20110610,4,0
1612,210,20110610,5,0
1613,210,20110610,6,0
1614,210,20110610,7,0
1615,210,20110610,8,0
1616,210,20110610,9,0
1617,210,20110610,10,0
1618,210,20110610,11,0
1619,210,20110610,12,0
1620,210,20110610,13,2
1621,210,20110610,14,5
1622,210,20110610,15,0
1623,210,20110610,16,8
1624,210,20110610,17,53
1625,210,20110610,18,7
1626,210,20110610,19,21
1627,210,20110610,20,25
1628,210,20110610,21,3
1630,210,20110610,23,0
1631,210,20110610,24,0
1633,210,20110611,2,1
1634,210,20110611,3,0
1635,210,20110611,4,0
1636,210,20110611,5,0
1637,210,20110611,6,3
1638,210,20110611,7,3
1640,210,20110611,9,0
1641,210,20110611,10,5
1642,210,20110611,11,5
1643,210,20110611,12,10
1645,210,20110611,14,0
1646,210,20110611,15,0
1647,210,20110611,16,0
1648,210,20110611,17,0
1649,210,20110611,18,0
1650,210,20110611,19,0
1651,210,20110611,20,0
1652,210,20110611,21,0
1653,210,20110611,22,0
1654,210,20110611,23,0
1655,210,20110611,24,0
1656,210,20110612,1,0
1657,210,20110612,2,0
1658,210,20110612,3,0
1659,210,20110612,4,0
1660,210,20110612,5,0
1661,210,20110612,6,0
1662,210,20110612,7,0
1663,210,20110612,8,0
1664,210,20110612,9,0
1665,210,20110612,10,0
1666,210,20110612,11,0
1667,210,20110612,12,0
1668,210,20110612,13,0
1669,210,20110612,14,0
1670,210,20110612,15,0
1671,210,20110612,16,0
1672,210,20110612,17,0
1673,210,20110612,18,0
1676,210,20110612,21,0
1679,210,20110612,24,0
1682,210,20110613,3,1
1683,210,20110613,4,13
1684,210,20110613,5,5
1686,210,20110613,7,0
1687,210,20110613,8,0
1688,210,20110613,9,2
1689,210,20110613,10,0
1690,210,20110613,11,0
1691,210,20110613,12,1
1692,210,20110613,13,3
1693,210,20110613,14,0
1694,210,20110613,15,0
1695,210,20110613,16,0
1696,210,20110613,17,0
1697,210,20110613,18,0
1698,210,20110613,19,0
1699,210,20110613,20,0
1700,210,20110613,21,0
1701,210,20110613,22,0
1702,210,20110613,23,0
1703,210,20110613,24,0
1704,210,20110614,1,0
1705,210,20110614,2,0
1706,210,20110614,3,0
1707,210,20110614,4,0
1708,210,20110614,5,0
1709,210,20110614,6,0
1710,210,20110614,7,0
1711,210,20110614,8,0
1712,210,20110614,9,0
1713,210,20110614,10,0
1714,210,20110614,11,0
1715,210,20110614,12,0
1716,210,20110614,13,0
1717,210,20110614,14,0
1718,210,20110614,15,0
1719,210,20110614,16,0
1720,210,20110614,17,0
1721,210,20110614,18,0
1722,210,20110614,19,0
1723,210,20110614,20,0
1724,210,20110614,21,0
1725,210,20110614,22,0
1726,210,20110614,23,0
1727,210,20110614,24,0
1728,210,20110615,1,0
1729,210,20110615,2,0
1730,210,20110615,3,0
1731,210,20110615,4,0
1732,210,20110615,5,0
1733,210,20110615,6,0
1734,210,20110615,7,0
1735,210,20110615,8,3
1736,210,20110615,9,30
1737,210,20110615,10,5
1738,210,20110615,11,0
1739,210,20110615,12,0
1740,210,20110615,13,0
1741,210,20110615,14,0
1742,210,20110615,15,0
1743,210,20110615,16,0
1744,210,20110615,17,0
1745,210,20110615,18,0
1746,210,20110615,19,0
1747,210,20110615,20,0
1748,210,20110615,21,0
1749,210,20110615,22,0
1750,210,20110615,23,0
1751,210,20110615,24,0
1752,210,20110616,1,0
1753,210,20110616,2,0
1754,210,20110616,3,6
1755,210,20110616,4,58
1756,210,20110616,5,26
1757,210,20110616,6,74
1758,210,20110616,7,23
1759,210,20110616,8,3
1760,210,20110616,9,32
1761,210,20110616,10,4
1764,210,20110616,13,0
1765,210,20110616,14,0
1766,210,20110616,15,0
1767,210,20110616,16,0
1768,210,20110616,17,0
1770,210,20110616,19,2
1771,210,20110616,20,0
1772,210,20110616,21,0
1773,210,20110616,22,0
1774,210,20110616,23,0
1775,210,20110616,24,0
1776,210,20110617,1,0
1777,210,20110617,2,0
1778,210,20110617,3,0
1779,210,20110617,4,0
1780,210,20110617,5,0
1781,210,20110617,6,0
1782,210,20110617,7,0
1783,210,20110617,8,0
1784,210,20110617,9,0
1785,210,20110617,10,0
1786,210,20110617,11,0
1787,210,20110617,12,0
1788,210,20110617,13,0
1789,210,20110617,14,0
1791,210,20110617,16,16
1792,210,20110617,17,5
1794,210,20110617,19,0
1796,210,20110617,21,0
1797,210,20110617,22,1
1798,210,20110617,23,1
1799,210,20110617,24,5
1800,210,20110618,1,6
1802,210,20110618,3,8
1803,210,20110618,4,2
1804,210,20110618,5,2
1805,210,20110618,6,16
1806,210,20110618,7,48
1807,210,20110618,8,1
1809,210,20110618,10,0
1810,210,20110618,11,0
1811,210,20110618,12,0
1812,210,20110618,13,0
1813,210,20110618,14,0
1814,210,20110618,15,0
1815,210,20110618,16,0
1816,210,20110618,17,0
1817,210,20110618,18,0
1818,210,20110618,19,0
1820,210,20110618,21,1
1821,210,20110618,22,0
1822,210,20110618,23,1
1823,210,20110618,24,0
1825,210,20110619,2,4
1827,210,20110619,4,0
1828,210,20110619,5,0
1829,210,20110619,6,0
1830,210,20110619,7,0
1831,210,20110619,8,2
1832,210,20110619,9,9
1833,210,20110619,10,37
1834,210,20110619,11,0
1835,210,20110619,12,0
1836,210,20110619,13,0
1837,210,20110619,14,0
1842,210,20110619,19,0
1843,210,20110619,20,0
1844,210,20110619,21,0
1845,210,20110619,22,0
1846,210,20110619,23,0
1847,210,20110619,24,0
1848,210,20110620,1,0
1849,210,20110620,2,0
1850,210,20110620,3,0
1851,210,20110620,4,0
1852,210,20110620,5,0
1853,210,20110620,6,0
1854,210,20110620,7,0
1855,210,20110620,8,0
1856,210,20110620,9,0
1857,210,20110620,10,0
1858,210,20110620,11,0
1859,210,20110620,12,0
1860,210,20110620,13,0
1861,210,20110620,14,0
1862,210,20110620,15,0
1863,210,20110620,16,0
1864,210,20110620,17,0
1865,210,20110620,18,0
1866,210,20110620,19,0
1867,210,20110620,20,0
1869,210,20110620,22,1
1870,210,20110620,23,3
1871,210,20110620,24,3
1872,210,20110621,1,7
1873,210,20110621,2,2
1875,210,20110621,4,1
1876,210,20110621,5,2
1877,210,20110621,6,1
1878,210,20110621,7,0
1879,210,20110621,8,0
1880,210,20110621,9,0
1881,210,20110621,10,0
1882,210,20110621,11,0
1883,210,20110621,12,0
1884,210,20110621,13,0
1885,210,20110621,14,0
1886,210,20110621,15,0
1887,210,20110621,16,0
1888,210,20110621,17,0
1889,210,20110621,18,0
1890,210,20110621,19,0
1891,210,20110621,20,0
1892,210,20110621,21,0
1893,210,20110621,22,0
1894,210,20110621,23,0
1895,210,20110621,24,0
1896,210,20110622,1,0
1897,210,20110622,2,0
1898,210,20110622,3,0
1899,210,20110622,4,0
1900,210,20110622,5,0
1901,210,20110622,6,0
1902,210,20110622,7,0
1903,210,20110622,8,0
1904,210,20110622,9,0
1906,210,20110622,11,0
1907,210,20110622,12,0
1909,210,20110622,14,5
1910,210,20110622,15,4
1913,210,20110622,18,0
1914,210,20110622,19,0
1915,210,20110622,20,0
1916,210,20110622,21,0
1917,210,20110622,22,0
1918,210,20110622,23,0
1919,210,20110622,24,0
1920,210,20110623,1,0
1921,210,20110623,2,0
1922,210,20110623,3,0
1923,210,20110623,4,0
1924,210,20110623,5,0
1925,210,20110623,6,0
1926,210,20110623,7,7
1927,210,20110623,8,19
1929,210,20110623,10,0
1930,210,20110623,11,0
1931,210,20110623,12,0
1932,210,20110623,13,0
1933,210,20110623,14,0
1934,210,20110623,15,0
1935,210,20110623,16,0
1936,210,20110623,17,0
1937,210,20110623,18,0
1938,210,20110623,19,0
1939,210,20110623,20,0
1940,210,20110623,21,0
1941,210,20110623,22,0
1942,210,20110623,23,0
1943,210,20110623,24,0
1944,210,20110624,1,0
1945,210,20110624,2,0
1946,210,20110624,3,0
1948,210,20110624,5,0
1949,210,20110624,6,2
1951,210,20110624,8,0
1952,210,20110624,9,0
1953,210,20110624,10,0
1954,210,20110624,11,0
1955,210,20110624,12,0
1956,210,20110624,13,0
1957,210,20110624,14,0
1958,210,20110624,15,0
1959,210,20110624,16,0
1960,210,20110624,17,5
1962,210,20110624,19,0
1963,210,20110624,20,0
1964,210,20110624,21,0
1965,210,20110624,22,0
1966,210,20110624,23,0
1967,210,20110624,24,0
1970,210,20110625,3,0
1971,210,20110625,4,12
1972,210,20110625,5,2
1973,210,20110625,6,1
1974,210,20110625,7,3
1975,210,20110625,8,4
1976,210,20110625,9,11
1977,210,20110625,10,13
1978,210,20110625,11,1
1979,210,20110625,12,0
1980,210,20110625,13,3
1981,210,20110625,14,4
1982,210,20110625,15,0
1983,210,20110625,16,0
1984,210,20110625,17,0
1985,210,20110625,18,0
1986,210,20110625,19,0
1987,210,20110625,20,0
1988,210,20110625,21,0
1989,210,20110625,22,0
1992,210,20110626,1,0
1993,210,20110626,2,0
1994,210,20110626,3,0
1995,210,20110626,4,0
1996,210,20110626,5,0
1997,210,20110626,6,0
1998,210,20110626,7,0
1999,210,20110626,8,0
2000,210,20110626,9,0
2001,210,20110626,10,0
2002,210,20110626,11,0
2003,210,20110626,12,0
2004,210,20110626,13,0
2005,210,20110626,14,0
2006,210,20110626,15,0
2007,210,20110626,16,0
2008,210,20110626,17,0
2009,210,20110626,18,0
2010,210,20110626,19,0
2011,210,20110626,20,0
2012,210,20110626,21,0
2013,210,20110626,22,0
2014,210,20110626,23,0
2015,210,20110626,24,0
2016,210,20110627,1,0
2017,210,20110627,2,0
2018,210,20110627,3,0
2019,210,20110627,4,0
2020,210,20110627,5,0
2021,210,20110627,6,0
2022,210,20110627,7,0
2023,210,20110627,8,0
2024,210,20110627,9,0
2025,210,20110627,10,0
2026,210,20110627,11,0
2027,210,20110627,12,0
2028,210,20110627,13,0
2029,210,20110627,14,0
2030,210,20110627,15,0
2031,210,20110627,16,0
2032,210,20110627,17,0
2033,210,20110627,18,0
2034,210,20110627,19,0
2035,210,20110627,20,0
2036,210,20110627,21,0
2037,210,20110627,22,0
2038,210,20110627,23,0
2039,210,20110627,24,0
2040,210,20110628,1,0
2041,210,20110628,2,0
2042,210,20110628,3,0
2043,210,20110628,4,0
2044,210,20110628,5,0
2045,210,20110628,6,0
2046,210,20110628,7,0
2047,210,20110628,8,0
2049,210,20110628,10,2
2051,210,20110628,12,0
2052,210,20110628,13,0
2053,210,20110628,14,0
2054,210,20110628,15,0
2055,210,20110628,16,0
2056,210,20110628,17,0
2057,210,20110628,18,1
2059,210,20110628,20,0
2061,210,20110628,22,21
2062,210,20110628,23,7
2063,210,20110628,24,30
2065,210,20110629,2,0
2066,210,20110629,3,0
2067,210,20110629,4,0
2068,210,20110629,5,1
2069,210,20110629,6,11
2070,210,20110629,7,6
2071,210,20110629,8,0
2072,210,20110629,9,0
2073,210,20110629,10,0
2074,210,20110629,11,0
2075,210,20110629,12,0
2076,210,20110629,13,0
2077,210,20110629,14,0
2078,210,20110629,15,0
2079,210,20110629,16,0
2080,210,20110629,17,0
2081,210,20110629,18,0
2082,210,20110629,19,0
2083,210,20110629,20,0
2084,210,20110629,21,0
2085,210,20110629,22,0
2086,210,20110629,23,0
2087,210,20110629,24,0
2088,210,20110630,1,0
2089,210,20110630,2,0
2090,210,20110630,3,0
2091,210,20110630,4,0
2092,210,20110630,5,0
2093,210,20110630,6,0
2094,210,20110630,7,0
2095,210,20110630,8,0
2096,210,20110630,9,0
2097,210,20110630,10,0
2098,210,20110630,11,0
2099,210,20110630,12,0
2100,210,20110630,13,0
2101,210,20110630,14,0
2102,210,20110630,15,0
2103,210,20110630,16,0
2104,210,20110630,17,0
2105,210,20110630,18,0
2106,210,20110630,19,0
2107,210,20110630,20,0
2108,210,20110630,21,0
2109,210,20110630,22,0
2114,210,20110701,3,0
2115,210,20110701,4,0
2116,210,20110701,5,0
2117,210,20110701,6,0
2118,210,20110701,7,0
2119,210,20110701,8,9
2121,210,20110701,10,0
2122,210,20110701,11,0
2123,210,20110701,12,0
2124,210,20110701,13,0
2125,210,20110701,14,0
2126,210,20110701,15,0
2127,210,20110701,16,0
2128,210,20110701,17,0
2129,210,20110701,18,0
2130,210,20110701,19,0
2131,210,20110701,20,0
2132,210,20110701,21,0
2133,210,20110701,22,0
2134,210,20110701,23,0
2135,210,20110701,24,0
2136,210,20110702,1,0
2139,210,20110702,4,0
2140,210,20110702,5,0
2141,210,20110702,6,3
2142,210,20110702,7,0
2143,210,20110702,8,0
2144,210,20110702,9,0
2145,210,20110702,10,0
2146,210,20110702,11,0
2147,210,20110702,12,0
2148,210,20110702,13,0
2149,210,20110702,14,0
2150,210,20110702,15,0
2151,210,20110702,16,0
2152,210,20110702,17,0
2153,210,20110702,18,0
2154,210,20110702,19,0
2155,210,20110702,20,0
2156,210,20110702,21,0
2157,210,20110702,22,0
2158,210,20110702,23,0
2159,210,20110702,24,0
2160,210,20110703,1,0
2161,210,20110703,2,0
2162,210,20110703,3,0
2163,210,20110703,4,0
2164,210,20110703,5,0
2165,210,20110703,6,0
2166,210,20110703,7,0
2167,210,20110703,8,0
2168,210,20110703,9,0
2169,210,20110703,10,0
2170,210,20110703,11,0
2171,210,20110703,12,0
2172,210,20110703,13,0
2173,210,20110703,14,0
2174,210,20110703,15,0
2175,210,20110703,16,0
2176,210,20110703,17,0
2177,210,20110703,18,0
2178,210,20110703,19,0
2179,210,20110703,20,0
2180,210,20110703,21,0
2181,210,20110703,22,0
2182,210,20110703,23,0
2183,210,20110703,24,0
