STN,STARTT,STOPT,LOCATIE,HOOGTE,POS_X,POS_Y,POS_NB,POS_OL
201,20090313,99991231,platform D15-FA-1,42.7,-4.5,707.1,54.3,2.9
203,20091109,99991231,platform P11-B,41.8,15.7,487.6,52.4,3.3
204,20061206,99991231,platform K14-FA-1C,41.8,37.6,588.3,53.3,3.6
205,20090313,99991231,platform A12-CPP,48.4,55.0,825.1,55.4,3.8
206,20061206,99991231,platform F16-A,43.4,65.1,682,54.1,4
207,20061206,99991231,platform L9-FF-1 ,44,126.7,625.3,53.6,5
208,20061206,99991231,platform AWG-1,40.5,191.8,611.7,53.5,5.9
209,20010130,99991231,IJmond,0,95.9,497.6,52.5,4.5
211,20090313,99991231,platform J6-A ,45.7,-5.8,651.3,53.8,2.9
212,20090313,99991231,platform Hoorn-Alfa,50.9,71.8,548.5,52.9,4.2
214,20160301,99991231,Buitengaats/BG-OHVS2,42.5,197.9,672.5,54,6
215,20140715,99991231,Voorschoten,-1.1,89.9,461.6,52.1,4.4
225,19710101,99991231,IJmuiden,4.4,98.4,497.4,52.5,4.6
229,20171213,99991231,Texelhors,1,110.2,556.5,53,4.7
235,19060101,99991231,De Kooy,1.2,114.2,548.9,52.9,4.8
239,19940101,99991231,F3-FB-1 platform,50.6,110.6,763.5,54.9,4.7
240,19510101,99991231,Schiphol,-3.3,114.2,481.1,52.3,4.8
242,19960101,99991231,Vlieland,10.8,123.8,583.7,53.2,4.9
248,19940715,99991231,Wijdenes,0.8,140.5,516,52.6,5.2
249,19990312,99991231,Berkhout,-2.4,127.3,517.2,52.6,5
251,19940526,99991231,Hoorn Terschelling,0.7,152.2,600.4,53.4,5.3
252,19960630,99991231,K13 platform,37.7,10.3,583.3,53.2,3.2
257,20010430,99991231,Wijk aan zee,8.5,101.7,502.1,52.5,4.6
258,20060201,99991231,Houtribdijk,7.3,155.9,517.7,52.6,5.4
260,19010101,99991231,De Bilt,1.9,140.8,456.6,52.1,5.2
261,20020101,99991231,De Bilt test,1.9,140.8,456.6,52.1,5.2
267,19900618,99991231,Stavoren,-1.3,154.7,545.4,52.9,5.4
269,19900117,99991231,Lelystad,-3.7,164.0,496.5,52.5,5.5
270,19510101,99991231,Leeuwarden,1.2,179.3,581.8,53.2,5.8
273,19890101,99991231,Marknesse ,-3.3,188.8,523.8,52.7,5.9
275,19510101,99991231,Deelen,48.2,188.2,451.8,52.1,5.9
277,19910318,99991231,Lauwersoog,2.9,209.0,603,53.4,6.2
278,19910101,99991231,Heino ,3.6,214.2,494.3,52.4,6.3
279,19890926,99991231,Hoogeveen ,15.8,235.0,529.6,52.7,6.6
280,19060101,99991231,Eelde ,5.2,235.1,571.3,53.1,6.6
283,19891016,99991231,Hupsel,29.1,242.0,453.9,52.1,6.7
285,19810101,99991231,Huibertgat,0,221.9,621.2,53.6,6.4
286,19900117,99991231,Nieuw Beerta,-0.2,272.7,580,53.2,7.1
290,19510101,99991231,Twenthe,34.8,257.6,477.1,52.3,6.9
308,19720101,99991231,Cadzand,0,15.2,378.6,51.4,3.4
310,19060101,99991231,Vlissingen,8,30.4,385,51.4,3.6
312,19820101,99991231,Oosterschelde ,0,33.1,421.2,51.8,3.6
313,19970131,99991231,Vlakte van de Raan,0,6.1,392.6,51.5,3.2
315,19970131,99991231,Hansweert,0,58.4,384.9,51.4,4
316,19830101,99991231,Schaar,0,37.8,408.7,51.7,3.7
319,19910625,99991231,Westdorpe,1.7,48.4,360.5,51.2,3.9
320,19801103,99991231,Lichteiland Goeree,22,36.9,438.8,51.9,3.7
321,19960630,99991231,Europlatform,19,9.9,447.5,52,3.3
323,20171215,99991231,Wilhelminadorp,1.65,51.8,394.8,51.5,3.9
324,19970930,99991231,Stavenisse,0,59.3,401.5,51.6,4
330,19710101,99991231,Hoek van Holland,11.9,68.1,445.4,52,4.1
331,19810101,99991231,Tholen,0,72.0,388.3,51.5,4.2
340,19930401,99991231,Woensdrecht,19.2,82.3,384.7,51.4,4.3
343,19910101,99991231,Rotterdam Geulhaven,3.5,81.0,434.2,51.9,4.3
344,19561001,99991231,Rotterdam,-4.3,90.4,441.7,52,4.4
348,19860301,99991231,Cabauw mast,-0.7,123.3,442.3,52,4.9
350,19510101,99991231,Gilze-Rijen,14.9,123.6,397.3,51.6,4.9
356,19890926,99991231,Herwijnen,0.7,138.3,429.8,51.9,5.1
370,19510101,99991231,Eindhoven,22.6,154.3,384.4,51.4,5.4
375,19510201,99991231,Volkel,22,177.1,407.7,51.7,5.7
377,19990501,99991231,Ell ,30,181.2,356.3,51.2,5.8
380,19060101,99991231,Maastricht,114.3,181.3,323.9,50.9,5.8
391,19900618,99991231,Arcen,19.5,211.1,390,51.5,6.2
871,20161019,99991231,Saba,31,-7471.0,-634.9,17.6,-63.2
873,20161019,99991231,St. Eustatius,36.02,-7461.0,-673,17.5,-63
990,20161019,99991231,Bonaire,7.32,-8522.2,-888.3,12.1,-68.3
